chemical,name,molecular_weight,SMILES_string,Drug,InChI Key,SMILES,similarity
CIDs00015684,"2,4-dichlorobenzyl alcohol",177.02794,C1=CC(=C(C=C1Cl)Cl)CO,Dichlorobenzyl Alcohol,DBHODFSFBXJZNY-UHFFFAOYSA-N,C1=CC(=C(C=C1Cl)Cl)CO,83
CIDs71309008,SDS-1-d1,289.385431,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],Sodium Lauryl Sulphate,DBMJMQXJHONAFJ-UHFFFAOYSA-M,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],13
CIDs77843966,"(6R,7R)-7-[[(2Z)-2-(2-aminothiazol-4-yl)-2-(1-carboxy-1-methyl-ethoxy)imino-acetyl]amino]-3-[[1-[2-[(2-chloro-3,4-dihydroxy-benzoyl)amino]ethyl]pyrrolidin-1-ium-1-yl]methyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",752.21486,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4(CCCC4)CCNC(=O)C5=C(C(=C(C=C5)O)O)Cl)C(=O)[O-],Cefiderocol,DBPPRLRVDVJOCL-FQRUVTKNSA-N,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4(CCCC4)CCNC(=O)C5=C(C(=C(C=C5)O)O)Cl)C(=O)[O-],3
CIDs06918558,fesoterodine,411.57688,CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2,Fesoterodine,DCCSDBARQIPTGU-HSZRJFAPSA-N,CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2,92
CIDs12877529,diclofenac-d4,300.173287,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,Diclofenac,DCOPUUMXTXDBNB-UHFFFAOYSA-N,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,78
CIDs00002769,cisapride,465.945463,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,Cisapride,DCSUBABJRXZOMT-IRLDBZIGSA-N,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,89
CIDs00000236,asparagine,132.11792,C(C(C(=O)O)N)C(=O)N,Asparagine,DCXYFEDJOCDNAF-REOHCLBHSA-N,C(C(C(=O)O)N)C(=O)N,90
CIDs00004763,phenobarbital,232.23528,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,Phenobarbital,DDBREPKUVSBGFI-UHFFFAOYSA-N,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,92
CIDs06918485,isavuconazole,437.465086,CC(C1=NC(=CS1)C2=CC=C(C=C2)C#N)C(CN3C=NC=N3)(C4=C(C=CC(=C4)F)F)O,Isavuconazole,DDFOUSQFMYRUQK-RCDICMHDSA-N,CC(C1=NC(=CS1)C2=CC=C(C=C2)C#N)C(CN3C=NC=N3)(C4=C(C=CC(=C4)F)F)O,92
CIDs00004192,midazolam,325.767323,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,Midazolam,DDLIGBOFAVUZHB-UHFFFAOYSA-N,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,89
CIDs00443955,vinpocetine,350.45404,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,Vinpocetine,DDNCQMVWWZOMLN-IRLDBZIGSA-N,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,91
CIDs00441140,griseofulvin,352.76628,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,Griseofulvin,DDUHZTYCFQRHIY-RBHXEPJQSA-N,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,92
CIDs86289069,octreotida,1019.23934,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O,Octreotide,DEQANNDTNATYII-OULOTJBUSA-N,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O,80
CIDs00007232,CBTs,264.40954,C1CCC(CC1)NSC2=NC3=CC=CC=C3S2,N-Cyclohexylbenzothiazyl Sulphenamide,DEQZTKGFXNUBJL-UHFFFAOYSA-N,C1CCC(CC1)NSC2=NC3=CC=CC=C3S2,5
CIDs01547484,cinnarizine,368.51392,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,Cinnarizine,DERZBLKQOCDDDZ-JLHYYAGUSA-N,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,91
CIDs00005206,sevoflurane,200.054842,C(OC(C(F)(F)F)C(F)(F)F)F,Sevoflurane,DFEYYRMXOJXZRJ-UHFFFAOYSA-N,C(OC(C(F)(F)F)C(F)(F)F)F,91
CIDs57503850,"1-[[(2R,3R,4S,5R,6S)-3,4,5-tris(2-hydroxypropoxy)-6-[[(2R,3R,4S,5R,6R)-4,5,6-tris(2-hydroxypropoxy)-2-(2-hydroxypropoxymethyl)-3-oxanyl]oxy]-2-oxanyl]methoxy]-2-propanol",806.9296,CC(COCC1C(C(C(C(O1)OC2C(OC(C(C2OCC(C)O)OCC(C)O)OCC(C)O)COCC(C)O)OCC(C)O)OCC(C)O)OCC(C)O)O,Hydroxyethylcellulose,DFJVHKAPIXJTSC-UHFFFAOYSA-N,CC(COCC1C(C(C(C(O1)OC2C(OC(C(C2OCC(C)O)OCC(C)O)OCC(C)O)COCC(C)O)OCC(C)O)OCC(C)O)OCC(C)O)O,14
CIDs00003736,iopromide,791.11187,CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I,Iopromide,DGAIEPBNLOQYER-UHFFFAOYSA-N,CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I,89
CIDs00002802,clonazepam,315.7112,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,Clonazepam,DGBIGWXXNGSACT-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,90
CIDs00004771,phentermine,149.2328,CC(C)(CC1=CC=CC=C1)N,Phentermine,DHHVAGZRUROJKS-UHFFFAOYSA-N,CC(C)(CC1=CC=CC=C1)N,91
CIDs00000750,glycine,75.0666,C(C(=O)O)N,Glycine,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C(C(=O)O)N,86
CIDs71314762,Bioace-d3,152.617145,CN1C(=O)C=C(S1)Cl,Methylchloroisothiazolinone,DHNRXBZYEKSXIM-UHFFFAOYSA-N,CN1C(=O)C=C(S1)Cl,22
CIDs54676345,chlorotetracycline,478.87962,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,Chlortetracycline,DHPRQBPJLMKORJ-XRNKAMNCSA-N,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,91
CIDs06435415,cilastatin,358.45304,CC1(CC1C(=O)NC(=CCCCCSCC(C(=O)O)N)C(=O)O)C,Cilastatin,DHSUYTOATWAVLW-WFVMDLQDSA-N,CC1(CC1C(=O)NC(=CCCCCSCC(C(=O)O)N)C(=O)O)C,90
CIDs12049213,-Lorazepam,321.1581,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,Lorazepam,DIWRORZWFLOCLC-UHFFFAOYSA-N,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,95
CIDs00024850,aluminum sulfate,342.150877,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3],Aluminium Sulphate,DIZPMCHEQGEION-UHFFFAOYSA-H,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3],76
CIDs46781583,Flecainide-d3,417.361205,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,Flecainide,DJBNUMBKLMJRSA-UHFFFAOYSA-N,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,87
CIDs00450485,AC1L9OYI,298.288204,CC1=C(C(=CC=C1)C)NC(=O)CN(CC(=O)O)CC(=O)O,Lidofenin,DJQJFMSHHYAZJD-UHFFFAOYSA-N,CC1=C(C(=CC=C1)C)NC(=O)CN(CC(=O)O)CC(=O)O,12
CIDs05310993,acipimox,154.12344,CC1=CN=C(C=[N+]1[O-])C(=O)O,Acipimox,DJQOOSBJCLSSEY-UHFFFAOYSA-N,CC1=CN=C(C=[N+]1[O-])C(=O)O,88
CIDs10853934,[(4-chloranylphenyl)sulfanyl-phosphono-methyl]phosphonic acid,330.563536,C1=CC(=CC=C1SC(P(=O)(O)O)P(=O)(O)O)Cl,Tiludronic Acid,DKJJVAGXPKPDRL-UHFFFAOYSA-N,C1=CC(=CC=C1SC(P(=O)(O)O)P(=O)(O)O)Cl,26
CIDs71749942,Buronil-d4,267.37503,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,Melperone,DKMFBWQBDIGMHM-UHFFFAOYSA-N,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,32
CIDs00002130,amantadine,151.24868,C1C2CC3CC1CC(C2)(C3)N,Amantadine,DKNWSYNQZKUICI-UHFFFAOYSA-N,C1C2CC3CC1CC(C2)(C3)N,90
CIDs05479539,cefpirome,514.57728,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=C4CCC5)C(=O)[O-],Cefpirome,DKOQGJHPHLTOJR-WHRDSVKCSA-N,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=C4CCC5)C(=O)[O-],89
CIDs12518243,"1,3-bis(2-chloroethyl)-1-(oxoamino)urea",217.030087,C(CCl)NC(=O)N(CCCl)N=O,Carmustine,DLGOEMSEDOSKAD-UHFFFAOYSA-N,C(CCl)NC(=O)N(CCCl)N=O,20
CIDs05281075,carboprost,368.50754,CCCCCC(C)(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,Carboprost,DLJKPYFALUEJCK-IIELGFQLSA-N,CCCCCC(C)(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,90
CIDs00004786,phenylpropanolamine,151.20562,CC(C(C1=CC=CC=C1)O)N,Phenylpropanolamine,DLNKOYKMWOXYQA-VXNVDRBHSA-N,CC(C(C1=CC=CC=C1)O)N,95
CIDs56843331,Semaglutide,4113.57754,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(C(=O)O)NC(=O)CCCCCCCCCCCCCCCCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(CC6=CN=CN6)N,Semaglutide,DLSWIYLPEUIQAV-CCUURXOWSA-N,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(C(=O)O)NC(=O)CCCCCCCCCCCCCCCCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(CC6=CN=CN6)N,100
CIDs00003647,hydroflumethiazide,331.29203,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,Hydroflumethiazide,DMDGGSIALPNSEE-UHFFFAOYSA-N,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,94
CIDs46782127,meropenem-d6,389.499471,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,Meropenem,DMJNNHOOLUXYBV-PQTSNVLCSA-N,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,76
CIDs71309005,Propylene-d6 glycol,82.131391,CC(CO)O,Propylene Glycol,DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(CO)O,86
CIDs00688020,crotamiton,203.28018,CCN(C1=CC=CC=C1C)C(=O)C=CC,Crotamiton,DNTGGZPQPQTDQF-XBXARRHUSA-N,CCN(C1=CC=CC=C1C)C(=O)C=CC,90
CIDs00005870,estrone,270.36608,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,Estrone,DNXHEGUUPJUMQT-CBZIJGRNSA-N,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,86
CIDs16134395,daptomycin,1620.67064,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,Daptomycin,DOAKLVKFURWEDJ-QCMAZARJSA-N,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,90
CIDm00005402,terbinafine,291.4299,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21,Terbinafine,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21,91
CIDs00057469,imiquimod,240.30364,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,Imiquimod,DOUYETYNHWVLEO-UHFFFAOYSA-N,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,89
CIDs57473003,SCHEMBL237836,558.68476,CC(CN1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])O.[Gd+3],Gadoteridol,DPNNNPAKRZOSMO-UHFFFAOYSA-K,CC(CN1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])O.[Gd+3],0
CIDs00042113,desflurane,168.037799,C(C(F)(F)F)(OC(F)F)F,Desflurane,DPYMFVXJLLWWEU-UHFFFAOYSA-N,C(C(F)(F)F)(OC(F)F)F,90
CIDs05360515,naltrexone,341.40092,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O,Naltrexone,DQCKKXVULJGBQN-XFWGSAIBSA-N,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O,90
CIDs46841988,Tiotropium-d5 Bromide,477.447089,C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(C4=CC=CS4)(C5=CC=CS5)O)C.[Br-],Tiotropium Bromide,DQHNAVOVODVIMG-RGECMCKFSA-M,C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(C4=CC=CS4)(C5=CC=CS5)O)C.[Br-],92
CIDs00004886,pramoxine,293.40118,CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2,Pramocaine,DQKXQSGTHWVTAD-UHFFFAOYSA-N,CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2,74
CIDs00004909,primidone,218.25176,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,Primidone,DQMZLTXERSFNPB-UHFFFAOYSA-N,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,89
CIDs00121829,amsulosin,408.51172,CCOC1=CC=CC=C1OCCNC(C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,Tamsulosin,DRHKJLXJIQTDTD-OAHLLOKOSA-N,CCOC1=CC=CC=C1OCCNC(C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,95
CIDs00000896,melatonin,232.27834,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,Melatonin,DRLFMBDRBRZALE-UHFFFAOYSA-N,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,89
CIDs00004609,oxaliplatin,397.29176,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],Oxaliplatin,DRMCATBEKSVAPL-BNTLRKBRSA-N,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],91
CIDs05491664,barium-133,132.906007,[Ba],Barium,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,[Ba],62
CIDs00002537,Camphor,152.23344,CC1(C2CCC1(C(=O)C2)C)C,Camphor,DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC1(C2CCC1(C(=O)C2)C)C,100
CIDs00064685,borneol,154.24932,CC1(C2CCC1(C(C2)O)C)C,Borneol,DTGKSKDOIYIVQL-UHFFFAOYSA-N,CC1(C2CCC1(C(C2)O)C)C,86
CIDs06918456,prasugrel,373.441103,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4,Prasugrel,DTGLZDAWLRGWQN-UHFFFAOYSA-N,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4,89
CIDs00003607,hexetidine,339.6021,CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N,Hexetidine,DTOUUUZOYKYHEP-UHFFFAOYSA-N,CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N,90
CIDs00004158,methylphenidate,233.30616,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,Methylphenidate,DUGOZIWVEXMGBE-UHFFFAOYSA-N,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,93
CIDs00104845,alphaxalone,332.47698,CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C,Alphaxalone,DUHUCHOQIDJXAT-OLVMNOGESA-N,CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C,91
CIDs00443371,Practololo,266.33608,CC(C)NCC(COC1=CC=C(C=C1)NC(=O)C)O,Practolol,DURULFYMVIFBIR-UHFFFAOYSA-N,CC(C)NCC(COC1=CC=C(C=C1)NC(=O)C)O,95
CIDs05284537,cyproterone,374.90098,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)O,Cyproterone,DUSHUSLJJMDGTE-ZJPMUUANSA-N,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)O,91
CIDs87056174,N-[2-[2-[bis(trideuteriomethyl)amino]ethyl-methyl-amino]-4-methoxy-5-[[4-(1-methylindol-3-yl)pyrimidin-2-yl]amino]phenyl]acrylamide,505.644291,CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,Osimertinib,DUYJMQONPNNFPI-UHFFFAOYSA-N,CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,10
CIDs06604049,AC1O7G7X,339.3868,C1COCCN1C(=O)NCCNCC(COC2=CC=C(C=C2)O)O,Xamoterol,DXPOSRCHIDYWHW-UHFFFAOYSA-N,C1COCCN1C(=O)NCCNCC(COC2=CC=C(C=C2)O)O,12
CIDs00006234,cycloserine,102.09194,C1C(C(=O)NO1)N,Cycloserine,DYDCUQKUCUHJBH-UWTATZPHSA-N,C1C(C(=O)NO1)N,91
CIDm00004259,moxifloxacin,401.431363,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,Moxifloxacin,FABPRXSRWADJSP-MEDUHNTESA-N,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,92
CIDs00065981,repaglinide,452.58574,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,Repaglinide,FAEKWTJYAYMJKF-QHCPKHFHSA-N,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,91
CIDs00044093,captopril,217.2853,CC(CS)C(=O)N1CCCC1C(=O)O,Captopril,FAKRSMQSSFJEIM-RQJHMYQMSA-N,CC(CS)C(=O)N1CCCC1C(=O)O,89
CIDs00009878,fluorometholone,376.461663,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,Fluorometholone,FAOZLTXFLGPHNG-KNAQIMQKSA-N,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,93
CIDs71311180,sodium;chlorine-35(1-),57.958622,[Na+].[Cl-],Sodium Chloride,FAPWRFPIFSIZLT-UHFFFAOYSA-M,[Na+].[Cl-],59
CIDm00004885,pramipexole,211.32708,CCCNC1CCC2=C(C1)SC(=N2)N,Pramipexole,FASDKYOPVNHBLU-ZETCQYMHSA-N,CCCNC1CCC2=C(C1)SC(=N2)N,91
CIDs00189821,deflazacort,441.51674,CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C,Deflazacort,FBHSPRKOSMHSIF-GRMWVWQJSA-N,CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C,91
CIDs06321247,SCHEMBL8291621,362.46474,C1CN2CCC1C(C2)OC(=O)N3CCC4=CC=CC=C4C3C5=CC=CC=C5,Solifenacin,FBOUYBDGKBSUES-VXKWHMMOSA-N,C1CN2CCC1C(C2)OC(=O)N3CCC4=CC=CC=C4C3C5=CC=CC=C5,8
CIDs00126941,methotrexate,454.43928,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,Methotrexate,FBOZXECLQNJBKD-ZDUSSCGKSA-N,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,92
CIDs00005780,sorbitol,182.17176,C(C(C(C(C(CO)O)O)O)O)O,Sorbitol,FBPFZTCFMRRESA-JGWLITMVSA-N,C(C(C(C(C(CO)O)O)O)O)O,88
CIDs00006251,mannitol,182.17176,C(C(C(C(C(CO)O)O)O)O)O,Mannitol,FBPFZTCFMRRESA-KVTDHHQDSA-N,C(C(C(C(C(CO)O)O)O)O)O,88
CIDs05311051,clobetasol,410.906723,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)F)C,Clobetasol,FCSHDIVRCWTZOX-DVTGEIKXSA-N,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)F)C,90
CIDs71312511,Sulfanilamide-13C6,178.160849,C1=CC(=CC=C1N)S(=O)(=O)N,Sulfanilamide,FDDDEECHVMSUSB-UHFFFAOYSA-N,C1=CC(=CC=C1N)S(=O)(=O)N,84
CIDs23725625,olaparib,434.462823,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,Olaparib,FDLYAMZZIXQODN-UHFFFAOYSA-N,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,88
CIDs06604265,AC1O7GC8,235.32204,CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1,Amylocaine,FDMBBCOBEAVDAO-UHFFFAOYSA-N,CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1,11
CIDs00016363,benperidol,381.443263,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,Benperidol,FEBOTPHFXYHVPL-UHFFFAOYSA-N,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,90
CIDs00021102,benorylate,313.3047,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2OC(=O)C,Benorylate,FEJKLNWAOXSSNR-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2OC(=O)C,90
CIDs00004595,ondansetron,293.36296,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,Ondansetron,FELGMEQIXOGIFQ-UHFFFAOYSA-N,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,91
CIDs00078956,S-tartaric acid,150.08684,C(C(C(=O)O)O)(C(=O)O)O,Tartaric Acid,FEWJPZIEWOKRBE-UHFFFAOYSA-N,C(C(C(=O)O)O)(C(=O)O)O,79
CIDs00000876,methionine,149.21134,CSCCC(C(=O)O)N,Methionine,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCCC(C(=O)O)N,90
