PT,HLT,HLGT,SOC_ABBREV
Gastrointestinal hypomotility,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastr
Intestinal stenosis,Gastrointestinal stenosis and obstruction NEC,Gastrointestinal stenosis and obstruction,Gastr
Streptococcal sepsis,Streptococcal infections,Bacterial infectious disorders,Infec
Testis cancer,Testicular neoplasms malignant,Reproductive neoplasms male malignant and unspecified,Neopl
Postmenopausal haemorrhage,Menopausal effects on the genitourinary tract,Menopause related conditions,Repro
Listeria sepsis,Listeria infections,Bacterial infectious disorders,Infec
Intervertebral disc space narrowing,Intervertebral disc disorders NEC,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musc
Adenoma benign,Neoplasms benign site unspecified NEC,Miscellaneous and site unspecified neoplasms benign,Neopl
Adhesion,General signs and symptoms NEC,General system disorders NEC,Genrl
Salivary gland cancer,Salivary gland neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Arthrodesis,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surg
Cystitis interstitial,Bladder infections and inflammations,Bladder and bladder neck disorders (excl calculi),Renal
Multi-organ disorder,General signs and symptoms NEC,General system disorders NEC,Genrl
Gastrointestinal infection,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infec
Synovectomy,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surg
Vascular rupture,Non-site specific vascular disorders NEC,Vascular disorders NEC,Vasc
Colonic fistula,Gastrointestinal fistulae,Gastrointestinal conditions NEC,Gastr
Rectal adenocarcinoma,Colorectal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Ileal perforation,Intestinal ulcers and perforation NEC,Gastrointestinal ulceration and perforation,Gastr
Colorectal cancer stage IV,Colorectal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Injection site irritation,Injection site reactions,Administration site reactions,Genrl
Antineutrophil cytoplasmic antibody,Autoimmunity analyses,Immunology and allergy investigations,Inv
Dyslipidaemia,Lipid metabolism and deposit disorders NEC,Lipid metabolism disorders,Metab
Intestinal polyp,Benign neoplasms gastrointestinal (excl oral cavity),Benign neoplasms gastrointestinal,Gastr
Hormone level abnormal,Endocrine analyses and imaging NEC,Endocrine investigations (incl sex hormones),Inv
Premenstrual syndrome,Menstruation and uterine bleeding NEC,Menstrual cycle and uterine bleeding disorders,Repro
Breast disorder,Breast disorders NEC,Breast disorders,Repro
Invasive breast carcinoma,Breast and nipple neoplasms malignant,Breast neoplasms malignant and unspecified (incl nipple),Neopl
Brain neoplasm malignant,Central nervous system neoplasms malignant NEC,Nervous system neoplasms malignant and unspecified NEC,Neopl
Serositis,Inflammations,General system disorders NEC,Genrl
Areflexia,Abnormal reflexes,Neurological disorders NEC,Nerv
Malignant peritoneal neoplasm,Gastrointestinal neoplasms malignant NEC,Gastrointestinal neoplasms malignant and unspecified,Neopl
Genital infection male,Male reproductive tract infections,Infections - pathogen unspecified,Infec
Genital swelling,Reproductive tract signs and symptoms NEC,Reproductive tract disorders NEC,Repro
Angiopathy,Non-site specific vascular disorders NEC,Vascular disorders NEC,Vasc
Injection site cellulitis,Bacterial infections NEC,Bacterial infectious disorders,Infec
Hepatitis B test negative,Virus identification and serology,Microbiology and serology investigations,Inv
Diaphragm muscle weakness,Diaphragmatic disorders,Thoracic disorders (excl lung and pleura),Resp
CSF protein abnormal,Cerebrospinal fluid tests (excl microbiology),"Neurological, special senses and psychiatric investigations",Inv
Neck deformity,Spine and neck deformities,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musc
Laryngeal cancer,Laryngeal neoplasms malignant,Respiratory and mediastinal neoplasms malignant and unspecified,Neopl
Anal squamous cell carcinoma,Anal canal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Genital ulceration,Reproductive tract disorders NEC (excl neoplasms),Reproductive tract disorders NEC,Repro
Vulval oedema,Vulvovaginal signs and symptoms,Vulvovaginal disorders (excl infections and inflammations),Repro
Rhinitis allergic,Nasal congestion and inflammations,Upper respiratory tract disorders (excl infections),Resp
Cervix carcinoma stage 0,Cervix neoplasms malignant,Reproductive neoplasms female malignant and unspecified,Neopl
Seasonal allergy,Atopic disorders,Allergic conditions,Immun
Skin abrasion,Skin injuries NEC,Injuries NEC,Inj&P
Precancerous cells present,Investigations NEC,"Investigations, imaging and histopathology procedures NEC",Inv
Histoplasmosis,Histoplasma infections,Fungal infectious disorders,Infec
Neurodermatitis,Dermatitis and eczema,Epidermal and dermal conditions,Skin
Cholestasis of pregnancy,Cholestasis and jaundice,Hepatic and hepatobiliary disorders,Hepat
Injection,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surg
Bladder cancer stage II,Bladder neoplasms malignant,Renal and urinary tract neoplasms malignant and unspecified,Neopl
Pancreatic carcinoma metastatic,Pancreatic neoplasms malignant (excl islet cell and carcinoid),Gastrointestinal neoplasms malignant and unspecified,Neopl
Hepatosplenic T-cell lymphoma,Adult T-cell lymphomas/leukaemias,Lymphomas non-Hodgkin's T-cell,Neopl
Neoplasm skin,Skin neoplasms malignant and unspecified (excl melanoma),Skin neoplasms malignant and unspecified,Neopl
Anal neoplasm,Colorectal and anal neoplasms malignancy unspecified,Gastrointestinal neoplasms malignant and unspecified,Neopl
Nail psoriasis,Psoriatic conditions,Epidermal and dermal conditions,Skin
Adenoiditis,Upper respiratory tract infections,Infections - pathogen unspecified,Infec
Nasal polyps,Nasal disorders NEC,Upper respiratory tract disorders (excl infections),Resp
Gastrointestinal perforation,"Gastrointestinal ulcers and perforation, site unspecified",Gastrointestinal ulceration and perforation,Gastr
Synovial disorder,Synovial disorders,Synovial and bursal disorders,Musc
Asphyxia,Conditions associated with abnormal gas exchange,Respiratory disorders NEC,Resp
Bronchial secretion retention,Bronchial conditions NEC,Bronchial disorders (excl neoplasms),Resp
Obstructive airways disorder,Bronchospasm and obstruction,Bronchial disorders (excl neoplasms),Resp
Aortic valve incompetence,Aortic valvular disorders,Cardiac valve disorders,Card
Klebsiella infection,Klebsiella infections,Bacterial infectious disorders,Infec
Cellulitis streptococcal,Streptococcal infections,Bacterial infectious disorders,Infec
Dacryocystitis,Eye and eyelid infections,Infections - pathogen unspecified,Infec
Squamous cell carcinoma of the tongue,Lip and oral cavity neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Peritoneal tuberculosis,Tuberculous infections,Mycobacterial infectious disorders,Infec
Bursitis infective staphylococcal,Staphylococcal infections,Bacterial infectious disorders,Infec
Urethral pain,Bladder and urethral symptoms,Urinary tract signs and symptoms,Renal
Colonic abscess,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infec
Meningitis tuberculous,Tuberculous infections,Mycobacterial infectious disorders,Infec
Dementia Alzheimer's type,Alzheimer's disease (incl subtypes),Mental impairment disorders,Nerv
Ileostomy closure,Small intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surg
Pleural disorder,Pleural conditions NEC,Pleural disorders,Resp
Paternal drugs affecting foetus,Foetal and neonatal conditions associated with product exposure,"Exposures, chemical injuries and poisoning",Inj&P
Tricuspid valve incompetence,Tricuspid valvular disorders,Cardiac valve disorders,Card
Ventricular dysfunction,Myocardial disorders NEC,Myocardial disorders,Card
Ventricular hypokinesia,Myocardial disorders NEC,Myocardial disorders,Card
Actinic elastosis,Photosensitivity and photodermatosis conditions,Epidermal and dermal conditions,Skin
Infusion site inflammation,Infusion site reactions,Administration site reactions,Genrl
Epstein-Barr virus antibody positive,Virus identification and serology,Microbiology and serology investigations,Inv
Onychomycosis,Fungal infections NEC,Fungal infectious disorders,Infec
Adenocarcinoma,Neoplasms malignant site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
Positron emission tomogram abnormal,Imaging procedures NEC,"Investigations, imaging and histopathology procedures NEC",Inv
Epiglottitis,Upper respiratory tract infections,Infections - pathogen unspecified,Infec
Bruxism,Stereotypies and automatisms,Changes in physical activity,Psych
Axillary mass,Soft tissue disorders NEC,Musculoskeletal and connective tissue disorders NEC,Musc
Injection site atrophy,Injection site reactions,Administration site reactions,Genrl
Necrobiosis lipoidica diabeticorum,Granulomatous and deep cutaneous inflammatory conditions,Epidermal and dermal conditions,Skin
Stoma site haemorrhage,Stoma complications,Procedural related injuries and complications NEC,Inj&P
Blood chloride increased,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Inv
Pharyngeal haemorrhage,Pharyngeal disorders (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),Resp
Dactylitis,Musculoskeletal and connective tissue infections and inflammations NEC,Musculoskeletal and connective tissue disorders NEC,Musc
Klebsiella sepsis,Klebsiella infections,Bacterial infectious disorders,Infec
Blood iron decreased,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Inv
Abdominal sepsis,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections - pathogen unspecified,Infec
Anogenital warts,Skin neoplasms benign,Cutaneous neoplasms benign,Neopl
Renal mass,Renal disorders NEC,Renal disorders (excl nephropathies),Renal
Ileal stenosis,Duodenal and small intestinal stenosis and obstruction,Gastrointestinal stenosis and obstruction,Gastr
Ileectomy,Small intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surg
Sunburn,Radiation injuries,Injuries by physical agents,Inj&P
Acute respiratory failure,Respiratory failures (excl neonatal),Respiratory disorders NEC,Resp
Alopecia universalis,Alopecias,Skin appendage conditions,Skin
Leukodystrophy,Lysosomal storage disorders,Metabolic and nutritional disorders congenital,Cong
Thyroiditis acute,Acute and chronic thyroiditis,Thyroid gland disorders,Endo
Squamous cell carcinoma of the vulva,Vulval neoplasms malignant,Reproductive neoplasms female malignant and unspecified,Neopl
Vitamin B12 decreased,Vitamin analyses,"Metabolic, nutritional and blood gas investigations",Inv
Behcet's syndrome,Vasculitides NEC,Vascular infections and inflammations,Vasc
Penis disorder,Penile disorders NEC (excl erection and ejaculation),Penile and scrotal disorders (excl infections and inflammations),Repro
Colon cancer stage IV,Colorectal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Heart valve replacement,Cardiac valve therapeutic procedures,Cardiac therapeutic procedures,Surg
Atrial tachycardia,Supraventricular arrhythmias,Cardiac arrhythmias,Card
Granulomatosis with polyangiitis,Vasculitides NEC,Vascular infections and inflammations,Vasc
Bladder transitional cell carcinoma,Bladder neoplasms malignant,Renal and urinary tract neoplasms malignant and unspecified,Neopl
Gastrointestinal carcinoma,Gastrointestinal neoplasms malignant NEC,Gastrointestinal neoplasms malignant and unspecified,Neopl
QRS axis abnormal,ECG investigations,Cardiac and vascular investigations (excl enzyme tests),Inv
Injection site urticaria,Injection site reactions,Administration site reactions,Genrl
Mycobacterium marinum infection,Atypical mycobacterial infections,Mycobacterial infectious disorders,Infec
Sporotrichosis,Sporothrix infections,Fungal infectious disorders,Infec
"Delusional disorder, unspecified type",Delusional disorders,Schizophrenia and other psychotic disorders,Psych
Skin papilloma,Skin neoplasms benign,Cutaneous neoplasms benign,Neopl
Oropharyngeal candidiasis,Candida infections,Fungal infectious disorders,Infec
Vulvovaginitis streptococcal,Streptococcal infections,Bacterial infectious disorders,Infec
H1N1 influenza,Influenza viral infections,Viral infectious disorders,Infec
Cataract congenital,Lens disorders congenital,Eye disorders congenital,Cong
Gestational diabetes,Pregnancy complicated by maternal disorders,Maternal complications of pregnancy,Preg
Acute febrile neutrophilic dermatosis,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin
Breast discharge,Breast signs and symptoms,Breast disorders,Repro
Joint lock,Joint related disorders NEC,Joint disorders,Musc
Gastrointestinal stromal tumour,Gastrointestinal neoplasms malignant NEC,Gastrointestinal neoplasms malignant and unspecified,Neopl
Malignant melanoma stage I,Skin melanomas (excl ocular),Skin neoplasms malignant and unspecified,Neopl
Seminoma,Testicular neoplasms malignant,Reproductive neoplasms male malignant and unspecified,Neopl
Pyelonephritis acute,Urinary tract infections,Infections - pathogen unspecified,Infec
Carcinoid tumour pulmonary,Carcinoid tumours,Endocrine neoplasms malignant and unspecified,Neopl
Ulcer haemorrhage,Ulcers NEC,Tissue disorders NEC,Genrl
Abortion of ectopic pregnancy,Abortions not specified as induced or spontaneous,Abortions and stillbirth,Preg
Pregnancy of partner,Family and partner issues,Family issues,SocCi
Pityriasis rosea,Papulosquamous conditions,Epidermal and dermal conditions,Skin
Superficial spreading melanoma stage unspecified,Skin melanomas (excl ocular),Skin neoplasms malignant and unspecified,Neopl
Breast cancer stage II,Breast and nipple neoplasms malignant,Breast neoplasms malignant and unspecified (incl nipple),Neopl
Bladder transitional cell carcinoma stage III,Bladder neoplasms malignant,Renal and urinary tract neoplasms malignant and unspecified,Neopl
Magnetic resonance imaging abnormal,Imaging procedures NEC,"Investigations, imaging and histopathology procedures NEC",Inv
Staphylococcus test positive,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Inv
Blood glucose abnormal,Carbohydrate tolerance analyses (incl diabetes),"Metabolic, nutritional and blood gas investigations",Inv
Pancreatic steatosis,Pancreatic disorders NEC,Exocrine pancreas conditions,Gastr
Protein urine present,Urinalysis NEC,Renal and urinary tract investigations and urinalyses,Inv
Corneal erosion,"Corneal structural change, deposit and degeneration","Anterior eye structural change, deposit and degeneration",Eye
Injection site oedema,Injection site reactions,Administration site reactions,Genrl
X-ray abnormal,Imaging procedures NEC,"Investigations, imaging and histopathology procedures NEC",Inv
Rabies,Rabies viral infections,Viral infectious disorders,Infec
Erysipelas,Streptococcal infections,Bacterial infectious disorders,Infec
Smear site unspecified abnormal,Histopathology procedures NEC,"Investigations, imaging and histopathology procedures NEC",Inv
Neoplasm recurrence,Neoplasms unspecified malignancy and site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
Mycobacterium tuberculosis complex test positive,Mycobacteria identification and serology,Microbiology and serology investigations,Inv
Anaplastic large cell lymphoma T- and null-cell types,Anaplastic large cell lymphomas T- and null-cell types,Lymphomas non-Hodgkin's T-cell,Neopl
Peripheral T-cell lymphoma unspecified,Peripheral T-cell lymphomas NEC,Lymphomas non-Hodgkin's T-cell,Neopl
Bone marrow granuloma,Haematological disorders,Haematological disorders NEC,Blood
Splenic lesion,Spleen disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Blood
Bronchogenic cyst,Pulmonary and bronchial disorders congenital,Respiratory disorders congenital,Cong
Foetal cardiac disorder,Foetal complications NEC,Foetal complications,Preg
Mucoepidermoid carcinoma,Neoplasms malignant site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
Underweight,General nutritional disorders NEC,Appetite and general nutritional disorders,Metab
Joint injection,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surg
Melanocytic naevus,Skin neoplasms benign,Cutaneous neoplasms benign,Neopl
Tenosynovitis,Tendon disorders,"Tendon, ligament and cartilage disorders",Musc
Cholangitis sclerosing,Bile duct infections and inflammations,Bile duct disorders,Hepat
Uterine enlargement,Uterine disorders NEC,"Uterine, pelvic and broad ligament disorders",Repro
Blood creatinine decreased,Renal function analyses,Renal and urinary tract investigations and urinalyses,Inv
Optic ischaemic neuropathy,Optic nerve bleeding and vascular disorders,Ocular haemorrhages and vascular disorders NEC,Eye
Staphylococcal impetigo,Staphylococcal infections,Bacterial infectious disorders,Infec
Double stranded DNA antibody positive,Autoimmunity analyses,Immunology and allergy investigations,Inv
Immunodeficiency,Immunodeficiency disorders NEC,Immunodeficiency syndromes,Immun
Ruptured cerebral aneurysm,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nerv
Granular cell tumour,Neoplasms unspecified malignancy and site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
Thyroid function test abnormal,Thyroid analyses,Endocrine investigations (incl sex hormones),Inv
Excessive granulation tissue,Skin and subcutaneous conditions NEC,Skin and subcutaneous tissue disorders NEC,Skin
Antineutrophil cytoplasmic antibody positive,Autoimmunity analyses,Immunology and allergy investigations,Inv
Eczema infected,Skin structures and soft tissue infections,Infections - pathogen unspecified,Infec
Food intolerance,Food malabsorption and intolerance syndromes (excl sugar intolerance),Food intolerance syndromes,Metab
Pachymeningitis,Meningitis NEC,Central nervous system infections and inflammations,Nerv
Arthritis reactive,Spondyloarthropathies,Joint disorders,Musc
Hypertensive heart disease,Cardiac hypertensive complications,"Cardiac disorders, signs and symptoms NEC",Card
Heart valve incompetence,Cardiac valve disorders NEC,Cardiac valve disorders,Card
Large cell lung cancer,Non-small cell neoplasms malignant of the respiratory tract cell type specified,Respiratory and mediastinal neoplasms malignant and unspecified,Neopl
Polycythaemia vera,Myeloproliferative disorders (excl leukaemias),Haematopoietic neoplasms (excl leukaemias and lymphomas),Neopl
Complication of delivery,Maternal complications of delivery NEC,Maternal complications of labour and delivery,Preg
Central nervous system vasculitis,Central nervous system vascular disorders NEC,Central nervous system vascular disorders,Nerv
Disturbance in sexual arousal,Sexual arousal disorders,"Sexual dysfunctions, disturbances and gender identity disorders",Psych
Hordeolum,Eye and eyelid infections,Infections - pathogen unspecified,Infec
Skin haemorrhage,Skin haemorrhages,Skin vascular abnormalities,Skin
Acute disseminated encephalomyelitis,Demyelinating disorders NEC,Demyelinating disorders,Nerv
Retained placenta or membranes,Maternal complications of delivery NEC,Maternal complications of labour and delivery,Preg
Injection site discolouration,Injection site reactions,Administration site reactions,Genrl
Aortic arteriosclerosis,Aortic necrosis and vascular insufficiency,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vasc
Myocardial fibrosis,Myocardial disorders NEC,Myocardial disorders,Card
Pericarditis adhesive,Noninfectious pericarditis,Pericardial disorders,Card
Blood parathyroid hormone increased,Parathyroid analyses,Endocrine investigations (incl sex hormones),Inv
Parathyroid disorder,Parathyroid disorders NEC,Parathyroid gland disorders,Endo
Injection site papule,Injection site reactions,Administration site reactions,Genrl
Cutaneous T-cell lymphoma,Mycoses fungoides,Lymphomas non-Hodgkin's T-cell,Neopl
Food allergy,"Allergies to foods, food additives, drugs and other chemicals",Allergic conditions,Immun
Necrotising fasciitis streptococcal,Streptococcal infections,Bacterial infectious disorders,Infec
Carpal tunnel decompression,Peripheral nerve therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surg
Penile ulceration,Skin and subcutaneous tissue ulcerations,Skin and subcutaneous tissue disorders NEC,Skin
Mycobacterium chelonae infection,Atypical mycobacterial infections,Mycobacterial infectious disorders,Infec
Solar lentigo,Hyperpigmentation disorders,Pigmentation disorders,Skin
Penile squamous cell carcinoma,Penile neoplasms malignant,Reproductive neoplasms male malignant and unspecified,Neopl
Plasma cell myeloma,Plasma cell myelomas,Plasma cell neoplasms,Neopl
Squamous cell carcinoma of lung,Non-small cell neoplasms malignant of the respiratory tract cell type specified,Respiratory and mediastinal neoplasms malignant and unspecified,Neopl
Inguinal hernia,Inguinal hernias,Abdominal hernias and other abdominal wall conditions,Gastr
Large intestinal obstruction,Large intestinal stenosis and obstruction,Gastrointestinal stenosis and obstruction,Gastr
Left atrial dilatation,Myocardial disorders NEC,Myocardial disorders,Card
Mitral valve disease,Mitral valvular disorders,Cardiac valve disorders,Card
Pancreatic atrophy,Pancreatic disorders NEC,Exocrine pancreas conditions,Gastr
Pulmonary arterial pressure increased,Vascular tests NEC (incl blood pressure),Cardiac and vascular investigations (excl enzyme tests),Inv
Renal atrophy,Renal structural abnormalities and trauma,Renal disorders (excl nephropathies),Renal
Right atrial dilatation,Myocardial disorders NEC,Myocardial disorders,Card
Non-small cell lung cancer stage IV,Non-small cell neoplasms malignant of the respiratory tract cell type specified,Respiratory and mediastinal neoplasms malignant and unspecified,Neopl
Injection site nodule,Injection site reactions,Administration site reactions,Genrl
Vaginal prolapse,Pelvic prolapse conditions,"Uterine, pelvic and broad ligament disorders",Repro
Haemorrhoids,Haemorrhoids and gastrointestinal varices (excl oesophageal),Gastrointestinal vascular conditions,Gastr
Bacterial sepsis,Bacterial infections NEC,Bacterial infectious disorders,Infec
Candida sepsis,Candida infections,Fungal infectious disorders,Infec
Device related sepsis,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections - pathogen unspecified,Infec
Bronchopulmonary aspergillosis,Aspergillus infections,Fungal infectious disorders,Infec
Glioma,Nervous system neoplasms unspecified malignancy NEC,Nervous system neoplasms malignant and unspecified NEC,Neopl
Lung carcinoma cell type unspecified stage 0,Respiratory tract and pleural neoplasms malignant cell type unspecified NEC,Respiratory and mediastinal neoplasms malignant and unspecified,Neopl
Oesophageal squamous cell carcinoma,Oesophageal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Testicular germ cell cancer,Testicular neoplasms malignant,Reproductive neoplasms male malignant and unspecified,Neopl
Muscle rupture,"Muscle, tendon and ligament injuries",Injuries NEC,Inj&P
Chronic inflammatory demyelinating polyradiculoneuropathy,Chronic polyneuropathies,Peripheral neuropathies,Nerv
Eyelids pruritus,Ocular disorders NEC,Eye disorders NEC,Eye
Mucosa vesicle,Mucosal findings abnormal,General system disorders NEC,Genrl
Acute cholecystitis necrotic,Cholecystitis and cholelithiasis,Gallbladder disorders,Hepat
Gastrointestinal necrosis,Gastrointestinal necrosis and gangrene (excl gangrenous hernia),Gastrointestinal vascular conditions,Gastr
Bone tuberculosis,Tuberculous infections,Mycobacterial infectious disorders,Infec
Incoherent,Speech and language abnormalities,Neurological disorders NEC,Nerv
Squamous cell carcinoma of head and neck,Neoplasms malignant site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
Pseudomonas test positive,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Inv
Morphoea,Connective tissue disorders NEC,Connective tissue disorders (excl congenital),Musc
Intervertebral disc protrusion,Intervertebral disc disorders NEC,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musc
Uterine cancer,Uterine neoplasms malignant NEC,Reproductive neoplasms female malignant and unspecified,Neopl
Serum ferritin decreased,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Inv
Cerebral ischaemia,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nerv
Lentigo maligna,Skin melanomas (excl ocular),Skin neoplasms malignant and unspecified,Neopl
Arthritis enteropathic,Arthropathies NEC,Joint disorders,Musc
Pulmonary sarcoidosis,Lower respiratory tract inflammatory and immunologic conditions,Lower respiratory tract disorders (excl obstruction and infection),Resp
Onychomadesis,Nail and nail bed conditions (excl infections and infestations),Skin appendage conditions,Skin
Systemic inflammatory response syndrome,Inflammations,General system disorders NEC,Genrl
Sensation of blood flow,Feelings and sensations NEC,General system disorders NEC,Genrl
Tuberculosis gastrointestinal,Tuberculous infections,Mycobacterial infectious disorders,Infec
Pharyngeal disorder,Pharyngeal disorders (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),Resp
Breast cancer stage III,Breast and nipple neoplasms malignant,Breast neoplasms malignant and unspecified (incl nipple),Neopl
Breast cellulitis,Bacterial infections NEC,Bacterial infectious disorders,Infec
Cataract operation,Lens therapeutic procedures,Eye therapeutic procedures,Surg
Carotid artery dissection,Central nervous system aneurysms and dissections,Central nervous system vascular disorders,Nerv
Autoimmune neutropenia,Neutropenias,White blood cell disorders,Blood
Pancreatic neuroendocrine tumour,Islet cell neoplasms and APUDoma NEC,Endocrine neoplasms malignant and unspecified,Neopl
Herpes zoster infection neurological,Herpes viral infections,Viral infectious disorders,Infec
Bundle branch block left,Cardiac conduction disorders,Cardiac arrhythmias,Card
Erythrodermic psoriasis,Psoriatic conditions,Epidermal and dermal conditions,Skin
Oral mucosal discolouration,Oral soft tissue signs and symptoms,Oral soft tissue conditions,Gastr
Hypoglossal nerve paresis,Hypoglossal nerve disorders,Cranial nerve disorders (excl neoplasms),Nerv
Yersinia infection,Yersinia infections,Bacterial infectious disorders,Infec
Stoma site abscess,Infections NEC,Infections - pathogen unspecified,Infec
Product administered at inappropriate site,Product administration errors and issues,Medication errors and other product use errors and issues,Inj&P
Venous injury,Cardiovascular injuries,Injuries NEC,Inj&P
Bladder neoplasm,Urinary tract neoplasms unspecified malignancy NEC,Renal and urinary tract neoplasms malignant and unspecified,Neopl
Sacroiliitis,Arthropathies NEC,Joint disorders,Musc
Impaired driving ability,Disability issues,Lifestyle issues,SocCi
Coronary artery stenosis,Coronary artery disorders NEC,Coronary artery disorders,Card
Hodgkin's disease mixed cellularity stage unspecified,Hodgkin's disease mixed cellularity type,Lymphomas Hodgkin's disease,Neopl
Glioblastoma,Glial tumours malignant,Nervous system neoplasms malignant and unspecified NEC,Neopl
Testicular malignant teratoma,Testicular neoplasms malignant,Reproductive neoplasms male malignant and unspecified,Neopl
Thyrotoxic crisis,Thyroid hyperfunction disorders,Thyroid gland disorders,Endo
Nasal pruritus,Nasal disorders NEC,Upper respiratory tract disorders (excl infections),Resp
Allergic respiratory symptom,Respiratory signs and symptoms NEC,Respiratory tract signs and symptoms,Resp
Mineral supplementation,Dietary and nutritional therapies,Therapeutic procedures and supportive care NEC,Surg
Pruritus allergic,Pruritus NEC,Epidermal and dermal conditions,Skin
Dysplasia,Trophic disorders,Tissue disorders NEC,Genrl
Musculoskeletal discomfort,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders NEC,Musc
Platelet aggregation abnormal,Platelet analyses,Haematology investigations (incl blood groups),Inv
Extradural abscess,Central nervous system and spinal infections,Infections - pathogen unspecified,Infec
Change of bowel habit,Gastrointestinal dyskinetic disorders,Gastrointestinal motility and defaecation conditions,Gastr
Carotid artery thrombosis,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nerv
Magnetic resonance imaging abdominal,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Inv
Hilar lymphadenopathy,Lymphatic system disorders NEC,"Spleen, lymphatic and reticuloendothelial system disorders",Blood
Colon cancer metastatic,Colorectal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Umbilical hernia,Umbilical hernias,Abdominal hernias and other abdominal wall conditions,Gastr
Sudden onset of sleep,Sleep disturbances NEC,Sleep disturbances (incl subtypes),Nerv
Pouchitis,Gastrointestinal inflammatory disorders NEC,Gastrointestinal inflammatory conditions,Gastr
DiGeorge's syndrome,Immune system abnormalities congenital,Immune system disorders congenital,Cong
Cystitis-like symptom,Urinary tract signs and symptoms NEC,Urinary tract signs and symptoms,Renal
Bence Jones proteinuria,Urinary abnormalities,Urinary tract signs and symptoms,Renal
Light chain analysis increased,Immunoglobulin analyses,Immunology and allergy investigations,Inv
Malignant ascites,Peritoneal and retroperitoneal disorders,Peritoneal and retroperitoneal conditions,Gastr
Peritoneal disorder,Peritoneal and retroperitoneal disorders,Peritoneal and retroperitoneal conditions,Gastr
"Follicle centre lymphoma, follicular grade I, II, III",Follicular lymphomas,Lymphomas non-Hodgkin's B-cell,Neopl
Breech presentation,Foetal position and presentation abnormalities,Foetal complications,Preg
Gastrointestinal inflammation,Gastrointestinal inflammatory disorders NEC,Gastrointestinal inflammatory conditions,Gastr
Micturition urgency,Bladder and urethral symptoms,Urinary tract signs and symptoms,Renal
Prostate cancer stage 0,Prostatic neoplasms malignant,Reproductive neoplasms male malignant and unspecified,Neopl
Investigation,Investigations NEC,"Investigations, imaging and histopathology procedures NEC",Inv
Streptococcal infection,Streptococcal infections,Bacterial infectious disorders,Infec
Acne cystic,Acnes,Skin appendage conditions,Skin
Infected cyst,Infections NEC,Infections - pathogen unspecified,Infec
Wound infection,Infections NEC,Infections - pathogen unspecified,Infec
Anorectal disorder,Anal and rectal disorders NEC,Anal and rectal conditions NEC,Gastr
Malignant neoplasm of eye,Ocular neoplasms malignant (excl melanomas),Ocular neoplasms,Neopl
Cryptosporidiosis infection,Cryptosporidia infections,Protozoal infectious disorders,Infec
