Drug,PubChem CID,InChI Key,SMILES,STITCH ID,BNF Code,chembl_id,atc_codes
Digoxin,2724385,LTMHDMANZUZIPE-PUGKRICDSA-N,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,CIDs02724385,"['0201010F0AA', '0201010AAAA']",CHEMBL1751,['C01AA05']
Digoxin-Specific Antibody Fragments,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Dihydrocodeine,5284543,RBOXVHNMENFORY-DNJOTXNNSA-N,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O,CIDs05284543,,CHEMBL1595,"['N02AA08', 'N02AA58']"
Dihydroergotamine,10531,LUZRJRNZXALNLM-JGRZULCMSA-N,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,CIDs00010531,,CHEMBL1732,"['N02CA01', 'N02CA51']"
Diloxanide,11367,GZZZSOOGQLOEOB-UHFFFAOYSA-N,CN(C1=CC=C(C=C1)O)C(=O)C(Cl)Cl,CIDs00011367,['0504020G0AA'],CHEMBL2103768,['P01AC01']
Diltiazem,39186,HSUGRBWQSSZJOP-RTWAWAEBSA-N,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,CIDs00039186,"['0206020C0AA', '0107010AAAA']",CHEMBL23,"['C05AE03', 'C08DB01']"
Dimenhydrinate,10660,NFLLKCVHYJRNRH-UHFFFAOYSA-N,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,CIDs00010660,['0406000H0AA'],CHEMBL1200406,['R06AA11']
Dimethindene,21855,MVMQESMQSYOVGV-UHFFFAOYSA-N,CC(C1=CC=CC=N1)C2=C(CC3=CC=CC=C32)CCN(C)C,CIDs00021855,,CHEMBL22108,"['R06AB03', 'D04AA13']"
Dimethyl Ether,8254,LCGLNKUTAGEVQW-UHFFFAOYSA-N,COC,CIDs00008254,,CHEMBL119178,[]
Dimethyl Fumarate,637568,LDCRTTXIJACKKU-ONEGZZNKSA-N,COC(=O)C=CC(=O)OC,CIDs00637568,['0802040AKAA'],CHEMBL2107333,['L04AX07']
Dimethyl Sulphoxide,679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,CIDs12264368,,CHEMBL504,"['G04BX13', 'M02AX03']"
Dimeticone,24705,CXQXSVUQTKDNFP-UHFFFAOYSA-N,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,CIDs00024705,"['1302020D0AA', '130201000AA', '1310040V0AA']",CHEMBL2142985,[]
Dinoprost,5280363,PXGPLTODNUVGFL-YNNPMVKQSA-N,CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,CIDs10832988,['0701010I0AA'],CHEMBL815,['G02AD01']
Dinoprostone,5280360,XEYBRNLFEZDVAW-ARSRFYASSA-N,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,CIDs00000158,,CHEMBL548,['G02AD02']
Dinutuximab,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Diosmin,5281613,GZSOSUNBTXMUFQ-YFAPSIMESA-N,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,CIDs05281613,['0206040ATAA'],CHEMBL231884,"['C05CA53', 'C05CA03']"
Dipentamethylenethiuram Disulphide,7188,KNBRWWCHBRQLNY-UHFFFAOYSA-N,C1CCN(CC1)C(=S)SSC(=S)N2CCCCC2,CIDs00007188,,CHEMBL121516,[]
Diphenhydramine,3100,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,CIDs00003100,"['0304010N0AA', '0407010X0AA', '030902040AA', '1303000J0AA', '0309020ABAA']",CHEMBL657,"['D04AA32', 'R06AA52', 'R06AA02']"
Diphenoxylate,13505,HYPPXZBJBPSRLK-UHFFFAOYSA-N,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,CIDs00013505,,CHEMBL1201294,['A07DA01']
Diphenylpyraline,3103,OWQUZNMMYNAXSL-UHFFFAOYSA-N,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3,CIDs00003103,,CHEMBL1492,"['R06AA07', 'R06AA57']"
Dipipanone,13331,SVDHSZFEQYXRDC-UHFFFAOYSA-N,CCC(=O)C(CC(C)N1CCCCC1)(C2=CC=CC=C2)C3=CC=CC=C3,CIDs46781404,,CHEMBL2111157,[]
Dipivefrine,3105,OCUJLLGVOUDECM-UHFFFAOYSA-N,CC(C)(C)C(=O)OC1=C(C=C(C=C1)C(CNC)O)OC(=O)C(C)(C)C,CIDs00003105,['1106000Q0AA'],CHEMBL1201262,['S01EA02']
Dipyridamole,3108,IZEKFCXSFNUWAM-UHFFFAOYSA-N,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,CIDs00003108,['0209000L0AA'],CHEMBL932,['B01AC07']
Diroximel Fumarate,73330464,YIMYDTCOUQIDMT-SNAWJCMRSA-N,COC(=O)C=CC(=O)OCCN1C(=O)CCC1=O,CIDs73330464,,CHEMBL3989944,['L04AX09']
Disopyramide,3114,UVTNFZQICZKOEM-UHFFFAOYSA-N,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,CIDs00003114,"['0203020F0AA', '0203020G0AA']",CHEMBL517,['C01BA03']
Disperse Blue 106,108061,UIHYHADQHHUIOF-UHFFFAOYSA-N,CCN(CCO)C1=CC(=C(C=C1)N=NC2=NC=C(S2)[N+](=O)[O-])C,CIDs00108061,,,[]
Distigmine,3116,AHZBEVXBKNYXPU-UHFFFAOYSA-N,C[N+]1=CC=CC(=C1)OC(=O)N(C)CCCCCCN(C)C(=O)OC2=C[N+](=CC=C2)C,CIDs00003116,['0704010I0AA'],CHEMBL1199307,['N07AA03']
Disulfiram,3117,AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,CIDs00003117,['0410010B0AA'],CHEMBL964,"['P03AA04', 'P03AA54', 'N07BB01']"
Dithranol,2202,NUZWLKWWNNJHPT-UHFFFAOYSA-N,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,CIDs00002202,"['1305020F0AA', '1309000V0AA', '190400000AA']",CHEMBL46469,"['D05AC51', 'D05AC01']"
Dl-Threonine,205,AYFVYJQAPQTCCC-UHFFFAOYSA-N,CC(C(C(=O)O)N)O,CIDs00000205,,CHEMBL30037,[]
Dobutamine,36811,JRWZLRBJNMZMFE-UHFFFAOYSA-N,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,CIDs00036811,['0207010D0AA'],CHEMBL926,['C01CA07']
Docetaxel,148124,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,CIDm00003143,['0801050D0AA'],CHEMBL92,[]
Docosahexaenoic Acid,445580,MBMBGCFOFBJSGT-KUBAVDMBSA-N,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,CIDs00445580,"['0212000V0AA', '0212000ABAA']",CHEMBL367149,[]
Docusate,11339,HNSDLXPSAYFUHK-UHFFFAOYSA-N,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,CIDs00011339,"['0106020I0AA', '1201030F0AA']",CHEMBL1477036,[]
Dog Epithelia Unspecified,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Dolasetron,3033818,UKTAZPQNNNJVKR-AKJUYKBHSA-N,C1C2CC3CC(CC1N3CC2=O)OC(=O)C4=CNC5=CC=CC=C54,CIDs00003148,['0406000Z0AA'],,[]
Dolutegravir,54726191,RHWKPHLQXYSBKR-BMIGLBTASA-N,CC1CCOC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,CIDs71470116,"['0503010AHAA', '0503010APAA', '0503010AUAA']",CHEMBL1229211,['J05AJ03']
Domiphen,3149,YXUPZGKORWTXID-UHFFFAOYSA-N,CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1,CIDs00003149,['1203030M0AA'],CHEMBL1187011,['A01AB06']
Domperidone,3151,FGXWKSZFVQUSTL-UHFFFAOYSA-N,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,CIDs00003151,"['0406000J0AA', '0407041A0AA']",CHEMBL219916,['A03FA03']
Donepezil,3152,ADEBPBSSDYVVLD-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,CIDs00003152,['0411000D0AA'],CHEMBL502,['N06DA02']
Dopamine,681,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C1=CC(=C(C=C1CCN)O)O,CIDs54417146,"['0207010F0AA', '0207010F0BC']",CHEMBL59,['C01CA04']
Dopexamine,55483,RYBJORHCUPVNMB-UHFFFAOYSA-N,C1=CC=C(C=C1)CCNCCCCCCNCCC2=CC(=C(C=C2)O)O,CIDs00055483,['0207010Y0AA'],CHEMBL77622,['C01CA14']
Doravirine,58460047,ZIAOVIPSKUPPQW-UHFFFAOYSA-N,CN1C(=NNC1=O)CN2C=CC(=C(C2=O)OC3=CC(=CC(=C3)C#N)Cl)C(F)(F)F,CIDs58460047,"['0503010ASAA', '0503010ATAA']",CHEMBL2364608,['J05AG06']
Doripenem,73303,AVAACINZEOAHHE-VFZPANTDSA-N,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)CNS(=O)(=O)N)C(=O)O)C(C)O,CIDs00073303,['0501022C0AA'],CHEMBL491571,['J01DH04']
Dorzolamide,5284549,IAVUPMFITXYVAF-XPUUQOCRSA-N,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C,CIDs05284549,"['1106000P0AA', '1106000ABAA']",CHEMBL218490,['S01EC03']
Dostarlimab,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Dosulepin,5284550,PHTUQLWOUWZIMZ-GZTJUZNOSA-N,CN(C)CCC=C1C2=CC=CC=C2CSC3=CC=CC=C31,CIDs05284550,['0403010J0AA'],CHEMBL1492500,['N06AA16']
Doxapram,3156,XFDJYSQDBULQSI-UHFFFAOYSA-N,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,CIDs00003156,['0305010W0AA'],CHEMBL1754,['R07AB01']
Doxazosin,3157,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,CIDs00003157,['0205040D0AA'],CHEMBL707,['C02CA04']
Doxepin,667477,ODQWQRRAPPTVAG-GZTJUZNOSA-N,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,CIDs00667477,"['0403010L0AA', '1303000F0AA']",CHEMBL860,[]
Doxorubicin,31703,AOJJSUZBOXZQNB-TZSSRYMLSA-N,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,,"['0801020K0AA', '0801020K0BC']",CHEMBL53463,['L01DB01']
Doxycycline,54671203,SGKRLCUYIXIAHR-AKNGSSGZSA-N,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,CIDs54671203,"['0501030Z0AA', '0501030I0AA', '1203010U0AA']",,[]
Doxylamine,3162,HCFDWZZGGLSKEP-UHFFFAOYSA-N,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,CIDs00003162,['0406000AAAA'],CHEMBL1004,"['R06AA59', 'R06AA09']"
Dronabinol,16078,CYQFCXCEBYINGO-IAGOWNOFSA-N,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,,,CHEMBL465,['A04AD10']
Dronedarone,208898,ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC,CIDs00208898,['0203020X0AA'],CHEMBL184412,['C01BD07']
Droperidol,3168,RMEDXOLNCUSCGS-UHFFFAOYSA-N,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,CIDs00003168,['0402010G0AA'],CHEMBL1108,['N05AD08']
Drospirenone,68873,METQSPRSQINEEU-HXCATZOESA-N,CC12CCC(=O)C=C1C3CC3C4C2CCC5(C4C6CC6C57CCC(=O)O7)C,CIDs00068873,"['0703010F0AA', '0604011L0AA', '0703010E0AA', '0703021R0AA']",CHEMBL1509,['G03AC10']
Drostanolone,6011,IKXILDNPCZPPRV-RFMGOVQKSA-N,CC1CC2(C(CCC3C2CCC4(C3CCC4O)C)CC1=O)C,CIDs00006011,['0604030S0AA'],CHEMBL1582,[]
Drotrecogin Alfa (Activated),No PubChem CID found,No InChI Key found,No SMILES found,,,,
Dryopteris,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Dulaglutide,171042928,HPNPLWNTQBSMAJ-FBXRENMFSA-N,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NCC(=O)NCC(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC6=CNC=N6)N,,['0601023AQAA'],,[]
Duloxetine,60835,ZEUITGRIYCTCEM-KRWDZBQOSA-N,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,CIDs10334821,"['0704020AAAA', '0403040Y0AA']",CHEMBL1175,['N06AX21']
Dupilumab,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Durvalumab,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Dutasteride,6918296,JWJOTENAMICLJG-QWBYCMEYSA-N,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C,CIDs06918296,"['0604020B0AA', '0704010V0AA']",CHEMBL1200969,['G04CB02']
Duvelisib,50905713,SJVQHLPISAIATJ-ZDUSSCGKSA-N,CC(C1=CC2=C(C(=CC=C2)Cl)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,CIDs50905713,,CHEMBL3039502,['L01EM04']
Dydrogesterone,9051,JGMOKGBVKVMRFX-HQZYFCCVSA-N,CC(=O)C1CCC2C1(CCC3C2C=CC4=CC(=O)CCC34C)C,CIDs00009051,"['0604012F0AA', '0604011L0AA']",CHEMBL1200853,['G03DB01']
Ebastine,3191,MJJALKDDGIKVBE-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,CIDs00003191,,CHEMBL305660,['R06AX22']
Echinacea,No PubChem CID found,No InChI Key found,No SMILES found,,"['091200000BC', '091200000BF', '091200000BD', '091200000BE', '091200000AA', '091200000BB']",,
Echinacea Purpurea Radix,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Econazole,3198,LEZWWPYKPKIXLL-UHFFFAOYSA-N,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,CIDs00003198,"['0702020H0AA', '1103020E0AA', '1310020J0AA']",CHEMBL808,"['D01AC03', 'G01AF05']"
Ecothiopate,10548,BJOLKYGKSZKIGU-UHFFFAOYSA-N,CCOP(=O)(OCC)SCC[N+](C)(C)C,,,CHEMBL1201341,['S01EB03']
Eculizumab,No PubChem CID found,No InChI Key found,No SMILES found,,['0901030M0AA'],,
Edetic Acid,6049,KCXVZYZYPLLWCC-UHFFFAOYSA-N,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,CIDs00006049,,CHEMBL858,[]
Edotreotide,158782,RZHKDBRREKOZEW-AAXZNHDCSA-N,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)CN6CCN(CCN(CCN(CC6)CC(=O)O)CC(=O)O)CC(=O)O)C(=O)NC(CO)C(C)O)O,CIDs09920223,,CHEMBL408350,[]
Edoxaban,10280735,HGVDHZBSSITLCT-JLJPHGGASA-N,CN1CCC2=C(C1)SC(=N2)C(=O)NC3CC(CCC3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,CIDs10280735,['0208020AAAA'],CHEMBL1269025,['B01AF03']
Edrophonium,3202,VWLHWLSRQJQWRG-UHFFFAOYSA-O,CC[N+](C)(C)C1=CC(=CC=C1)O,CIDs00003202,['1002010H0AA'],CHEMBL1104,['V04CX07']
Efalizumab,No PubChem CID found,No InChI Key found,No SMILES found,,['1305030A0AA'],,
Efavirenz,64139,XPOQHMRABVBWPR-ZDUSSCGKSA-N,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,CIDs00064139,"['0503010D0AA', '0503010ANAA']",CHEMBL223228,['J05AG03']
Efgartigimod,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Eflornithine,3009,VLCYCQAOQCDTCN-UHFFFAOYSA-N,C(CC(C(F)F)(C(=O)O)N)CN,CIDs06603806,['1309000X0AA'],CHEMBL830,"['D11AX16', 'P01CX03']"
Efmoroctocog Alfa,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Eftrenonacog Alfa,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Egg Whole,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Eicosapentaenoic Acid,446284,JAZBEHYOTPTENJ-JLNKQSITSA-N,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,CIDs00446284,,CHEMBL460026,[]
Elacestrant,23642301,SIFNOOUKXBRGGB-AREMUKBSSA-N,CCNCCC1=CC=C(C=C1)CN(CC)C2=C(C=CC(=C2)OC)C3CCC4=C(C3)C=CC(=C4)O,CIDs23642301,,CHEMBL4297509,[]
Eladocagene Exuparvovec,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Elbasvir,71661251,BVAZQCUMNICBAQ-PZHYSIFUSA-N,CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC4=C(C=C3)N5C(OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)C8CCCN8C(=O)C(C(C)C)NC(=O)OC)C9=CC=CC=C9)NC(=O)OC,CIDs71661251,['0503032I0AA'],CHEMBL3039514,['J05AP10']
Eletriptan,77993,PWVXXGRKLHYWKM-LJQANCHMSA-N,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,CIDs00077993,['0407041AAAA'],CHEMBL1510,['N02CC06']
Elettaria Cardamomum,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Elexacaftor,134587348,MVRHVFSOIWFBTE-INIZCTEOSA-N,CC1CC(N(C1)C2=C(C=CC(=N2)N3C=CC(=N3)OCC(C)(C)C(F)(F)F)C(=O)NS(=O)(=O)C4=CN(N=C4C)C)(C)C,,,CHEMBL4298128,[]
Eliglustat,23652731,FJZZPCZKBUKGGU-AUSIDOKSSA-N,CCCCCCCC(=O)NC(CN1CCCC1)C(C2=CC3=C(C=C2)OCCO3)O,CIDs11531537,['0908010ARAA'],CHEMBL2110588,['A16AX10']
Elosulfase Alfa,No PubChem CID found,No InChI Key found,No SMILES found,,['0908010APAA'],,
Elotuzumab,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Eltrombopag,135449332,SVOQIEJWJCQGDQ-UHFFFAOYSA-N,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C,,['0901040C0AA'],,[]
Eluxadoline,11250029,QFNHIDANIVGXPE-FNZWTVRRSA-N,CC1=CC(=CC(=C1CC(C(=O)N(CC2=CC(=C(C=C2)OC)C(=O)O)C(C)C3=NC=C(N3)C4=CC=CC=C4)N)C)C(=O)N,CIDs11250029,['0102000AKAA'],CHEMBL2159122,['A07DA06']
Elvitegravir,5277135,JUZYLCPPVHEVSV-LJQANCHMSA-N,CC(C)C(CO)N1C=C(C(=O)C2=C1C=C(C(=C2)CC3=C(C(=CC=C3)Cl)F)OC)C(=O)O,,['0503010AJAA'],CHEMBL204656,['J05AJ02']
Emedastine,3219,KBUZBQVCBVDWKX-UHFFFAOYSA-N,CCOCCN1C2=CC=CC=C2N=C1N3CCCN(CC3)C,CIDs00003219,['1104020X0AA'],CHEMBL594,['S01GX06']
Emepronium,34055,JEJBJBKVPOWOQK-UHFFFAOYSA-N,CC[N+](C)(C)C(C)CC(C1=CC=CC=C1)C2=CC=CC=C2,CIDs00034055,,CHEMBL2110805,"['N05CX05', 'G04BD01']"
Emicizumab,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Empagliflozin,11949646,OBWASQILIWPZMG-QZMOQZSNSA-N,C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl,CIDs11949646,"['0601023ANAA', '0601023ARAA', '0601023AYAA']",CHEMBL2107830,['A10BK03']
Emtricitabine,60877,XQSPYNMVSIKCOC-NTSWFWBYSA-N,C1C(OC(S1)CO)N2C=C(C(=NC2=O)N)F,CIDs00060877,"['0503010K0AA', '0503010AAAA', '0503010AMAA']",CHEMBL885,['J05AF09']
Enalapril,5388962,GBXSMTUPTTWBMN-XIRDDKMYSA-N,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O,CIDm00003222,['0205051I0AA'],CHEMBL578,['C09AA02']
Enbucrilate,23087,JJJFUHOGVZWXNQ-UHFFFAOYSA-N,CCCCOC(=O)C(=C)C#N,CIDs00023087,,CHEMBL2104251,[]
Encorafenib,50922675,CMJCXYNUCSMDBY-ZDUSSCGKSA-N,CC(C)N1C=C(C(=N1)C2=C(C(=CC(=C2)Cl)NS(=O)(=O)C)F)C3=NC(=NC=C3)NCC(C)NC(=O)OC,,['0801050CMAA'],CHEMBL3301612,['L01EC03']
Enflurane,3226,JPGQOUSTVILISH-UHFFFAOYSA-N,C(C(OC(F)F)(F)F)(F)Cl,CIDs07059516,,CHEMBL1257,['N01AB04']
Enfuvirtide,16130199,PEASPLKKXBYDKL-FXEVSJAOSA-N,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CC(=O)N)C(=O)NC(CC5=CNC6=CC=CC=C65)C(=O)NC(CC7=CC=CC=C7)C(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC8=CN=CN8)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC9=CC=C(C=C9)O)NC(=O)C,CIDs16130199,['0503010J0AA'],CHEMBL525076,['J05AX07']
Enoxacin,3229,IDYZIJYBMGIQMJ-UHFFFAOYSA-N,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,CIDs00003229,,CHEMBL826,['J01MA04']
Enoxaparin,772,HTTJABKRGRZYRN-UHFFFAOYSA-N,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,CIDs00000772,"['0208010D0AA', '0208010D0BD']",,[]
Enoximone,53708,ZJKNESGOIKRXQY-UHFFFAOYSA-N,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,CIDs00053708,['0201020G0AA'],CHEMBL249856,['C01CE03']
Enoxolone,10114,MPDGHEJMBKOTSU-YKLVYJNSSA-N,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,CIDs54084032,,CHEMBL230006,['D03AX10']
Entacapone,5281081,JRURYQJSLYLRLN-BJMVGYQFSA-N,CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N,CIDs05281081,['0409010V0AA'],CHEMBL953,['N04BX02']
Entecavir,135398508,QDGZDCVAUDNJFG-FXQIFTODSA-N,C=C1C(CC(C1CO)O)N2C=NC3=C2N=C(NC3=O)N,CIDs25241416,['0503031B0AA'],CHEMBL713,[]
Entrectinib,25141092,HAYYBYPASCDWEQ-UHFFFAOYSA-N,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6,CIDs25141092,,CHEMBL1983268,['L01EX14']
Enzalutamide,15951529,WXCXUHSOUPDCQV-UHFFFAOYSA-N,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C,CIDs15951529,['0803042U0AA'],CHEMBL1082407,['L02BB04']
Epacadostat,135564890,FBKMWOJEPMPVTQ-UHFFFAOYSA-N,C1=CC(=C(C=C1N=C(C2=NON=C2NCCNS(=O)(=O)N)NO)Br)F,,,CHEMBL3545369,['L01XX58']
