Link,Drug Name
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000444196725.zip&amp;agency=MHRA,Desogestrel
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000005198283.zip&amp;agency=MHRA,Dexamethasone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000210229743.zip&amp;agency=MHRA,Dexamphetamine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000366639173.zip&amp;agency=MHRA,Dexfenfluramine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000646397568.zip&amp;agency=MHRA,Dexibuprofen
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000282014536.zip&amp;agency=MHRA,Dexketoprofen
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000440812747.zip&amp;agency=MHRA,Dexmedetomidine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000659773895.zip&amp;agency=MHRA,Dexpanthenol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000699321871.zip&amp;agency=MHRA,Dexrazoxane
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000214690134.zip&amp;agency=MHRA,Dextran
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000520163414.zip&amp;agency=MHRA,Dextranomer
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000418125508.zip&amp;agency=MHRA,Dextromethorphan
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000024635910.zip&amp;agency=MHRA,Dextromoramide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000027160004.zip&amp;agency=MHRA,Dextropropoxyphene
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000673833855.zip&amp;agency=MHRA,Di-Iodohydroxyquinoline
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000420316983.zip&amp;agency=MHRA,Diamorphine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000439207949.zip&amp;agency=MHRA,Diazepam
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000834886965.zip&amp;agency=MHRA,Diazoxide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000062039509.zip&amp;agency=MHRA,Dibrompropamidine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000922263747.zip&amp;agency=MHRA,Dibutyldithiocarmabate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000129961013.zip&amp;agency=MHRA,Dichloralphenazone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000041410086.zip&amp;agency=MHRA,Dichlorobenzyl Alcohol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000165741180.zip&amp;agency=MHRA,Dichlorodifluoromethane
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000226400229.zip&amp;agency=MHRA,Dichlorophen
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000992903969.zip&amp;agency=MHRA,Dichlorphenamide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000129175942.zip&amp;agency=MHRA,Diclofenac
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000867318605.zip&amp;agency=MHRA,Dicloxacillin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000321908993.zip&amp;agency=MHRA,Dicyclomine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000563969644.zip&amp;agency=MHRA,Didanosine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000534906586.zip&amp;agency=MHRA,Dienoestrol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000438799626.zip&amp;agency=MHRA,Dienogest
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000878758362.zip&amp;agency=MHRA,Diethyldithiocarbamate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000362595994.zip&amp;agency=MHRA,Diethylpropion
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000716418540.zip&amp;agency=MHRA,Diethylstilbestrol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000429627638.zip&amp;agency=MHRA,Difelikefalin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000215855186.zip&amp;agency=MHRA,Diflucortolone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000668938623.zip&amp;agency=MHRA,Diflunisal
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000596103204.zip&amp;agency=MHRA,Digitalis
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000665727844.zip&amp;agency=MHRA,Digitoxin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000977096353.zip&amp;agency=MHRA,Digoxin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000561151431.zip&amp;agency=MHRA,Digoxin-Specific Antibody Fragments
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000818862229.zip&amp;agency=MHRA,Dihydrocodeine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000502312759.zip&amp;agency=MHRA,Dihydroergotamine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000687740173.zip&amp;agency=MHRA,Diloxanide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000729810460.zip&amp;agency=MHRA,Diltiazem
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001036456084.zip&amp;agency=MHRA,Dimenhydrinate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000578098367.zip&amp;agency=MHRA,Dimethindene
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001053914875.zip&amp;agency=MHRA,Dimethyl Ether
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000614663933.zip&amp;agency=MHRA,Dimethyl Fumarate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000633727661.zip&amp;agency=MHRA,Dimethyl Sulphoxide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000165273878.zip&amp;agency=MHRA,Dimeticone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000155120797.zip&amp;agency=MHRA,Dinoprost
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000939963009.zip&amp;agency=MHRA,Dinoprostone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000421618293.zip&amp;agency=MHRA,Dinutuximab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000115296680.zip&amp;agency=MHRA,Diosmin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000963038308.zip&amp;agency=MHRA,Dipentamethylenethiuram Disulphide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000674037528.zip&amp;agency=MHRA,Diphenhydramine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000884373026.zip&amp;agency=MHRA,Diphenoxylate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000843478341.zip&amp;agency=MHRA,Diphenylpyraline
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000354585290.zip&amp;agency=MHRA,Dipipanone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001011214995.zip&amp;agency=MHRA,Dipivefrine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000452796981.zip&amp;agency=MHRA,Dipyridamole
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000936830523.zip&amp;agency=MHRA,Diroximel Fumarate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000847626110.zip&amp;agency=MHRA,Disopyramide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000489321739.zip&amp;agency=MHRA,Disperse Blue 106
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000375992182.zip&amp;agency=MHRA,Distigmine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000934317405.zip&amp;agency=MHRA,Disulfiram
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000347272031.zip&amp;agency=MHRA,Dithranol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000170031736.zip&amp;agency=MHRA,Dl-Threonine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000306975636.zip&amp;agency=MHRA,Dobutamine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000271632312.zip&amp;agency=MHRA,Docetaxel
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000608556111.zip&amp;agency=MHRA,Docosahexaenoic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000631797597.zip&amp;agency=MHRA,Docusate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000637607887.zip&amp;agency=MHRA,Dog Epithelia Unspecified
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000374674727.zip&amp;agency=MHRA,Dolasetron
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000309050171.zip&amp;agency=MHRA,Dolutegravir
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000147734802.zip&amp;agency=MHRA,Domiphen
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000632374449.zip&amp;agency=MHRA,Domperidone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000231717423.zip&amp;agency=MHRA,Donepezil
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000273433404.zip&amp;agency=MHRA,Dopamine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000721214881.zip&amp;agency=MHRA,Dopexamine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000655398374.zip&amp;agency=MHRA,Doravirine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000562112352.zip&amp;agency=MHRA,Doripenem
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000253781402.zip&amp;agency=MHRA,Dorzolamide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000272096419.zip&amp;agency=MHRA,Dostarlimab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000330439786.zip&amp;agency=MHRA,Dosulepin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000756919926.zip&amp;agency=MHRA,Doxapram
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000815009573.zip&amp;agency=MHRA,Doxazosin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000854577442.zip&amp;agency=MHRA,Doxepin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000096847301.zip&amp;agency=MHRA,Doxorubicin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000360883781.zip&amp;agency=MHRA,Doxycycline
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000784636737.zip&amp;agency=MHRA,Doxylamine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000436064065.zip&amp;agency=MHRA,Dronabinol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000980778197.zip&amp;agency=MHRA,Dronedarone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000852924172.zip&amp;agency=MHRA,Droperidol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000590613611.zip&amp;agency=MHRA,Drospirenone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000027070322.zip&amp;agency=MHRA,Drostanolone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000825205988.zip&amp;agency=MHRA,Drotrecogin Alfa (Activated)
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000445385950.zip&amp;agency=MHRA,Dryopteris
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001073482304.zip&amp;agency=MHRA,Dulaglutide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000234915225.zip&amp;agency=MHRA,Duloxetine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000254811209.zip&amp;agency=MHRA,Dupilumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000038963452.zip&amp;agency=MHRA,Durvalumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000379605361.zip&amp;agency=MHRA,Dutasteride
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000936841224.zip&amp;agency=MHRA,Duvelisib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000585517291.zip&amp;agency=MHRA,Dydrogesterone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000790859932.zip&amp;agency=MHRA,Ebastine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000842482027.zip&amp;agency=MHRA,Echinacea
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000342908743.zip&amp;agency=MHRA,Echinacea Purpurea Radix
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000246031926.zip&amp;agency=MHRA,Econazole
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000133283751.zip&amp;agency=MHRA,Ecothiopate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000911272283.zip&amp;agency=MHRA,Eculizumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000990527959.zip&amp;agency=MHRA,Edetic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000928412855.zip&amp;agency=MHRA,Edotreotide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000744913947.zip&amp;agency=MHRA,Edoxaban
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000049338294.zip&amp;agency=MHRA,Edrophonium
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000376875353.zip&amp;agency=MHRA,Efalizumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000673893503.zip&amp;agency=MHRA,Efavirenz
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000694200147.zip&amp;agency=MHRA,Efgartigimod
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000180553820.zip&amp;agency=MHRA,Eflornithine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000413123420.zip&amp;agency=MHRA,Efmoroctocog Alfa
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000331056554.zip&amp;agency=MHRA,Eftrenonacog Alfa
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000225849465.zip&amp;agency=MHRA,Egg Whole
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000641657116.zip&amp;agency=MHRA,Eicosapentaenoic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001040801491.zip&amp;agency=MHRA,Elacestrant
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000171570495.zip&amp;agency=MHRA,Eladocagene Exuparvovec
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000762969587.zip&amp;agency=MHRA,Elbasvir
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000880204266.zip&amp;agency=MHRA,Eletriptan
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000158681194.zip&amp;agency=MHRA,Elettaria Cardamomum
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000336043047.zip&amp;agency=MHRA,Elexacaftor
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000051497546.zip&amp;agency=MHRA,Eliglustat
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000294394554.zip&amp;agency=MHRA,Elosulfase Alfa
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000413725408.zip&amp;agency=MHRA,Elotuzumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000965151188.zip&amp;agency=MHRA,Eltrombopag
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000998252916.zip&amp;agency=MHRA,Eluxadoline
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000993964230.zip&amp;agency=MHRA,Elvitegravir
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000882197221.zip&amp;agency=MHRA,Emedastine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001068661066.zip&amp;agency=MHRA,Emepronium
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000452432613.zip&amp;agency=MHRA,Emicizumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000278755963.zip&amp;agency=MHRA,Empagliflozin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000925611815.zip&amp;agency=MHRA,Emtricitabine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000104038188.zip&amp;agency=MHRA,Enalapril
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000972369422.zip&amp;agency=MHRA,Enbucrilate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000985367994.zip&amp;agency=MHRA,Encorafenib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000856169868.zip&amp;agency=MHRA,Enflurane
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000948161381.zip&amp;agency=MHRA,Enfuvirtide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000077328346.zip&amp;agency=MHRA,Enoxacin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000437029876.zip&amp;agency=MHRA,Enoxaparin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000942151665.zip&amp;agency=MHRA,Enoximone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000736084991.zip&amp;agency=MHRA,Enoxolone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001061052275.zip&amp;agency=MHRA,Entacapone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000735083874.zip&amp;agency=MHRA,Entecavir
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000310885673.zip&amp;agency=MHRA,Entrectinib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000964259443.zip&amp;agency=MHRA,Enzalutamide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000951793902.zip&amp;agency=MHRA,Epacadostat
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000473362300.zip&amp;agency=MHRA,Ephedrine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000852699770.zip&amp;agency=MHRA,Epinephrine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000874526174.zip&amp;agency=MHRA,Epirubicin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000838848811.zip&amp;agency=MHRA,Eplerenone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000767216922.zip&amp;agency=MHRA,Epoprostenol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001035450043.zip&amp;agency=MHRA,Epoxybisphenol-A
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001009312127.zip&amp;agency=MHRA,Eprosartan
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000791294244.zip&amp;agency=MHRA,Eptifibatide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000837284580.zip&amp;agency=MHRA,Eptinezumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000671163342.zip&amp;agency=MHRA,Eptotermin Alfa
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000412103417.zip&amp;agency=MHRA,Equisetum
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000795828652.zip&amp;agency=MHRA,Eravacycline
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000067120847.zip&amp;agency=MHRA,Erdosteine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000755186334.zip&amp;agency=MHRA,Erenumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000599808494.zip&amp;agency=MHRA,Ergometrine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000117544867.zip&amp;agency=MHRA,Ergotamine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000142526106.zip&amp;agency=MHRA,Eribulin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000408008276.zip&amp;agency=MHRA,Erlotinib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000378893958.zip&amp;agency=MHRA,Ertapenem
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000738114316.zip&amp;agency=MHRA,Ertugliflozin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000077852894.zip&amp;agency=MHRA,Erythromycin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000338783993.zip&amp;agency=MHRA,Erythropoietin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000766300807.zip&amp;agency=MHRA,Erythrosine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000387918394.zip&amp;agency=MHRA,Escitalopram
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000562210424.zip&amp;agency=MHRA,Eslicarbazepine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000721809373.zip&amp;agency=MHRA,Esmolol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000721358865.zip&amp;agency=MHRA,Esomeprazole
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001050484361.zip&amp;agency=MHRA,Estetrol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000389286661.zip&amp;agency=MHRA,Estradiol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000567172345.zip&amp;agency=MHRA,Estramustine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000782266918.zip&amp;agency=MHRA,Estrogen
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000624669141.zip&amp;agency=MHRA,Estrone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000613621537.zip&amp;agency=MHRA,Estropipate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000013974725.zip&amp;agency=MHRA,Etanercept
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000923540394.zip&amp;agency=MHRA,Etelcalcetide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000992326483.zip&amp;agency=MHRA,Ethacrynic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000556032950.zip&amp;agency=MHRA,Ethambutol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000827794041.zip&amp;agency=MHRA,Ethamivan
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001052787894.zip&amp;agency=MHRA,Ethamsylate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001042409369.zip&amp;agency=MHRA,Ethanol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000449680696.zip&amp;agency=MHRA,Ethanolamine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000522705402.zip&amp;agency=MHRA,Ether
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001010707966.zip&amp;agency=MHRA,Ethinylestradiol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001072620684.zip&amp;agency=MHRA,Ethionamide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000389614292.zip&amp;agency=MHRA,Ethoglucid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000699349952.zip&amp;agency=MHRA,Ethoheptazine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000637443777.zip&amp;agency=MHRA,Ethosuximide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000202664065.zip&amp;agency=MHRA,Ethyl Chloride
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000481337222.zip&amp;agency=MHRA,Ethyl Nicotinate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000677251630.zip&amp;agency=MHRA,Ethyl Salicylate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000870233926.zip&amp;agency=MHRA,Ethylenediamine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000973516971.zip&amp;agency=MHRA,Ethylenediamine Diacetic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001062589463.zip&amp;agency=MHRA,Ethylmorphine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000555060734.zip&amp;agency=MHRA,Ethynodiol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000582430488.zip&amp;agency=MHRA,Etizolam
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001002583940.zip&amp;agency=MHRA,Etodolac
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000047706888.zip&amp;agency=MHRA,Etofenamate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001033345335.zip&amp;agency=MHRA,Etomidate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001029765909.zip&amp;agency=MHRA,Etonogestrel
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000814107759.zip&amp;agency=MHRA,Etoposide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000404001088.zip&amp;agency=MHRA,Etoricoxib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000413810522.zip&amp;agency=MHRA,Etravirine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000246203658.zip&amp;agency=MHRA,Etretinate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000543805972.zip&amp;agency=MHRA,Eucalyptus
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001039442927.zip&amp;agency=MHRA,Eudragits
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001045494440.zip&amp;agency=MHRA,Eugenol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000853728821.zip&amp;agency=MHRA,Eupatorium
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000389852472.zip&amp;agency=MHRA,Eupatorium Perfoliatum
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000483206354.zip&amp;agency=MHRA,Everolimus
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000029697191.zip&amp;agency=MHRA,Evolocumab
