Drug,InChI Key,SMILES,PubChem CID,ChEMBL ID,ATC Code
Dasabuvir,NBRBXGKOEOGLOI-UHFFFAOYSA-N,CC(C)(C)C1=CC(=CC(=C1OC)C2=CC3=C(C=C2)C=C(C=C3)NS(=O)(=O)C)N4C=CC(=O)NC4=O,56640146,CHEMBL6329,No ATC Code found
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,3062316,CHEMBL6329,No ATC Code found
Daucus,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Daunorubicin,STQGQHZAVUOBTE-VGBVRHCVSA-N,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,30323,CHEMBL6329,No ATC Code found
Deadnettle White,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Debrisoquine,JWPGJSVJDAJRLW-UHFFFAOYSA-N,C1CN(CC2=CC=CC=C21)C(=N)N,2966,CHEMBL6329,No ATC Code found
Decitabine,XAUDJQYHKZQPEU-KVQBGUIXSA-N,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,451668,CHEMBL6329,No ATC Code found
Decyl Methyl Sulphoxide,NZJXADCEESMBPW-UHFFFAOYSA-N,CCCCCCCCCCS(=O)C,65111,CHEMBL6329,No ATC Code found
Deferasirox,BOFQWVMAQOTZIW-UHFFFAOYSA-N,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,214348,CHEMBL6329,No ATC Code found
Deferiprone,TZXKOCQBRNJULO-UHFFFAOYSA-N,CC1=C(C(=O)C=CN1C)O,2972,CHEMBL6329,No ATC Code found
Defibrotide,JNWFIPVDEINBAI-UHFFFAOYSA-N,CC(C)C1=C(C=C(C(=C1)C2=NNC(=O)N2C3=CC4=C(C=C3)N(C=C4)C)O)OP(=O)(O)O,135565962,CHEMBL6329,No ATC Code found
Deflazacort,FBHSPRKOSMHSIF-GRMWVWQJSA-N,CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C,189821,CHEMBL6329,No ATC Code found
Degarelix,MEUCPCLKGZSHTA-XYAYPHGZSA-N,CC(C)CC(C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CC2=CC=C(C=C2)NC(=O)N)NC(=O)C(CC3=CC=C(C=C3)NC(=O)C4CC(=O)NC(=O)N4)NC(=O)C(CO)NC(=O)C(CC5=CN=CC=C5)NC(=O)C(CC6=CC=C(C=C6)Cl)NC(=O)C(CC7=CC8=CC=CC=C8C=C7)NC(=O)C,16136245,CHEMBL6329,No ATC Code found
Dehydrocholic Acid,OHXPGWPVLFPUSM-KLRNGDHRSA-N,CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C,6674,CHEMBL6329,No ATC Code found
Delafloxacin,DYDCPNMLZGFQTM-UHFFFAOYSA-N,C1C(CN1C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4=C(C=C(C(=N4)N)F)F)F)O,487101,CHEMBL6329,No ATC Code found
Delamanid,XDAOLTSRNUSPPH-XMMPIXPASA-N,CC1(CN2C=C(N=C2O1)[N+](=O)[O-])COC3=CC=C(C=C3)N4CCC(CC4)OC5=CC=C(C=C5)OC(F)(F)F,6480466,CHEMBL6329,No ATC Code found
Delavirdine,WHBIGIKBNXZKFE-UHFFFAOYSA-N,CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C,5625,CHEMBL6329,No ATC Code found
Delorazepam,CHIFCDOIPRCHCF-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3Cl,17925,CHEMBL6329,No ATC Code found
Delphenium Staphisagria,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Demeclocycline,GUXHBMASAHGULD-SEYHBJAFSA-N,CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,54680690,CHEMBL6329,No ATC Code found
Denosumab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Deoxycholic Acid,KXGVEGMKQFWNSR-LLQZFEROSA-N,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C,222528,CHEMBL6329,No ATC Code found
Deoxyribonuclease,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Depatuxizumab Mafodotin,BXTJCSYMGFJEID-XMTADJHZSA-N,CCC(C)C(C(CC(=O)N1CCCC1C(C(C)C(=O)NC(CC2=CC=CC=C2)C(=O)O)OC)OC)N(C)C(=O)C(C(C)C)NC(=O)C(C(C)C)N(C)C(=O)CCCCCN3C(=O)CC(C3=O)SCC(C(=O)O)N,86278355,CHEMBL6329,No ATC Code found
Deptropine,ZWPODSUQWXAZNC-YOFSQIOKSA-N,CN1C2CCC1CC(C2)OC3C4=CC=CC=C4CCC5=CC=CC=C35,203911,CHEMBL6329,No ATC Code found
Dequalinium,PCSWXVJAIHCTMO-UHFFFAOYSA-P,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C,2993,CHEMBL6329,No ATC Code found
Desferrioxamine,UBQYURCVBFRUQT-UHFFFAOYSA-N,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,2973,CHEMBL6329,No ATC Code found
Desflurane,DPYMFVXJLLWWEU-UHFFFAOYSA-N,C(C(F)(F)F)(OC(F)F)F,42113,CHEMBL6329,No ATC Code found
Desipramine,HCYAFALTSJYZDH-UHFFFAOYSA-N,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,2995,CHEMBL6329,No ATC Code found
Desloratadine,JAUOIFJMECXRGI-UHFFFAOYSA-N,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,124087,CHEMBL6329,No ATC Code found
Desmopressin,NFLWUMRGJYTJIN-PNIOQBSNSA-N,C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,5311065,CHEMBL6329,No ATC Code found
Desogestrel,RPLCPCMSCLEKRS-BPIQYHPVSA-N,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34,40973,CHEMBL6329,No ATC Code found
Dexamethasone,UREBDLICKHMUKA-CXSFZGCWSA-N,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,5743,CHEMBL6329,No ATC Code found
Dexamphetamine,KWTSXDURSIMDCE-QMMMGPOBSA-N,CC(CC1=CC=CC=C1)N,5826,CHEMBL6329,No ATC Code found
Dexfenfluramine,DBGIVFWFUFKIQN-VIFPVBQESA-N,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,66265,CHEMBL6329,No ATC Code found
Dexibuprofen,HEFNNWSXXWATRW-JTQLQIEISA-N,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,39912,CHEMBL6329,No ATC Code found
Dexketoprofen,DKYWVDODHFEZIM-NSHDSACASA-N,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,667550,CHEMBL6329,No ATC Code found
Dexmedetomidine,CUHVIMMYOGQXCV-NSHDSACASA-N,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,5311068,CHEMBL6329,No ATC Code found
Dexpanthenol,SNPLKNRPJHDVJA-ZETCQYMHSA-N,CC(C)(CO)C(C(=O)NCCCO)O,131204,CHEMBL6329,No ATC Code found
Dexrazoxane,BMKDZUISNHGIBY-ZETCQYMHSA-N,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,71384,CHEMBL6329,No ATC Code found
Dextran,FZWBNHMXJMCXLU-UHFFFAOYSA-N,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O,4125253,CHEMBL6329,No ATC Code found
Dextranomer,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Dextromethorphan,MKXZASYAUGDDCJ-NJAFHUGGSA-N,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,5360696,CHEMBL6329,No ATC Code found
Dextromoramide,INUNXTSAACVKJS-OAQYLSRUSA-N,CC(CN1CCOCC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N4CCCC4,92943,CHEMBL6329,No ATC Code found
Dextropropoxyphene,XLMALTXPSGQGBX-GCJKJVERSA-N,CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C,10100,CHEMBL6329,No ATC Code found
Di-Iodohydroxyquinoline,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Diamorphine,GVGLGOZIDCSQPN-PVHGPHFFSA-N,CC(=O)OC1C=CC2C3CC4=C5C2(C1OC5=C(C=C4)OC(=O)C)CCN3C,5462328,CHEMBL6329,No ATC Code found
Diazepam,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,3016,CHEMBL6329,No ATC Code found
Diazoxide,GDLBFKVLRPITMI-UHFFFAOYSA-N,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,3019,CHEMBL6329,No ATC Code found
Dibrompropamidine,GMJFVGRUYJHMCO-UHFFFAOYSA-N,C1=CC(=C(C=C1C(=N)N)Br)OCCCOC2=C(C=C(C=C2)C(=N)N)Br,11974,CHEMBL6329,No ATC Code found
Dibutyldithiocarmabate,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Dichloralphenazone,ATKXDQOHNICLQW-UHFFFAOYSA-N,CC1=CC(=O)N(N1C)C2=CC=CC=C2.C(C(Cl)(Cl)Cl)(O)O.C(C(Cl)(Cl)Cl)(O)O,10188,CHEMBL6329,No ATC Code found
Dichlorobenzyl Alcohol,DBHODFSFBXJZNY-UHFFFAOYSA-N,C1=CC(=C(C=C1Cl)Cl)CO,15684,CHEMBL6329,No ATC Code found
Dichlorodifluoromethane,PXBRQCKWGAHEHS-UHFFFAOYSA-N,C(F)(F)(Cl)Cl,6391,CHEMBL6329,No ATC Code found
Dichlorophen,MDNWOSOZYLHTCG-UHFFFAOYSA-N,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,3037,CHEMBL6329,No ATC Code found
Dichlorphenamide,GJQPMPFPNINLKP-UHFFFAOYSA-N,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,3038,CHEMBL6329,No ATC Code found
Diclofenac,DCOPUUMXTXDBNB-UHFFFAOYSA-N,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,3033,CHEMBL6329,No ATC Code found
Dicloxacillin,YFAGHNZHGGCZAX-JKIFEVAISA-N,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,18381,CHEMBL6329,No ATC Code found
Dicyclomine,CURUTKGFNZGFSE-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,3042,CHEMBL6329,No ATC Code found
Didanosine,BXZVVICBKDXVGW-NKWVEPMBSA-N,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O,135398739,CHEMBL6329,No ATC Code found
Dienoestrol,NFDFQCUYFHCNBW-SCGPFSFSSA-N,CC=C(C1=CC=C(C=C1)O)C(=CC)C2=CC=C(C=C2)O,667476,CHEMBL6329,No ATC Code found
Dienogest,AZFLJNIPTRTECV-FUMNGEBKSA-N,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(CC#N)O,68861,CHEMBL6329,No ATC Code found
Diethyldithiocarbamate,LMBWSYZSUOEYSN-UHFFFAOYSA-M,CCN(CC)C(=S)[S-],28343,CHEMBL6329,No ATC Code found
Diethylpropion,XXEPPPIWZFICOJ-UHFFFAOYSA-N,CCN(CC)C(C)C(=O)C1=CC=CC=C1,7029,CHEMBL6329,No ATC Code found
Diethylstilbestrol,RGLYKWWBQGJZGM-ISLYRVAYSA-N,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,448537,CHEMBL6329,No ATC Code found
Difelikefalin,FWMNVWWHGCHHJJ-SKKKGAJSSA-N,CC(C)CC(C(=O)NC(CCCCN)C(=O)N1CCC(CC1)(C(=O)O)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N,24794466,CHEMBL6329,No ATC Code found
Diflucortolone,OGPWIDANBSLJPC-RFPWEZLHSA-N,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C)F,11954369,CHEMBL6329,No ATC Code found
Diflunisal,HUPFGZXOMWLGNK-UHFFFAOYSA-N,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,3059,CHEMBL6329,No ATC Code found
Digitalis,WDJUZGPOPHTGOT-XUDUSOBPSA-N,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,441207,CHEMBL6329,No ATC Code found
Digitoxin,WDJUZGPOPHTGOT-XUDUSOBPSA-N,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,441207,CHEMBL6329,No ATC Code found
Digoxin,LTMHDMANZUZIPE-PUGKRICDSA-N,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,2724385,CHEMBL6329,No ATC Code found
Digoxin-Specific Antibody Fragments,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Dihydrocodeine,RBOXVHNMENFORY-DNJOTXNNSA-N,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O,5284543,CHEMBL6329,No ATC Code found
Dihydroergotamine,LUZRJRNZXALNLM-JGRZULCMSA-N,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,10531,CHEMBL6329,No ATC Code found
Diloxanide,GZZZSOOGQLOEOB-UHFFFAOYSA-N,CN(C1=CC=C(C=C1)O)C(=O)C(Cl)Cl,11367,CHEMBL6329,No ATC Code found
Diltiazem,HSUGRBWQSSZJOP-RTWAWAEBSA-N,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,39186,CHEMBL6329,No ATC Code found
Dimenhydrinate,NFLLKCVHYJRNRH-UHFFFAOYSA-N,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,10660,CHEMBL6329,No ATC Code found
Dimethindene,MVMQESMQSYOVGV-UHFFFAOYSA-N,CC(C1=CC=CC=N1)C2=C(CC3=CC=CC=C32)CCN(C)C,21855,CHEMBL6329,No ATC Code found
Dimethyl Ether,LCGLNKUTAGEVQW-UHFFFAOYSA-N,COC,8254,CHEMBL6329,No ATC Code found
Dimethyl Fumarate,LDCRTTXIJACKKU-ONEGZZNKSA-N,COC(=O)C=CC(=O)OC,637568,CHEMBL6329,No ATC Code found
Dimethyl Sulphoxide,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,679,CHEMBL6329,No ATC Code found
Dimeticone,CXQXSVUQTKDNFP-UHFFFAOYSA-N,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,24705,CHEMBL6329,No ATC Code found
Dinoprost,PXGPLTODNUVGFL-YNNPMVKQSA-N,CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,5280363,CHEMBL6329,No ATC Code found
Dinoprostone,XEYBRNLFEZDVAW-ARSRFYASSA-N,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,5280360,CHEMBL6329,No ATC Code found
Dinutuximab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Diosmin,GZSOSUNBTXMUFQ-YFAPSIMESA-N,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,5281613,CHEMBL6329,No ATC Code found
Dipentamethylenethiuram Disulphide,KNBRWWCHBRQLNY-UHFFFAOYSA-N,C1CCN(CC1)C(=S)SSC(=S)N2CCCCC2,7188,CHEMBL6329,No ATC Code found
Diphenhydramine,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,3100,CHEMBL6329,No ATC Code found
Diphenoxylate,HYPPXZBJBPSRLK-UHFFFAOYSA-N,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,13505,CHEMBL6329,No ATC Code found
Diphenylpyraline,OWQUZNMMYNAXSL-UHFFFAOYSA-N,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3,3103,CHEMBL6329,No ATC Code found
Dipipanone,SVDHSZFEQYXRDC-UHFFFAOYSA-N,CCC(=O)C(CC(C)N1CCCCC1)(C2=CC=CC=C2)C3=CC=CC=C3,13331,CHEMBL6329,No ATC Code found
Dipivefrine,OCUJLLGVOUDECM-UHFFFAOYSA-N,CC(C)(C)C(=O)OC1=C(C=C(C=C1)C(CNC)O)OC(=O)C(C)(C)C,3105,CHEMBL6329,No ATC Code found
Dipyridamole,IZEKFCXSFNUWAM-UHFFFAOYSA-N,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,3108,CHEMBL6329,No ATC Code found
Diroximel Fumarate,YIMYDTCOUQIDMT-SNAWJCMRSA-N,COC(=O)C=CC(=O)OCCN1C(=O)CCC1=O,73330464,CHEMBL6329,No ATC Code found
Disopyramide,UVTNFZQICZKOEM-UHFFFAOYSA-N,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,3114,CHEMBL6329,No ATC Code found
Disperse Blue 106,UIHYHADQHHUIOF-UHFFFAOYSA-N,CCN(CCO)C1=CC(=C(C=C1)N=NC2=NC=C(S2)[N+](=O)[O-])C,108061,CHEMBL6329,No ATC Code found
Distigmine,AHZBEVXBKNYXPU-UHFFFAOYSA-N,C[N+]1=CC=CC(=C1)OC(=O)N(C)CCCCCCN(C)C(=O)OC2=C[N+](=CC=C2)C,3116,CHEMBL6329,No ATC Code found
Disulfiram,AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,3117,CHEMBL6329,No ATC Code found
Dithranol,NUZWLKWWNNJHPT-UHFFFAOYSA-N,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,2202,CHEMBL6329,No ATC Code found
Dl-Threonine,AYFVYJQAPQTCCC-UHFFFAOYSA-N,CC(C(C(=O)O)N)O,205,CHEMBL6329,No ATC Code found
Dobutamine,JRWZLRBJNMZMFE-UHFFFAOYSA-N,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,36811,CHEMBL6329,No ATC Code found
Docetaxel,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,148124,CHEMBL6329,No ATC Code found
Docosahexaenoic Acid,MBMBGCFOFBJSGT-KUBAVDMBSA-N,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,445580,CHEMBL6329,No ATC Code found
Docusate,HNSDLXPSAYFUHK-UHFFFAOYSA-N,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,11339,CHEMBL6329,No ATC Code found
Dog Epithelia Unspecified,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Dolasetron,UKTAZPQNNNJVKR-AKJUYKBHSA-N,C1C2CC3CC(CC1N3CC2=O)OC(=O)C4=CNC5=CC=CC=C54,3033818,CHEMBL6329,No ATC Code found
Dolutegravir,RHWKPHLQXYSBKR-BMIGLBTASA-N,CC1CCOC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,54726191,CHEMBL6329,No ATC Code found
Domiphen,YXUPZGKORWTXID-UHFFFAOYSA-N,CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1,3149,CHEMBL6329,No ATC Code found
Domperidone,FGXWKSZFVQUSTL-UHFFFAOYSA-N,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,3151,CHEMBL6329,No ATC Code found
Donepezil,ADEBPBSSDYVVLD-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,3152,CHEMBL6329,No ATC Code found
Dopamine,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C1=CC(=C(C=C1CCN)O)O,681,CHEMBL6329,No ATC Code found
Dopexamine,RYBJORHCUPVNMB-UHFFFAOYSA-N,C1=CC=C(C=C1)CCNCCCCCCNCCC2=CC(=C(C=C2)O)O,55483,CHEMBL6329,No ATC Code found
Doravirine,ZIAOVIPSKUPPQW-UHFFFAOYSA-N,CN1C(=NNC1=O)CN2C=CC(=C(C2=O)OC3=CC(=CC(=C3)C#N)Cl)C(F)(F)F,58460047,CHEMBL6329,No ATC Code found
Doripenem,AVAACINZEOAHHE-VFZPANTDSA-N,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)CNS(=O)(=O)N)C(=O)O)C(C)O,73303,CHEMBL6329,No ATC Code found
Dorzolamide,IAVUPMFITXYVAF-XPUUQOCRSA-N,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C,5284549,CHEMBL6329,No ATC Code found
Dostarlimab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Dosulepin,PHTUQLWOUWZIMZ-GZTJUZNOSA-N,CN(C)CCC=C1C2=CC=CC=C2CSC3=CC=CC=C31,5284550,CHEMBL6329,No ATC Code found
Doxapram,XFDJYSQDBULQSI-UHFFFAOYSA-N,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,3156,CHEMBL6329,No ATC Code found
Doxazosin,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,3157,CHEMBL6329,No ATC Code found
Doxepin,ODQWQRRAPPTVAG-GZTJUZNOSA-N,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,667477,CHEMBL6329,No ATC Code found
Doxorubicin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,31703,CHEMBL6329,No ATC Code found
Doxycycline,SGKRLCUYIXIAHR-AKNGSSGZSA-N,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,54671203,CHEMBL6329,No ATC Code found
Doxylamine,HCFDWZZGGLSKEP-UHFFFAOYSA-N,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,3162,CHEMBL6329,No ATC Code found
Dronabinol,CYQFCXCEBYINGO-IAGOWNOFSA-N,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,16078,CHEMBL6329,No ATC Code found
Dronedarone,ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC,208898,CHEMBL6329,No ATC Code found
Droperidol,RMEDXOLNCUSCGS-UHFFFAOYSA-N,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,3168,CHEMBL6329,No ATC Code found
Drospirenone,METQSPRSQINEEU-HXCATZOESA-N,CC12CCC(=O)C=C1C3CC3C4C2CCC5(C4C6CC6C57CCC(=O)O7)C,68873,CHEMBL6329,No ATC Code found
Drostanolone,IKXILDNPCZPPRV-RFMGOVQKSA-N,CC1CC2(C(CCC3C2CCC4(C3CCC4O)C)CC1=O)C,6011,CHEMBL6329,No ATC Code found
Drotrecogin Alfa (Activated),No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Dryopteris,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Dulaglutide,HPNPLWNTQBSMAJ-FBXRENMFSA-N,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NCC(=O)NCC(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC6=CNC=N6)N,171042928,CHEMBL6329,No ATC Code found
Duloxetine,ZEUITGRIYCTCEM-KRWDZBQOSA-N,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,60835,CHEMBL6329,No ATC Code found
Dupilumab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Durvalumab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Dutasteride,JWJOTENAMICLJG-QWBYCMEYSA-N,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C,6918296,CHEMBL6329,No ATC Code found
