Drug,InChI Key,SMILES,PubChem CID
Dehydrocholic Acid,OHXPGWPVLFPUSM-KLRNGDHRSA-N,CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C,6674
Delafloxacin,DYDCPNMLZGFQTM-UHFFFAOYSA-N,C1C(CN1C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4=C(C=C(C(=N4)N)F)F)F)O,487101
Delamanid,XDAOLTSRNUSPPH-XMMPIXPASA-N,CC1(CN2C=C(N=C2O1)[N+](=O)[O-])COC3=CC=C(C=C3)N4CCC(CC4)OC5=CC=C(C=C5)OC(F)(F)F,6480466
Delavirdine,WHBIGIKBNXZKFE-UHFFFAOYSA-N,CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C,5625
Delorazepam,CHIFCDOIPRCHCF-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3Cl,17925
Delphenium Staphisagria,No InChI Key found,No SMILES found,No PubChem CID found
Demeclocycline,GUXHBMASAHGULD-SEYHBJAFSA-N,CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,54680690
Denosumab,No InChI Key found,No SMILES found,No PubChem CID found
Deoxycholic Acid,KXGVEGMKQFWNSR-LLQZFEROSA-N,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C,222528
Deoxyribonuclease,No InChI Key found,No SMILES found,No PubChem CID found
Depatuxizumab Mafodotin,BXTJCSYMGFJEID-XMTADJHZSA-N,CCC(C)C(C(CC(=O)N1CCCC1C(C(C)C(=O)NC(CC2=CC=CC=C2)C(=O)O)OC)OC)N(C)C(=O)C(C(C)C)NC(=O)C(C(C)C)N(C)C(=O)CCCCCN3C(=O)CC(C3=O)SCC(C(=O)O)N,86278355
Deptropine,ZWPODSUQWXAZNC-YOFSQIOKSA-N,CN1C2CCC1CC(C2)OC3C4=CC=CC=C4CCC5=CC=CC=C35,203911
Dequalinium,PCSWXVJAIHCTMO-UHFFFAOYSA-P,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C,2993
Desferrioxamine,UBQYURCVBFRUQT-UHFFFAOYSA-N,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,2973
Desflurane,DPYMFVXJLLWWEU-UHFFFAOYSA-N,C(C(F)(F)F)(OC(F)F)F,42113
Desipramine,HCYAFALTSJYZDH-UHFFFAOYSA-N,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,2995
Desloratadine,JAUOIFJMECXRGI-UHFFFAOYSA-N,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,124087
Desmopressin,NFLWUMRGJYTJIN-PNIOQBSNSA-N,C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,5311065
Desogestrel,RPLCPCMSCLEKRS-BPIQYHPVSA-N,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34,40973
Dexamethasone,UREBDLICKHMUKA-CXSFZGCWSA-N,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,5743
Dexamphetamine,KWTSXDURSIMDCE-QMMMGPOBSA-N,CC(CC1=CC=CC=C1)N,5826
Dexfenfluramine,DBGIVFWFUFKIQN-VIFPVBQESA-N,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,66265
Dexibuprofen,HEFNNWSXXWATRW-JTQLQIEISA-N,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,39912
Dexketoprofen,DKYWVDODHFEZIM-NSHDSACASA-N,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,667550
Dexmedetomidine,CUHVIMMYOGQXCV-NSHDSACASA-N,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,5311068
Dexpanthenol,SNPLKNRPJHDVJA-ZETCQYMHSA-N,CC(C)(CO)C(C(=O)NCCCO)O,131204
Dexrazoxane,BMKDZUISNHGIBY-ZETCQYMHSA-N,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,71384
Dextran,FZWBNHMXJMCXLU-UHFFFAOYSA-N,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O,4125253
Dextranomer,No InChI Key found,No SMILES found,No PubChem CID found
Dextromethorphan,MKXZASYAUGDDCJ-NJAFHUGGSA-N,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,5360696
Dextromoramide,INUNXTSAACVKJS-OAQYLSRUSA-N,CC(CN1CCOCC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N4CCCC4,92943
Dextropropoxyphene,XLMALTXPSGQGBX-GCJKJVERSA-N,CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C,10100
Di-Iodohydroxyquinoline,No InChI Key found,No SMILES found,No PubChem CID found
Diamorphine,GVGLGOZIDCSQPN-PVHGPHFFSA-N,CC(=O)OC1C=CC2C3CC4=C5C2(C1OC5=C(C=C4)OC(=O)C)CCN3C,5462328
Diazepam,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,3016
Diazoxide,GDLBFKVLRPITMI-UHFFFAOYSA-N,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,3019
Dibrompropamidine,GMJFVGRUYJHMCO-UHFFFAOYSA-N,C1=CC(=C(C=C1C(=N)N)Br)OCCCOC2=C(C=C(C=C2)C(=N)N)Br,11974
Dibutyldithiocarmabate,No InChI Key found,No SMILES found,No PubChem CID found
Dichloralphenazone,ATKXDQOHNICLQW-UHFFFAOYSA-N,CC1=CC(=O)N(N1C)C2=CC=CC=C2.C(C(Cl)(Cl)Cl)(O)O.C(C(Cl)(Cl)Cl)(O)O,10188
Dichlorobenzyl Alcohol,DBHODFSFBXJZNY-UHFFFAOYSA-N,C1=CC(=C(C=C1Cl)Cl)CO,15684
Dichlorodifluoromethane,PXBRQCKWGAHEHS-UHFFFAOYSA-N,C(F)(F)(Cl)Cl,6391
Dichlorophen,MDNWOSOZYLHTCG-UHFFFAOYSA-N,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,3037
Dichlorphenamide,GJQPMPFPNINLKP-UHFFFAOYSA-N,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,3038
Diclofenac,DCOPUUMXTXDBNB-UHFFFAOYSA-N,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,3033
Dicloxacillin,YFAGHNZHGGCZAX-JKIFEVAISA-N,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,18381
Dicyclomine,CURUTKGFNZGFSE-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,3042
Didanosine,BXZVVICBKDXVGW-NKWVEPMBSA-N,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O,135398739
Dienoestrol,NFDFQCUYFHCNBW-SCGPFSFSSA-N,CC=C(C1=CC=C(C=C1)O)C(=CC)C2=CC=C(C=C2)O,667476
Dienogest,AZFLJNIPTRTECV-FUMNGEBKSA-N,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(CC#N)O,68861
Diethyldithiocarbamate,LMBWSYZSUOEYSN-UHFFFAOYSA-M,CCN(CC)C(=S)[S-],28343
Diethylpropion,XXEPPPIWZFICOJ-UHFFFAOYSA-N,CCN(CC)C(C)C(=O)C1=CC=CC=C1,7029
Diethylstilbestrol,RGLYKWWBQGJZGM-ISLYRVAYSA-N,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,448537
Difelikefalin,FWMNVWWHGCHHJJ-SKKKGAJSSA-N,CC(C)CC(C(=O)NC(CCCCN)C(=O)N1CCC(CC1)(C(=O)O)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N,24794466
Diflucortolone,OGPWIDANBSLJPC-RFPWEZLHSA-N,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C)F,11954369
Diflunisal,HUPFGZXOMWLGNK-UHFFFAOYSA-N,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,3059
Digitalis,WDJUZGPOPHTGOT-XUDUSOBPSA-N,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,441207
Digitoxin,WDJUZGPOPHTGOT-XUDUSOBPSA-N,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,441207
Digoxin,LTMHDMANZUZIPE-PUGKRICDSA-N,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,2724385
Digoxin-Specific Antibody Fragments,No InChI Key found,No SMILES found,No PubChem CID found
Dihydrocodeine,RBOXVHNMENFORY-DNJOTXNNSA-N,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O,5284543
Dihydroergotamine,LUZRJRNZXALNLM-JGRZULCMSA-N,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,10531
Diloxanide,GZZZSOOGQLOEOB-UHFFFAOYSA-N,CN(C1=CC=C(C=C1)O)C(=O)C(Cl)Cl,11367
Diltiazem,HSUGRBWQSSZJOP-RTWAWAEBSA-N,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,39186
Dimenhydrinate,NFLLKCVHYJRNRH-UHFFFAOYSA-N,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,10660
Dimethindene,MVMQESMQSYOVGV-UHFFFAOYSA-N,CC(C1=CC=CC=N1)C2=C(CC3=CC=CC=C32)CCN(C)C,21855
Dimethyl Ether,LCGLNKUTAGEVQW-UHFFFAOYSA-N,COC,8254
Dimethyl Fumarate,LDCRTTXIJACKKU-ONEGZZNKSA-N,COC(=O)C=CC(=O)OC,637568
Dimethyl Sulphoxide,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,679
Dimeticone,CXQXSVUQTKDNFP-UHFFFAOYSA-N,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,24705
Dinoprost,PXGPLTODNUVGFL-YNNPMVKQSA-N,CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,5280363
Dinoprostone,XEYBRNLFEZDVAW-ARSRFYASSA-N,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,5280360
Dinutuximab,No InChI Key found,No SMILES found,No PubChem CID found
Diosmin,GZSOSUNBTXMUFQ-YFAPSIMESA-N,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,5281613
Dipentamethylenethiuram Disulphide,KNBRWWCHBRQLNY-UHFFFAOYSA-N,C1CCN(CC1)C(=S)SSC(=S)N2CCCCC2,7188
Diphenhydramine,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,3100
Diphenoxylate,HYPPXZBJBPSRLK-UHFFFAOYSA-N,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,13505
Diphenylpyraline,OWQUZNMMYNAXSL-UHFFFAOYSA-N,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3,3103
Dipipanone,SVDHSZFEQYXRDC-UHFFFAOYSA-N,CCC(=O)C(CC(C)N1CCCCC1)(C2=CC=CC=C2)C3=CC=CC=C3,13331
Dipivefrine,OCUJLLGVOUDECM-UHFFFAOYSA-N,CC(C)(C)C(=O)OC1=C(C=C(C=C1)C(CNC)O)OC(=O)C(C)(C)C,3105
Dipyridamole,IZEKFCXSFNUWAM-UHFFFAOYSA-N,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,3108
Diroximel Fumarate,YIMYDTCOUQIDMT-SNAWJCMRSA-N,COC(=O)C=CC(=O)OCCN1C(=O)CCC1=O,73330464
Disopyramide,UVTNFZQICZKOEM-UHFFFAOYSA-N,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,3114
Disperse Blue 106,UIHYHADQHHUIOF-UHFFFAOYSA-N,CCN(CCO)C1=CC(=C(C=C1)N=NC2=NC=C(S2)[N+](=O)[O-])C,108061
Distigmine,AHZBEVXBKNYXPU-UHFFFAOYSA-N,C[N+]1=CC=CC(=C1)OC(=O)N(C)CCCCCCN(C)C(=O)OC2=C[N+](=CC=C2)C,3116
Disulfiram,AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,3117
Dithranol,NUZWLKWWNNJHPT-UHFFFAOYSA-N,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,2202
Dl-Threonine,AYFVYJQAPQTCCC-UHFFFAOYSA-N,CC(C(C(=O)O)N)O,205
Dobutamine,JRWZLRBJNMZMFE-UHFFFAOYSA-N,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,36811
Docetaxel,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,148124
Docosahexaenoic Acid,MBMBGCFOFBJSGT-KUBAVDMBSA-N,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,445580
Docusate,HNSDLXPSAYFUHK-UHFFFAOYSA-N,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,11339
Dog Epithelia Unspecified,No InChI Key found,No SMILES found,No PubChem CID found
Dolasetron,UKTAZPQNNNJVKR-AKJUYKBHSA-N,C1C2CC3CC(CC1N3CC2=O)OC(=O)C4=CNC5=CC=CC=C54,3033818
Dolutegravir,RHWKPHLQXYSBKR-BMIGLBTASA-N,CC1CCOC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,54726191
Domiphen,YXUPZGKORWTXID-UHFFFAOYSA-N,CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1,3149
Domperidone,FGXWKSZFVQUSTL-UHFFFAOYSA-N,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,3151
Donepezil,ADEBPBSSDYVVLD-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,3152
Dopamine,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C1=CC(=C(C=C1CCN)O)O,681
Dopexamine,RYBJORHCUPVNMB-UHFFFAOYSA-N,C1=CC=C(C=C1)CCNCCCCCCNCCC2=CC(=C(C=C2)O)O,55483
Doravirine,ZIAOVIPSKUPPQW-UHFFFAOYSA-N,CN1C(=NNC1=O)CN2C=CC(=C(C2=O)OC3=CC(=CC(=C3)C#N)Cl)C(F)(F)F,58460047
Doripenem,AVAACINZEOAHHE-VFZPANTDSA-N,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)CNS(=O)(=O)N)C(=O)O)C(C)O,73303
Dorzolamide,IAVUPMFITXYVAF-XPUUQOCRSA-N,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C,5284549
Dostarlimab,No InChI Key found,No SMILES found,No PubChem CID found
Dosulepin,PHTUQLWOUWZIMZ-GZTJUZNOSA-N,CN(C)CCC=C1C2=CC=CC=C2CSC3=CC=CC=C31,5284550
Doxapram,XFDJYSQDBULQSI-UHFFFAOYSA-N,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,3156
Doxazosin,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,3157
Doxepin,ODQWQRRAPPTVAG-GZTJUZNOSA-N,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,667477
Doxorubicin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,31703
Doxycycline,SGKRLCUYIXIAHR-AKNGSSGZSA-N,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,54671203
Doxylamine,HCFDWZZGGLSKEP-UHFFFAOYSA-N,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,3162
Dronabinol,CYQFCXCEBYINGO-IAGOWNOFSA-N,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,16078
Dronedarone,ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC,208898
Droperidol,RMEDXOLNCUSCGS-UHFFFAOYSA-N,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,3168
Drospirenone,METQSPRSQINEEU-HXCATZOESA-N,CC12CCC(=O)C=C1C3CC3C4C2CCC5(C4C6CC6C57CCC(=O)O7)C,68873
Drostanolone,IKXILDNPCZPPRV-RFMGOVQKSA-N,CC1CC2(C(CCC3C2CCC4(C3CCC4O)C)CC1=O)C,6011
Drotrecogin Alfa (Activated),No InChI Key found,No SMILES found,No PubChem CID found
Dryopteris,No InChI Key found,No SMILES found,No PubChem CID found
Dulaglutide,HPNPLWNTQBSMAJ-FBXRENMFSA-N,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NCC(=O)NCC(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC6=CNC=N6)N,171042928
Duloxetine,ZEUITGRIYCTCEM-KRWDZBQOSA-N,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,60835
Dupilumab,No InChI Key found,No SMILES found,No PubChem CID found
Durvalumab,No InChI Key found,No SMILES found,No PubChem CID found
Dutasteride,JWJOTENAMICLJG-QWBYCMEYSA-N,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C,6918296
Duvelisib,SJVQHLPISAIATJ-ZDUSSCGKSA-N,CC(C1=CC2=C(C(=CC=C2)Cl)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,50905713
Dydrogesterone,JGMOKGBVKVMRFX-HQZYFCCVSA-N,CC(=O)C1CCC2C1(CCC3C2C=CC4=CC(=O)CCC34C)C,9051
Ebastine,MJJALKDDGIKVBE-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,3191
Echinacea,No InChI Key found,No SMILES found,No PubChem CID found
Echinacea Purpurea Radix,No InChI Key found,No SMILES found,No PubChem CID found
Econazole,LEZWWPYKPKIXLL-UHFFFAOYSA-N,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,3198
Ecothiopate,BJOLKYGKSZKIGU-UHFFFAOYSA-N,CCOP(=O)(OCC)SCC[N+](C)(C)C,10548
Eculizumab,No InChI Key found,No SMILES found,No PubChem CID found
Edetic Acid,KCXVZYZYPLLWCC-UHFFFAOYSA-N,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,6049
Edotreotide,RZHKDBRREKOZEW-AAXZNHDCSA-N,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)CN6CCN(CCN(CCN(CC6)CC(=O)O)CC(=O)O)CC(=O)O)C(=O)NC(CO)C(C)O)O,158782
Edoxaban,HGVDHZBSSITLCT-JLJPHGGASA-N,CN1CCC2=C(C1)SC(=N2)C(=O)NC3CC(CCC3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,10280735
Edrophonium,VWLHWLSRQJQWRG-UHFFFAOYSA-O,CC[N+](C)(C)C1=CC(=CC=C1)O,3202
Efalizumab,No InChI Key found,No SMILES found,No PubChem CID found
Efavirenz,XPOQHMRABVBWPR-ZDUSSCGKSA-N,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,64139
Efgartigimod,No InChI Key found,No SMILES found,No PubChem CID found
Eflornithine,VLCYCQAOQCDTCN-UHFFFAOYSA-N,C(CC(C(F)F)(C(=O)O)N)CN,3009
Efmoroctocog Alfa,No InChI Key found,No SMILES found,No PubChem CID found
Eftrenonacog Alfa,No InChI Key found,No SMILES found,No PubChem CID found
Egg Whole,No InChI Key found,No SMILES found,No PubChem CID found
Eicosapentaenoic Acid,JAZBEHYOTPTENJ-JLNKQSITSA-N,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,446284
Elacestrant,SIFNOOUKXBRGGB-AREMUKBSSA-N,CCNCCC1=CC=C(C=C1)CN(CC)C2=C(C=CC(=C2)OC)C3CCC4=C(C3)C=CC(=C4)O,23642301
Eladocagene Exuparvovec,No InChI Key found,No SMILES found,No PubChem CID found
Elbasvir,BVAZQCUMNICBAQ-PZHYSIFUSA-N,CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC4=C(C=C3)N5C(OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)C8CCCN8C(=O)C(C(C)C)NC(=O)OC)C9=CC=CC=C9)NC(=O)OC,71661251
Eletriptan,PWVXXGRKLHYWKM-LJQANCHMSA-N,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,77993
Elettaria Cardamomum,No InChI Key found,No SMILES found,No PubChem CID found
Elexacaftor,MVRHVFSOIWFBTE-INIZCTEOSA-N,CC1CC(N(C1)C2=C(C=CC(=N2)N3C=CC(=N3)OCC(C)(C)C(F)(F)F)C(=O)NS(=O)(=O)C4=CN(N=C4C)C)(C)C,134587348
Eliglustat,FJZZPCZKBUKGGU-AUSIDOKSSA-N,CCCCCCCC(=O)NC(CN1CCCC1)C(C2=CC3=C(C=C2)OCCO3)O,23652731
Elosulfase Alfa,No InChI Key found,No SMILES found,No PubChem CID found
Elotuzumab,No InChI Key found,No SMILES found,No PubChem CID found
Eltrombopag,SVOQIEJWJCQGDQ-UHFFFAOYSA-N,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C,135449332
Eluxadoline,QFNHIDANIVGXPE-FNZWTVRRSA-N,CC1=CC(=CC(=C1CC(C(=O)N(CC2=CC(=C(C=C2)OC)C(=O)O)C(C)C3=NC=C(N3)C4=CC=CC=C4)N)C)C(=O)N,11250029
Elvitegravir,JUZYLCPPVHEVSV-LJQANCHMSA-N,CC(C)C(CO)N1C=C(C(=O)C2=C1C=C(C(=C2)CC3=C(C(=CC=C3)Cl)F)OC)C(=O)O,5277135
Emedastine,KBUZBQVCBVDWKX-UHFFFAOYSA-N,CCOCCN1C2=CC=CC=C2N=C1N3CCCN(CC3)C,3219
Emepronium,JEJBJBKVPOWOQK-UHFFFAOYSA-N,CC[N+](C)(C)C(C)CC(C1=CC=CC=C1)C2=CC=CC=C2,34055
Emicizumab,No InChI Key found,No SMILES found,No PubChem CID found
Empagliflozin,OBWASQILIWPZMG-QZMOQZSNSA-N,C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl,11949646
Emtricitabine,XQSPYNMVSIKCOC-NTSWFWBYSA-N,C1C(OC(S1)CO)N2C=C(C(=NC2=O)N)F,60877
Enalapril,GBXSMTUPTTWBMN-XIRDDKMYSA-N,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O,5388962
Enbucrilate,JJJFUHOGVZWXNQ-UHFFFAOYSA-N,CCCCOC(=O)C(=C)C#N,23087
Encorafenib,CMJCXYNUCSMDBY-ZDUSSCGKSA-N,CC(C)N1C=C(C(=N1)C2=C(C(=CC(=C2)Cl)NS(=O)(=O)C)F)C3=NC(=NC=C3)NCC(C)NC(=O)OC,50922675
Enflurane,JPGQOUSTVILISH-UHFFFAOYSA-N,C(C(OC(F)F)(F)F)(F)Cl,3226
