DDPD-ID,Drug-Name,SMILES,Molecular Weight (g/mol),C-Max Value (ng/ml),C-Max Unit,C-Max Raw Value,C-Max Annotation,C-Max (nM)
DDPD00318,Codeine,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC,299.3642,3.8,ng/ml,3.8±2.4,"PO, oral; Active metabolite; Male, men; adults; normal,healthy;",12.69
DDPD00321,Amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,277.4033,64.0,ng/ml,64±35,adults;,230.71
DDPD00327,Hydromorphone,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,285.3377,0.0,null,~0,parenteral administration;,0.00
DDPD00327,Hydromorphone,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,285.3377,11.8,ng/ml,11.8±2.6,"PO, oral; Male, men; normal,healthy;",41.35
DDPD00327,Hydromorphone,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,285.3377,242.0,ng/ml,242.0,"intravenous injection, IV; Male, men; normal,healthy;",848.12
DDPD00328,Indomethacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,357.788,1540.0,ng/ml,1.54±0.76,,4304.22
DDPD00328,Indomethacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,357.788,2650.0,ng/ml,2.65±1.03,,7406.62
DDPD00328,Indomethacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,357.788,4920.0,ng/ml,4.92±1.88,,13751.16
DDPD00328,Indomethacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,357.788,2400.0,ng/ml,~2.4,Oral single dose; food;,6707.88
DDPD00330,Ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,204.3098,3500.0,ng/ml,2-5,,17130.85
DDPD00331,Metformin,CN(C)C(=N)NC(N)=N,129.1636,1600.0,ng/ml,1.6±0.2,"Tablet, PO, oral;",12387.39
DDPD00331,Metformin,CN(C)C(=N)NC(N)=N,129.1636,2050.0,ng/ml,1.0-3.1,"PO, oral;",15871.34
DDPD00333,Methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,309.4452,689.5,ng/ml,124-1255,"PO, oral;",2228.18
DDPD00333,Methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,309.4452,524.5,ng/ml,69-980,"PO, oral; patients;",1694.97
DDPD00333,Methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,309.4452,500.0,ng/ml,450-550,"intravenous injection, IV; patients;",1615.79
DDPD00334,Olanzapine,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,312.432,156.9,ng/ml,156.9,"PO, oral; food;",502.19
DDPD00334,Olanzapine,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,312.432,12.9,ng/ml,12.9±7.5,"Oral single dose; Male, men; normal,healthy;",41.29
DDPD00335,Atenolol,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,266.3361,280.0,ng/ml,0.28±0.09,Oral single dose;,1051.30
DDPD00339,Pyrazinamide,NC(=O)C1=NC=CN=C1,123.1127,35000.0,ng/ml,35(19-103),"PO, oral;",284292.36
DDPD00341,Cetirizine,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,388.888,311.0,ng/ml,311.0,"Tablet, PO, oral; Capsule, PO, Oral; normal,healthy;",799.72
DDPD00341,Cetirizine,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,388.888,313.0,ng/ml,313±45,"Oral single dose; normal,healthy;",804.86
DDPD00343,Diltiazem,COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,414.518,151.0,ng/ml,151±46,"Oral single dose; adults; normal,healthy;",364.28
DDPD00358,Mefloquine,OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,378.3122,910.0,ng/ml,800-1020,Oral single dose;,2405.42
DDPD00358,Mefloquine,OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,378.3122,420.0,ng/ml,420±141,Oral multiple dose;,1110.19
DDPD00361,Vinorelbine,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC,778.947,114.0,ng/ml,114±43,,146.35
DDPD00361,Vinorelbine,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC,778.947,1130.0,ng/ml,1130±636,,1450.68
DDPD00363,Clozapine,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,326.823,546.0,ng/ml,546±307,"Tablet, PO, oral; adults;",1670.63
DDPD00367,Levonorgestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],312.4458,16.2,ng/ml,16.2,"PO, oral;",51.85
DDPD00367,Levonorgestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],312.4458,10.5,ng/ml,10.5,"PO, oral; Obesity;",33.61
DDPD00369,Cidofovir,NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,279.187,19600.0,ng/ml,19.6±7.2,,70203.84
DDPD00370,Mirtazapine,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1,265.3529,41.8,ng/ml,41.8±7.7,"PO, oral;",157.53
DDPD00373,Timolol,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1,316.42,1.14,ng/ml,1.14,ophthalmic administration;,3.60
DDPD00373,Timolol,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1,316.42,61.0,ng/ml,61±39,"PO, oral; extensive metabolizers, EM;",192.78
DDPD00373,Timolol,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1,316.42,114.0,ng/ml,114±21,"PO, oral; poor metabolizers, PM;",360.28
DDPD00381,Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,408.876,18.1,ng/ml,18.1±7.1,"PO, oral; Male, men; adults;",44.27
DDPD00384,Triamterene,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,253.2626,46.4,ng/ml,46.4,"Oral single dose; Male, men; fasting;",183.21
DDPD00384,Triamterene,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,253.2626,26.4,ng/ml,26.4±17.7,"Oral single dose; fasting; young; normal,healthy;",104.24
DDPD00384,Triamterene,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,253.2626,779.0,ng/ml,779±310,"Oral single dose; Active metabolite; fasting; young; normal,healthy;",3075.86
DDPD00384,Triamterene,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,253.2626,84.0,ng/ml,84±91,Oral single dose; Elderly;,331.67
DDPD00384,Triamterene,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,253.2626,526.0,ng/ml,526±388,Oral single dose; Active metabolite; Elderly;,2076.90
DDPD00390,Digoxin,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,780.9385,1.32,ng/ml,1.32±0.18,combination drug use;,1.69
DDPD00390,Digoxin,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,780.9385,1.4,ng/ml,1.4±0.7,"PO, oral; heart failure;",1.79
DDPD00390,Digoxin,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,780.9385,3.7,ng/ml,3.7±1.0,"PO, oral; heart failure;",4.74
DDPD00394,Beclomethasone dipropionate,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,521.042,0.088,ng/ml,88.0,"PO, oral;",0.17
DDPD00394,Beclomethasone dipropionate,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,521.042,35.356,ng/ml,35356.0,"PO, oral; different study;",67.86
DDPD00394,Beclomethasone dipropionate,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,521.042,1.419,ng/ml,1419.0,Active metabolite;,2.72
DDPD00394,Beclomethasone dipropionate,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,521.042,2.633,ng/ml,2633.0,different study; Active metabolite;,5.05
DDPD00394,Beclomethasone dipropionate,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,521.042,0.703,ng/ml,703.0,"PO, oral; different study; Active metabolite;",1.35
DDPD00394,Beclomethasone dipropionate,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,521.042,0.31,ng/ml,310.0,"inhalation, IH; different study; Active metabolite;",0.59
DDPD00396,Progesterone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,314.4617,7.0,ng/ml,7.0,"IM,intramuscular injection;",22.26
DDPD00396,Progesterone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,314.4617,28.0,ng/ml,28.0,"IM,intramuscular injection;",89.04
DDPD00396,Progesterone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,314.4617,50.0,ng/ml,50.0,"IM,intramuscular injection;",159.00
DDPD00399,Zoledronic acid,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O,272.0896,370.0,ng/ml,370±78.5,"intravenous injection, IV;",1359.85
DDPD00399,Zoledronic acid,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O,272.0896,471.0,ng/ml,471±76.1,"intravenous injection, IV;",1731.05
DDPD00404,Alprazolam,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,308.765,17.0,ng/ml,12-22,Oral single dose;,55.06
DDPD00404,Alprazolam,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,308.765,21.0,ng/ml,21(15-32),"PO, oral; adults;",68.01
DDPD00412,Rosiglitazone,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,357.427,598.0,ng/ml,598±117,Oral single dose;,1673.07
DDPD00413,Pramipexole,CCCN[C@H]1CCC2=C(C1)SC(N)=N2,211.327,1.6,ng/ml,1.6±0.23,"PO, oral; Male, men; normal,healthy;",7.57
DDPD00413,Pramipexole,CCCN[C@H]1CCC2=C(C1)SC(N)=N2,211.327,2.1,ng/ml,2.1±0.25,"PO, oral;  Female, women; normal,healthy;",9.94
DDPD00417,Phenoxymethylpenicillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O,350.39,450.0,ng/ml,200-700,"PO, oral;",1284.28
DDPD00417,Phenoxymethylpenicillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O,350.39,4000.0,ng/ml,3-5,,11415.85
DDPD00421,Spironolactone,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,416.573,209.0,ng/ml,209.0,"PO, oral;",501.71
DDPD00421,Spironolactone,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,416.573,301.0,ng/ml,301.0,"PO, oral; food;",722.56
DDPD00421,Spironolactone,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,416.573,185.0,ng/ml,185±51,"PO, oral;",444.10
DDPD00421,Spironolactone,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,416.573,231.0,ng/ml,231±49,"PO, oral; Active metabolite;",554.52
DDPD00421,Spironolactone,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,416.573,571.0,ng/ml,571±74,"PO, oral; Active metabolite;",1370.71
DDPD00421,Spironolactone,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,416.573,202.0,ng/ml,202±54,"PO, oral; Active metabolite;",484.91
DDPD00422,Methylphenidate,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,233.3062,10.5,ng/ml,6-15,Children; Drug form;,45.01
DDPD00422,Methylphenidate,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,233.3062,7.8,ng/ml,7.8,"PO, oral; Children; Drug form;",33.43
DDPD00422,Methylphenidate,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,233.3062,10.8,ng/ml,10.8,"PO, oral; adults; Drug form;",46.29
DDPD00422,Methylphenidate,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,233.3062,18.0,ng/ml,18±4.3,Oral single dose; Raceme D;,77.15
DDPD00422,Methylphenidate,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,233.3062,3.0,ng/ml,3.0±0.9,Oral single dose; Raceme L;,12.86
DDPD00423,Methocarbamol,COC1=C(OCC(O)COC(N)=O)C=CC=C1,241.2405,21300.0,ng/ml,21.3,"normal,healthy;",88293.63
DDPD00423,Methocarbamol,COC1=C(OCC(O)COC(N)=O)C=CC=C1,241.2405,28700.0,ng/ml,28.7,,118968.42
DDPD00425,Zolpidem,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,307.3895,59.0,ng/ml,59.0,,191.94
DDPD00425,Zolpidem,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,307.3895,121.0,ng/ml,121.0,,393.64
DDPD00425,Zolpidem,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,307.3895,107.5,ng/ml,76-139,Oral single dose; adults; young;,349.72
DDPD00431,Lindane,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,290.83,28.0,ng/ml,28.0,skin/dermal;,96.28
DDPD00437,Allopurinol,OC1=NC=NC2=C1C=NN2,136.1115,3000.0,ng/ml,3.0,"PO, oral;",22040.75
DDPD00437,Allopurinol,OC1=NC=NC2=C1C=NN2,136.1115,1400.0,ng/ml,1.4±0.5,Oral single dose;,10285.68
DDPD00437,Allopurinol,OC1=NC=NC2=C1C=NN2,136.1115,6400.0,ng/ml,6.4±0.8,Oral single dose; Active metabolite;,47020.27
DDPD00438,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1,546.576,34000.0,ng/ml,29-39,"IM,intramuscular injection; adults; normal,healthy;",62205.44
DDPD00438,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1,546.576,132500.0,ng/ml,119-146,"intravenous injection, IV; adults; normal,healthy;",242418.25
DDPD00440,Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,290.3177,1000.0,ng/ml,1.0,Oral single dose;,3444.50
DDPD00440,Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,290.3177,2000.0,ng/ml,2.0,Oral single dose;,6889.00
DDPD00440,Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,290.3177,1200.0,ng/ml,1.2,"Oral single dose; adults; normal,healthy;",4133.40
DDPD00441,Gemcitabine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,263.1981,7080028.89,ng/ml,26.9±9,"intravenous infusion, IV in drop;",26900000.00
DDPD00448,Lansoprazole,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1,369.361,248.0,ng/ml,248±140,"Oral single dose; Male, men; normal,healthy;",671.43
DDPD00454,Meperidine,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,247.3327,700.0,ng/ml,~0.7,"PO, oral;",2830.20
DDPD00454,Meperidine,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,247.3327,670.0,ng/ml,0.67,"intravenous injection, IV;",2708.90
DDPD00455,Loratadine,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,382.883,2.56,ng/ml,2.56,"PO, oral; immediate release formulation;",6.69
DDPD00455,Loratadine,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,382.883,3.72,ng/ml,3.72,,9.72
DDPD00455,Loratadine,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,382.883,3.72,ng/ml,3.72,immediate release formulation; Derivative;,9.72
DDPD00455,Loratadine,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,382.883,3.66,ng/ml,3.66,Derivative;,9.56
DDPD00455,Loratadine,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,382.883,3.4,ng/ml,3.4±3.4,"PO, oral; adults; normal,healthy;",8.88
DDPD00455,Loratadine,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,382.883,4.1,ng/ml,4.1±2.6,"PO, oral; Active metabolite; adults; normal,healthy;",10.71
DDPD00455,Loratadine,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,382.883,4.0,ng/ml,4.0±2.1,"PO, oral; Active metabolite; Drug form; adults; normal,healthy;",10.45
DDPD00455,Loratadine,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,382.883,2.0,ng/ml,2.0±0.6,"PO, oral; Active metabolite; Drug form; adults; normal,healthy;",5.22
DDPD00457,Prazosin,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1,383.4011,36.0,ng/ml,36±17,Oral single dose; hypertension;,93.90
DDPD00458,Imipramine,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,280.4073,200.0,ng/ml,200±137,"PO, oral;",713.25
DDPD00465,Ketorolac,OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1,255.2686,2600.0,ng/ml,2.2-3.0,"IM,intramuscular injection; adults; normal,healthy;",10185.35
DDPD00465,Ketorolac,OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1,255.2686,850.0,ng/ml,0.8-0.9,"PO, oral; adults; normal,healthy;",3329.83
DDPD00468,Quinine,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,324.4168,11000.0,ng/ml,11±2,"intravenous injection, IV; adults; malaria;",33907.00
DDPD00468,Quinine,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,324.4168,8350.0,ng/ml,7.3-9.4,"PO, oral; adults; malaria;",25738.49
DDPD00468,Quinine,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,324.4168,9050.0,ng/ml,8.7-9.4,"intravenous injection, IV; Children; malaria;",27896.21
DDPD00468,Quinine,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,324.4168,7300.0,ng/ml,7.3±1.1,"PO, oral; Children; malaria;",22501.92
DDPD00470,Dronabinol,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1,314.4617,1.32,ng/ml,1.32,Oral single dose;,4.20
DDPD00471,Montelukast,OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1,586.183,542.0,ng/ml,542±173,Oral single dose;,924.63
DDPD00472,Fluoxetine,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,309.3261,11.754,ng/ml,11.754,,38.00
DDPD00472,Fluoxetine,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,309.3261,365.5,ng/ml,200-531,"PO, oral;",1181.60
DDPD00472,Fluoxetine,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,309.3261,284.0,ng/ml,103-465,"PO, oral;",918.12
DDPD00477,Chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,318.864,87.5,ng/ml,25-150,"PO, oral; adults; patients;",274.41
DDPD00479,Amikacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,585.6025,21000.0,ng/ml,17-25,"normal,healthy; adults;",35860.50
DDPD00479,Amikacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,585.6025,38000.0,ng/ml,38.0,"intravenous injection, IV;",64890.43
DDPD00479,Amikacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,585.6025,26000.0,ng/ml,26±4,"intravenous infusion, IV in drop; RD, renal impairment, Renal disease，including uremia;",44398.72
DDPD00481,Raloxifene,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,473.583,0.5,ng/ml,0.5,Oral single dose; postmenopausal women;,1.06
DDPD00481,Raloxifene,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,473.583,1.36,ng/ml,1.36,Oral multiple dose; postmenopausal women;,2.87
DDPD00481,Raloxifene,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,473.583,0.64,ng/ml,0.64,Oral single dose; postmenopausal women;,1.35
DDPD00481,Raloxifene,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,473.583,1.7408,ng/ml,1.7408,Oral multiple dose; postmenopausal women;,3.68
DDPD00481,Raloxifene,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,473.583,0.5,ng/ml,0.5±0.3,"PO, oral;",1.06
DDPD00482,Celecoxib,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,381.372,705.0,ng/ml,705.0,,1848.59
DDPD00482,Celecoxib,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,381.372,705000.0,ng/ml,705±268,"Oral single dose; normal,healthy;",1848588.78
DDPD00484,Brimonidine,BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12,292.135,0.046,ng/ml,46±62,skin/dermal;,0.16
DDPD00485,Dicloxacillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1Cl)C(O)=O,470.326,69000.0,ng/ml,47-91,"PO, oral; fasting; adults; normal,healthy;",146706.75
DDPD00486,Nabilone,[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC,372.5408,2.0,ng/ml,~2,"PO, oral;",5.37
