,Drug ID,Drug Name,CAS No.,# Properties,# Property Values,,
481,DDPD00617,Paramethadione,115-67-3,5,5,,
482,DDPD00618,Demeclocycline,127-33-3,9,11,,
483,DDPD00619,Imatinib,152459-95-5,11,29,,
484,DDPD00620,Triamcinolone,124-94-7,12,34,,
485,DDPD00621,Oxandrolone,53-39-4,4,5,,
486,DDPD00622,Nicardipine,55985-32-5,11,24,,
487,DDPD00623,Fluphenazine,69-23-8,14,31,,
488,DDPD00624,Testosterone,58-22-0,11,15,,
489,DDPD00625,Efavirenz,154598-52-4,9,26,,
490,DDPD00626,Bacitracin,1405-87-4,5,14,,
491,DDPD00627,Niacin,59-67-6,14,38,,
492,DDPD00628,Clorazepic acid,23887-31-2,11,24,,
493,DDPD00629,Guanabenz,5051-62-7,6,6,,
494,DDPD00630,Alendronic acid,66376-36-1,11,27,,
495,DDPD00631,Clofarabine,123318-82-1,7,11,,
496,DDPD00632,Docosanol,661-19-8,3,6,,
497,DDPD00633,Dexmedetomidine,113775-47-6,8,24,,
498,DDPD00634,Sulfacetamide,144-80-9,6,6,,
499,DDPD00635,Prednisone,53-03-2,11,27,,
500,DDPD00636,Clofibrate,637-07-0,7,12,,
501,DDPD00637,Astemizole,68844-77-9,7,8,,
502,DDPD00638,Inulin,9005-80-5,3,3,,
503,DDPD00639,Butoconazole,64872-76-0,5,5,,
504,DDPD00640,Adenosine,58-61-7,5,19,,
505,DDPD00641,Simvastatin,79902-63-9,11,25,,
506,DDPD00642,Pemetrexed,137281-23-3,7,11,,
507,DDPD00643,Mebendazole,31431-39-7,12,27,,
508,DDPD00644,Gonadorelin,33515-09-2,4,5,,
509,DDPD00645,Dyclonine,586-60-7,3,3,,
510,DDPD00646,Nystatin,1400-61-9,6,14,,
511,DDPD00647,Dextropropoxyphene,469-62-5,8,9,,
512,DDPD00648,Mitotane,53-19-0,10,10,,
513,DDPD00649,Stavudine,3056-17-5,8,25,,
514,DDPD00650,Leucovorin,58-05-9,6,9,,
515,DDPD00651,Dyphylline,479-18-5,8,8,,
516,DDPD00652,Pentazocine,359-83-1,7,20,,
517,DDPD00653,Magnesium sulfate,7487-88-9,7,8,,
518,DDPD00654,Latanoprost,130209-82-4,12,17,,
519,DDPD00655,Estrone,53-16-7,8,8,,
520,DDPD00656,Trazodone,19794-93-5,16,44,,
521,DDPD00657,Mecamylamine,60-40-2,5,5,,
522,DDPD00658,Sevelamer,52757-95-6,3,8,,
523,DDPD00659,Acamprosate,77337-76-9,6,8,,
524,DDPD00660,Metaxalone,1665-48-1,9,17,,
525,DDPD00661,Verapamil,52-53-9,14,56,,
526,DDPD00662,Trimethobenzamide,138-56-7,8,16,,
527,DDPD00663,Flumethasone,2135-17-3,3,3,,
528,DDPD00664,Sulfametopyrazine,152-47-6,3,3,,
529,DDPD00665,Nilutamide,63612-50-0,6,7,,
530,DDPD00666,Nafarelin,76932-56-4,7,11,,
531,DDPD00668,Epinephrine,51-43-4,9,90,,
532,DDPD00669,Sumatriptan,103628-46-2,14,69,,
533,DDPD00670,Pirenzepine,28797-61-7,5,5,,
534,DDPD00671,Cefixime,79350-37-1,14,26,,
535,DDPD00672,Chlorpropamide,94-20-2,13,14,,
536,DDPD00673,Aprepitant,170729-80-3,9,17,,
537,DDPD00674,Galantamine,357-70-0,11,23,,
538,DDPD00675,Tamoxifen,10540-29-1,10,30,,
539,DDPD00676,Benzyl benzoate,120-51-4,5,6,,
540,DDPD00677,Isoflurophate,55-91-4,3,4,,
541,DDPD00678,Losartan,114798-26-4,15,47,,
542,DDPD00679,Thioridazine,50-52-2,10,13,,
543,DDPD00680,Moricizine,31883-05-3,9,11,,
544,DDPD00681,Amphotericin B,1397-89-3,12,44,,
545,DDPD00682,Warfarin,81-81-2,17,43,,
546,DDPD00683,Midazolam,59467-70-8,12,57,,
547,DDPD00684,Tobramycin,32986-56-4,7,30,,
548,DDPD00685,Trovafloxacin,147059-72-1,9,13,,
549,DDPD00686,Pentosan polysulfate,37300-21-3,3,5,,
550,DDPD00687,Fludrocortisone,127-31-1,11,17,,
551,DDPD00688,Mycophenolate mofetil,128794-94-5,14,21,,
552,DDPD00689,Cephaloglycin,3577-01-3,3,3,,
553,DDPD00690,Flurazepam,17617-23-1,6,9,,
554,DDPD00691,Moexipril,103775-10-6,6,7,,
555,DDPD00692,Phentolamine,50-60-2,5,6,,
556,DDPD00693,Fluorescein,2321-07-5,7,10,,
557,DDPD00694,Daunorubicin,20830-81-3,10,30,,
558,DDPD00695,Furosemide,54-31-9,17,48,,
559,DDPD00696,Ergotamine,113-15-5,8,14,,
560,DDPD00697,Tizanidine,51322-75-9,12,17,,
561,DDPD00698,Nitrofurantoin,67-20-9,14,25,,
562,DDPD00699,Nicergoline,27848-84-6,1,1,,
563,DDPD00700,Eplerenone,107724-20-9,9,16,,
564,DDPD00701,Amprenavir,161814-49-9,3,3,,
565,DDPD00702,Icodextrin,337376-15-5,2,2,,
566,DDPD00703,Methazolamide,554-57-4,8,8,,
567,DDPD00704,Naltrexone,16590-41-3,11,24,,
568,DDPD00705,Delavirdine,136817-59-9,5,7,,
569,DDPD00706,Tamsulosin,106133-20-4,13,32,,
570,DDPD00707,Porfimer sodium,87806-31-3,6,7,,
571,DDPD00708,Sufentanil,56030-54-7,11,24,,
572,DDPD00709,Lamivudine,134678-17-4,12,43,,
573,DDPD00710,Ibandronate,114084-78-5,11,24,,
574,DDPD00711,Diethylcarbamazine,90-89-1,5,6,,
575,DDPD00712,Flurbiprofen,5104-49-4,12,22,,
576,DDPD00713,Oxacillin,66-79-5,9,30,,
577,DDPD00714,Apomorphine,58-00-4,8,26,,
578,DDPD00715,Paroxetine,61869-08-7,17,38,,
579,DDPD00716,Nedocromil,69049-73-6,10,21,,
580,DDPD00717,Norethisterone,68-22-4,13,16,,
581,DDPD00718,Adefovir dipivoxil,142340-99-6,12,23,,
582,DDPD00719,Azatadine,3964-81-6,3,4,,
583,DDPD00720,Clodronic acid,10596-23-3,8,10,,
584,DDPD00721,Procaine,59-46-1,10,10,,
585,DDPD00722,Lisinopril,76547-98-3,16,49,,
586,DDPD00723,Methoxamine,390-28-3,2,2,,
587,DDPD00724,Imiquimod,99011-02-6,4,32,,
588,DDPD00725,Homatropine methylbromide,80-49-9,2,2,,
589,DDPD00726,Trimipramine,739-71-9,7,11,,
590,DDPD00727,Nitroglycerin,55-63-0,15,35,,
591,DDPD00728,Rocuronium,143558-00-3,6,22,,
592,DDPD00730,Thiabendazole,148-79-8,8,16,,
593,DDPD00731,Nateglinide,105816-04-4,9,13,,
594,DDPD00732,Atracurium besylate,64228-81-5,2,2,,
595,DDPD00733,Pralidoxime,6735-59-7,6,12,,
596,DDPD00734,Risperidone,106266-06-2,13,42,,
597,DDPD00735,Naftifine,65472-88-0,2,2,,
598,DDPD00736,Esomeprazole,119141-88-7,12,74,,
599,DDPD00737,Meclizine,569-65-3,7,15,,
600,DDPD00738,Pentamidine,100-33-4,7,20,,
601,DDPD00739,Hetacillin,3511-16-8,2,2,,
602,DDPD00740,Riluzole,1744-22-5,13,24,,
603,DDPD00741,Hydrocortisone,50-23-7,13,26,,
604,DDPD00742,Mannitol,69-65-8,11,12,,
605,DDPD00743,Gadobenic acid,113662-23-0,4,4,,
606,DDPD00744,Zileuton,111406-87-2,11,15,,
607,DDPD00745,Modafinil,68693-11-8,6,8,,
608,DDPD00746,Deferoxamine,70-51-9,6,13,,
609,DDPD00747,Scopolamine,51-34-3,11,27,,
610,DDPD00748,Carbinoxamine,486-16-8,5,12,,
611,DDPD00749,Etodolac,41340-25-4,12,33,,
612,DDPD00750,Prilocaine,721-50-6,8,8,,
613,DDPD00751,Epinastine,80012-43-7,8,11,,
614,DDPD00752,Tranylcypromine,155-09-9,6,6,,
615,DDPD00753,Isoflurane,26675-46-7,5,6,,
616,DDPD00754,Ethotoin,86-35-1,4,4,,
617,DDPD00755,Tretinoin,302-79-4,7,10,,
618,DDPD00756,Hexachlorophene,70-30-4,7,7,,
619,DDPD00757,Dolasetron,115956-12-2,6,9,,
620,DDPD00758,Clopidogrel,113665-84-2,13,35,,
621,DDPD00759,Tetracycline,60-54-8,16,33,,
622,DDPD00760,Meropenem,96036-03-2,7,27,,
623,DDPD00761,Potassium chloride,7447-40-7,2,3,,
624,DDPD00762,Irinotecan,97682-44-5,11,38,,
625,DDPD00763,Methimazole,60-56-0,10,27,,
626,DDPD00765,Metyrosine,672-87-7,6,9,,
627,DDPD00766,Clavulanic acid,58001-44-8,17,39,,
628,DDPD00768,Olopatadine,113806-05-6,13,39,,
629,DDPD00769,Hydrocortamate,76-47-1,2,2,,
630,DDPD00770,Alprostadil,745-65-3,11,13,,
631,DDPD00771,Clidinium,7020-55-5,1,1,,
632,DDPD00772,Malathion,121-75-5,8,14,,
633,DDPD00773,Etoposide,33419-42-0,12,31,,
634,DDPD00774,Hydroflumethiazide,135-09-1,8,10,,
635,DDPD00775,Tirofiban,144494-65-5,7,15,,
636,DDPD00776,Oxcarbazepine,28721-07-5,14,30,,
637,DDPD00777,Propiomazine,362-29-8,3,3,,
638,DDPD00778,Roxithromycin,80214-83-1,4,4,,
639,DDPD00779,Nalidixic acid,389-08-2,11,13,,
640,DDPD00780,Phenelzine,51-71-8,8,9,,
641,DDPD00781,Polymyxin B,1404-26-8,10,50,,
642,DDPD00782,Propantheline,298-50-0,1,1,,
643,DDPD00783,Estradiol,50-28-2,18,32,,
644,DDPD00784,Mefenamic acid,61-68-7,12,14,,
645,DDPD00787,Acyclovir,59277-89-3,18,60,,
646,DDPD00788,Naproxen,22204-53-1,16,40,,
647,DDPD00789,Gadopentetic acid,80529-93-7,5,14,,
648,DDPD00790,Perindopril,82834-16-0,8,10,,
649,DDPD00791,Uracil mustard,66-75-1,4,4,,
650,DDPD00792,Tripelennamine,91-81-6,3,3,,
651,DDPD00793,Haloprogin,777-11-7,2,2,,
652,DDPD00794,Primidone,125-33-7,14,26,,
653,DDPD00795,Sulfasalazine,599-79-1,7,23,,
654,DDPD00796,Candesartan cilexetil,145040-37-5,9,15,,
655,DDPD00797,Tolazoline,59-98-3,5,5,,
656,DDPD00798,Gentamicin,1403-66-3,13,32,,
657,DDPD00799,Tazarotene,118292-40-3,6,13,,
658,DDPD00800,Fenoldopam,67227-56-9,7,13,,
659,DDPD00801,Halazepam,23092-17-3,2,2,,
660,DDPD00802,Alfentanil,71195-58-9,9,18,,
661,DDPD00803,Colistin,1066-17-7,6,6,,
662,DDPD00804,Dicyclomine,77-19-0,7,13,,
663,DDPD00805,Minaprine,25905-77-5,3,3,,
664,DDPD00806,Pentoxifylline,6493-05-6,9,14,,
665,DDPD00807,Proparacaine,499-67-2,3,3,,
666,DDPD00808,Indapamide,26807-65-8,12,15,,
667,DDPD00809,Tropicamide,1508-75-4,4,11,,
668,DDPD00810,Biperiden,514-65-8,9,10,,
669,DDPD00811,Ribavirin,36791-04-5,11,24,,
670,DDPD00812,Phenylbutazone,50-33-9,6,9,,
671,DDPD00813,Fentanyl,437-38-7,15,78,,
672,DDPD00814,Meloxicam,71125-38-7,17,41,,
673,DDPD00816,Orciprenaline,586-06-1,7,13,,
674,DDPD00817,Rosoxacin,40034-42-2,3,3,,
675,DDPD00818,Propofol,2078-54-8,11,29,,
676,DDPD00819,Acetazolamide,59-66-5,10,50,,
677,DDPD00820,Tadalafil,171596-29-5,11,24,,
678,DDPD00821,Carprofen,53716-49-7,8,10,,
679,DDPD00822,Disulfiram,97-77-8,7,8,,
680,DDPD00823,Ethynodiol diacetate,297-76-7,3,3,,
681,DDPD00824,Enprofylline,41078-02-8,7,8,,
682,DDPD00825,Levomenthol,2216-51-5,5,11,,
683,DDPD00826,Natamycin,7681-93-8,5,6,,
684,DDPD00827,Cinoxacin,28657-80-9,6,12,,
685,DDPD00828,Fosfomycin,23155-02-4,11,17,,
686,DDPD00829,Diazepam,439-14-5,16,35,,
687,DDPD00830,Phenmetrazine,134-49-6,5,8,,
688,DDPD00831,Trifluoperazine,117-89-5,5,9,,
689,DDPD00832,Phensuximide,86-34-0,5,5,,
690,DDPD00833,Cefaclor,53994-73-3,8,22,,
691,DDPD00834,Mifepristone,84371-65-3,9,13,,
692,DDPD00835,Brompheniramine,86-22-6,4,5,,
693,DDPD00836,Loperamide,53179-11-6,6,18,,
694,DDPD00838,Clocortolone,4828-27-7,2,4,,
695,DDPD00839,Tolazamide,1156-19-0,6,7,,
696,DDPD00840,Hydroxypropyl cellulose,9004-64-2,2,2,,
697,DDPD00841,Dobutamine,34368-04-2,5,15,,
698,DDPD00842,Oxazepam,604-75-1,11,17,,
699,DDPD00843,Donepezil,120014-06-4,17,33,,
700,DDPD00844,Nalbuphine,20594-83-6,10,17,,
701,DDPD00845,Clofazimine,2030-63-9,10,12,,
702,DDPD00846,Flurandrenolide,1524-88-5,3,5,,
703,DDPD00847,Cysteamine,60-23-1,7,16,,
704,DDPD00848,Levamisole,14769-73-4,6,7,,
705,DDPD00849,Methylphenobarbital,115-38-8,7,7,,
706,DDPD00850,Perphenazine,58-39-9,12,23,,
707,DDPD00851,Dacarbazine,4342-03-4,9,16,,
708,DDPD00852,Pseudoephedrine,90-82-4,14,30,,
709,DDPD00853,Temozolomide,85622-93-1,9,18,,
710,DDPD00854,Levorphanol,77-07-6,10,14,,
711,DDPD00855,Aminolevulinic acid,106-60-5,6,8,,
712,DDPD00856,Chlorphenesin,104-29-0,5,5,,
713,DDPD00857,Terbinafine,91161-71-6,16,29,,
714,DDPD00859,Penicillamine,52-67-5,11,29,,
715,DDPD00860,Prednisolone,50-24-8,14,33,,
716,DDPD00861,Diflunisal,22494-42-4,15,23,,
717,DDPD00862,Vardenafil,224785-90-4,10,17,,
718,DDPD00863,Ranitidine,66357-35-5,17,62,,
719,DDPD00864,Tacrolimus,104987-11-3,12,51,,
720,DDPD00865,Benzphetamine,156-08-1,6,9,,
721,DDPD00867,Ritodrine,26652-09-5,7,10,,
722,DDPD00868,Benzonatate,104-31-4,6,10,,
723,DDPD00869,Dorzolamide,120279-96-1,6,13,,
724,DDPD00870,Suprofen,40828-46-4,7,7,,
725,DDPD00871,Terbutaline,23031-25-6,10,21,,
726,DDPD00872,Conivaptan,210101-16-9,7,11,,
727,DDPD00874,Guaifenesin,93-14-1,8,14,,
728,DDPD00875,Flupentixol,2709-56-0,6,14,,
729,DDPD00876,Eprosartan,133040-01-4,9,11,,
730,DDPD00877,Sirolimus,53123-88-9,10,17,,
731,DDPD00878,Chlorhexidine,55-56-1,7,8,,
732,DDPD00879,Emtricitabine,143491-57-0,16,39,,
733,DDPD00880,Chlorothiazide,58-94-6,12,37,,
734,DDPD00881,Quinapril,85441-61-8,14,32,,
735,DDPD00882,Clomifene,911-45-5,5,9,,
736,DDPD00883,Isosorbide dinitrate,87-33-2,14,35,,
737,DDPD00884,Risedronic acid,105462-24-6,11,27,,
738,DDPD00885,Pemirolast,69372-19-6,3,3,,
739,DDPD00887,Bumetanide,28395-03-1,12,26,,
740,DDPD00888,Mechlorethamine,51-75-2,7,17,,
741,DDPD00889,Granisetron,109889-09-0,12,37,,
742,DDPD00890,Dienestrol,13029-44-2,5,5,,
743,DDPD00891,Sulfapyridine,144-83-2,9,9,,
744,DDPD00892,Oxybuprocaine,99-43-4,2,2,,
745,DDPD00893,Iron Dextran,9004-66-4,4,11,,
746,DDPD00894,Testolactone,968-93-4,5,6,,
747,DDPD00895,Benzylpenicilloyl polylysine,31855-75-1,1,1,,
748,DDPD00896,Rimexolone,49697-38-3,5,6,,
749,DDPD00897,Triazolam,28911-01-5,10,13,,
750,DDPD00898,Ethanol,64-17-5,9,16,,
751,DDPD00899,Remifentanil,132875-61-7,8,29,,
752,DDPD00900,Didanosine,69655-05-6,12,58,,
753,DDPD00902,Methdilazine,1982-37-2,3,3,,
754,DDPD00903,Etacrynic acid,58-54-8,4,4,,
755,DDPD00904,Ondansetron,99614-02-5,11,42,,
756,DDPD00905,Bimatoprost,155206-00-1,14,23,,
757,DDPD00906,Tiagabine,115103-54-3,11,25,,
758,DDPD00907,Cocaine,50-36-2,11,21,,
759,DDPD00908,Quinidine,56-54-2,14,30,,
760,DDPD00909,Zonisamide,68291-97-4,12,22,,
761,DDPD00910,Paricalcitol,131918-61-1,6,18,,
762,DDPD00911,Tinidazole,19387-91-8,12,23,,
763,DDPD00912,Repaglinide,135062-02-1,14,28,,
764,DDPD00913,Anileridine,144-14-9,3,3,,
765,DDPD00914,Phenformin,114-86-3,3,3,,
766,DDPD00915,Amantadine,768-94-5,10,25,,
767,DDPD00916,Metronidazole,443-48-1,17,55,,
768,DDPD00917,Dinoprostone,363-24-6,6,7,,
769,DDPD00918,Almotriptan,154323-57-6,7,14,,
770,DDPD00919,Spectinomycin,1695-77-8,7,9,,
771,DDPD00920,Ketotifen,34580-13-7,7,10,,
772,DDPD00921,Buprenorphine,52485-79-7,12,50,,
773,DDPD00922,Levosimendan,141505-33-1,6,8,,
774,DDPD00923,Ceforanide,60925-61-3,6,7,,
775,DDPD00924,Cyclobenzaprine,303-53-7,14,21,,
776,DDPD00925,Phenoxybenzamine,59-96-1,5,5,,
777,DDPD00927,Famotidine,76824-35-6,14,49,,
778,DDPD00928,Azacitidine,320-67-2,9,12,,
779,DDPD00929,Misoprostol,59122-46-2,12,30,,
780,DDPD00930,Colesevelam,182815-43-6,3,6,,
781,DDPD00931,Metacycline,914-00-1,5,5,,
782,DDPD00932,Tipranavir,174484-41-4,5,8,,
783,DDPD00933,Mesoridazine,5588-33-0,4,7,,
784,DDPD00934,Maprotiline,10262-69-8,10,16,,
785,DDPD00935,Oxymetazoline,1491-59-4,3,12,,
786,DDPD00936,Salicylic acid,69-72-7,9,11,,
787,DDPD00937,Diethylpropion,90-84-6,5,12,,
788,DDPD00938,Salmeterol,89365-50-4,12,18,,
789,DDPD00939,Meclofenamic acid,644-62-2,9,13,,
790,DDPD00941,Hexafluronium,4844-10-4,3,3,,
791,DDPD00942,Cycrimine,77-39-4,3,3,,
792,DDPD00943,Zalcitabine,7481-89-2,10,14,,
793,DDPD00944,Demecarium,16505-84-3,3,3,,
794,DDPD00945,Acetylsalicylic acid,50-78-2,16,32,,
795,DDPD00946,Phenprocoumon,435-97-2,8,9,,
796,DDPD00947,Fulvestrant,129453-61-8,9,19,,
797,DDPD00948,Mezlocillin,51481-65-3,6,7,,
798,DDPD00949,Felbamate,25451-15-4,8,10,,
799,DDPD00950,Fexofenadine,83799-24-0,12,34,,
800,DDPD00951,Isoniazid,54-85-3,14,33,,
801,DDPD00952,Naratriptan,121679-13-8,9,12,,
802,DDPD00953,Rizatriptan,144034-80-0,12,36,,
803,DDPD00955,Netilmicin,56391-56-1,8,9,,
804,DDPD00956,Hydrocodone,125-29-1,10,25,,
805,DDPD00957,Norgestimate,35189-28-7,7,13,,
806,DDPD00958,Carboplatin,41575-94-4,9,22,,
807,DDPD00959,Methylprednisolone,83-43-2,13,27,,
808,DDPD00960,Pindolol,13523-86-9,14,22,,
809,DDPD00961,Mepivacaine,96-88-8,13,22,,
810,DDPD00962,Zaleplon,151319-34-5,12,22,,
811,DDPD00963,Bromfenac,91714-94-2,5,8,,
812,DDPD00964,Apraclonidine,66711-21-5,4,4,,
813,DDPD00965,Ethiodized oil,8008-53-5,2,2,,
814,DDPD00966,Telmisartan,144701-48-4,10,16,,
815,DDPD00967,Desloratadine,100643-71-8,5,11,,
816,DDPD00968,Methyldopa,555-30-6,10,20,,
817,DDPD00969,Alosetron,122852-42-0,7,10,,
818,DDPD00970,Dactinomycin,50-76-0,5,20,,
819,DDPD00971,Selenium Sulfide,7488-56-4,3,3,,
820,DDPD00972,Azelastine,58581-89-8,10,28,,
821,DDPD00973,Ezetimibe,163222-33-1,10,27,,
822,DDPD00974,Edetic acid,60-00-4,6,7,,
823,DDPD00975,Dipyridamole,58-32-2,9,16,,
824,DDPD00976,Telithromycin,191114-48-4,14,29,,
825,DDPD00977,Ethinylestradiol,57-63-6,13,25,,
826,DDPD00978,Lomefloxacin,98079-51-7,9,13,,
827,DDPD00979,Cyclopentolate,512-15-2,4,12,,
828,DDPD00980,Ramelteon,196597-26-9,7,10,,
829,DDPD00981,Physostigmine,57-47-6,7,7,,
830,DDPD00982,Isotretinoin,4759-48-2,15,44,,
831,DDPD00983,Formoterol,73573-87-2,11,21,,
832,DDPD00984,Nandrolone phenpropionate,62-90-8,4,4,,
833,DDPD00985,Dimenhydrinate,523-87-5,5,5,,
834,DDPD00986,Glycopyrronium,740028-90-4,5,28,,
835,DDPD00987,Cytarabine,147-94-4,11,18,,
836,DDPD00988,Dopamine,51-61-6,11,15,,
837,DDPD00989,Rivastigmine,123441-03-2,10,22,,
838,DDPD00990,Exemestane,107868-30-4,6,9,,
839,DDPD00991,Oxaprozin,21256-18-8,10,20,,
840,DDPD00992,Methyl aminolevulinate,33320-16-0,2,2,,
841,DDPD00993,Azathioprine,446-86-6,13,23,,
842,DDPD00994,Neomycin,1404-04-2,4,18,,
843,DDPD00995,Auranofin,34031-32-8,4,5,,
844,DDPD00996,Gabapentin,60142-96-3,15,35,,
845,DDPD00997,Doxorubicin,23214-92-8,12,41,,
846,DDPD00998,Frovatriptan,158747-02-5,6,12,,
847,DDPD00999,Hydrochlorothiazide,58-93-5,17,48,,
848,DDPD01000,Cyclacillin,3485-14-1,2,2,,
849,DDPD01001,Salbutamol,18559-94-9,16,80,,
850,DDPD01002,Levobupivacaine,27262-47-1,11,22,,
851,DDPD01003,Cromoglicic acid,16110-51-3,7,13,,
852,DDPD01004,Ganciclovir,82410-32-0,15,43,,
853,DDPD01005,Hydroxyurea,127-07-1,14,30,,
854,DDPD01006,Letrozole,112809-51-5,12,31,,
855,DDPD01007,Tioconazole,65899-73-2,1,1,,
856,DDPD01008,Busulfan,55-98-1,13,39,,
857,DDPD01009,Ketoprofen,22071-15-4,13,25,,
858,DDPD01010,Edrophonium,312-48-1,7,20,,
859,DDPD01011,Metyrapone,54-36-4,7,16,,
860,DDPD01012,Cinacalcet,226256-56-0,9,17,,
861,DDPD01013,Clobetasol propionate,25122-46-7,5,13,,
862,DDPD01014,Balsalazide,80573-04-2,3,6,,
863,DDPD01015,Sulfamethoxazole,723-46-6,13,24,,
864,DDPD01016,Glyburide,10238-21-8,13,43,,
865,DDPD01017,Minocycline,10118-90-8,13,72,,
866,DDPD01018,Guanfacine,29110-47-2,14,39,,
867,DDPD01019,Bethanechol,674-38-4,3,10,,
868,DDPD01020,Isosorbide mononitrate,16051-77-7,11,21,,
869,DDPD01021,Trichlormethiazide,133-67-5,6,7,,
870,DDPD01022,Phylloquinone,84-80-0,8,15,,
871,DDPD01023,Felodipine,72509-76-3,15,32,,
872,DDPD01024,Mycophenolic acid,24280-93-1,12,50,,
873,DDPD01025,Amlexanox,68302-57-8,2,2,,
874,DDPD01026,Ketoconazole,65277-42-1,12,31,,
875,DDPD01028,Methoxyflurane,76-38-0,5,6,,
876,DDPD01029,Irbesartan,138402-11-6,15,72,,
877,DDPD01030,Topotecan,123948-87-8,12,27,,
878,DDPD01031,Ethinamate,126-52-3,5,5,,
879,DDPD01032,Probenecid,57-66-9,9,22,,
880,DDPD01033,Mercaptopurine,50-44-2,14,35,,
881,DDPD01035,Procainamide,51-06-9,14,25,,
882,DDPD01036,Tolterodine,124937-51-5,10,27,,
883,DDPD01037,Selegiline,14611-51-9,12,29,,
884,DDPD01039,Fenofibrate,49562-28-9,12,36,,
885,DDPD01041,Thalidomide,50-35-1,12,27,,
886,DDPD01042,Melphalan,148-82-3,13,28,,
887,DDPD01043,Memantine,19982-08-2,11,15,,
888,DDPD01044,Gatifloxacin,112811-59-3,10,16,,
889,DDPD01045,Rifampicin,13292-46-1,13,33,,
890,DDPD01046,Lubiprostone,136790-76-6,3,3,,
891,DDPD01047,Fluocinonide,356-12-7,7,15,,
892,DDPD01048,Abacavir,136470-78-5,9,24,,
893,DDPD01049,Ergoloid mesylate,8067-24-1,9,10,,
894,DDPD01050,Ibuprofen,15687-27-1,18,58,,
895,DDPD01051,Novobiocin,303-81-1,5,5,,
896,DDPD01053,Benzylpenicillin,61-33-6,16,49,,
897,DDPD01054,Nitrendipine,39562-70-4,7,7,,
898,DDPD01056,Tocainide,41708-72-9,8,12,,
899,DDPD01057,Echothiophate,6736-03-4,4,7,,
900,DDPD01058,Praziquantel,55268-74-1,12,19,,
901,DDPD01059,Norfloxacin,70458-96-7,5,5,,
902,DDPD01060,Amoxicillin,26787-78-0,14,44,,
903,DDPD01061,Azlocillin,37091-66-0,6,8,,
904,DDPD01062,Oxybutynin,5633-20-5,16,42,,
905,DDPD01063,Acetophenazine,2751-68-0,2,2,,
906,DDPD01064,Isoprenaline,7683-59-2,2,2,,
907,DDPD01065,Melatonin,73-31-4,6,8,,
908,DDPD01066,Cefditoren,104145-95-1,9,13,,
909,DDPD01067,Glipizide,29094-61-9,16,31,,
910,DDPD01068,Clonazepam,1622-61-3,14,34,,
911,DDPD01069,Promethazine,60-87-7,17,41,,
912,DDPD01070,Dihydrotachysterol,67-96-9,2,2,,
913,DDPD01072,Atazanavir,198904-31-3,11,33,,
914,DDPD01073,Fludarabine,21679-14-1,11,19,,
915,DDPD01074,Perhexiline,6621-47-2,6,10,,
916,DDPD01075,Diphenhydramine,58-73-1,15,46,,
917,DDPD01076,Atorvastatin,134523-00-5,14,26,,
918,DDPD01077,Etidronic acid,2809-21-4,8,9,,
919,DDPD01078,Deslanoside,17598-65-1,4,4,,
920,DDPD01079,Tegaserod,145158-71-0,10,22,,
921,DDPD01080,Vigabatrin,68506-86-5,13,34,,
922,DDPD01081,Diphenoxylate,915-30-0,6,6,,
923,DDPD01082,Streptomycin,57-92-1,7,14,,
924,DDPD01083,Orlistat,96829-58-2,4,9,,
925,DDPD01084,Emedastine,87233-61-2,4,8,,
926,DDPD01085,Pilocarpine,92-13-7,6,9,,
927,DDPD01086,Benzocaine,94-09-7,6,7,,
928,DDPD01087,Primaquine,90-34-6,7,14,,
929,DDPD01088,Iloprost,78919-13-8,7,11,,
930,DDPD01089,Deserpidine,131-01-1,2,2,,
931,DDPD01090,Pentolinium,144-44-5,2,3,,
932,DDPD01091,Butenafine,101828-21-1,2,3,,
933,DDPD01092,Ouabain,630-60-4,4,4,,
934,DDPD01093,Dimethyl sulfoxide,67-68-5,6,8,,
935,DDPD01095,Fluvastatin,93957-54-1,12,25,,
936,DDPD01096,Oxamniquine,21738-42-1,4,4,,
937,DDPD01097,Leflunomide,75706-12-6,12,19,,
938,DDPD01098,Rosuvastatin,287714-41-4,11,26,,
939,DDPD01099,Flucytosine,2022-85-7,12,20,,
940,DDPD01100,Pimozide,2062-78-4,9,21,,
941,DDPD01101,Capecitabine,154361-50-9,12,24,,
942,DDPD01102,Arbutamine,128470-16-6,3,3,,
943,DDPD01104,Sertraline,79617-96-2,18,33,,
944,DDPD01105,Sibutramine,106650-56-0,8,9,,
945,DDPD01106,Levocabastine,79516-68-0,6,7,,
946,DDPD01107,Methyprylon,125-64-4,4,4,,
947,DDPD01108,Trilostane,13647-35-3,3,3,,
948,DDPD01109,Heparin,9005-49-6,10,21,,
949,DDPD01110,Miconazole,22916-47-8,9,16,,
950,DDPD01111,Colistimethate,12705-41-8,4,18,,
951,DDPD01112,Cefuroxime,55268-75-2,12,35,,
952,DDPD01113,Papaverine,58-74-2,7,9,,
953,DDPD01114,Chlorpheniramine,132-22-9,13,26,,
954,DDPD01115,Nifedipine,21829-25-4,14,47,,
955,DDPD01116,Trimethaphan,7187-66-8,3,3,,
956,DDPD01117,Atovaquone,95233-18-4,8,20,,
957,DDPD01118,Amiodarone,1951-25-3,14,27,,
958,DDPD01119,Diazoxide,364-98-7,10,17,,
959,DDPD01120,Gliclazide,21187-98-4,10,12,,
