Drug,Isotope_Atom,atom_chiral_undef,Log P_Xlogp3,Heavy_Atom,Compound Complexity_N/A,bond_chiral_undef,charge,Topological_Polar Surface Area,atom_chiral_def,bond_chiral_def,Molecular Weight_N/A,Weight_Monoisotopic,Covalent_Unit,Count_Hydrogen Bond Acceptor,Count_Hydrogen Bond Donor,Mass_Exact,Count_Rotatable Bond
Decitabine,0.0,0.0,-1.2,16.0,356.0,0.0,0.0,121.0,3.0,0.0,228.21,228.08585488,1.0,4.0,3.0,228.08585488,2.0
Decyl Methyl Sulphoxide,0.0,1.0,3.8,13.0,123.0,0.0,0.0,36.3,0.0,0.0,204.37,204.15478656,1.0,2.0,0.0,204.15478656,9.0
Deferasirox,0.0,0.0,3.8,28.0,540.0,0.0,0.0,108.0,0.0,0.0,373.4,373.10625597,1.0,6.0,3.0,373.10625597,4.0
Deferiprone,0.0,0.0,0.5,10.0,228.0,0.0,0.0,40.5,0.0,0.0,139.15,139.06332853,1.0,3.0,1.0,139.06332853,0.0
Defibrotide,0.0,0.0,1.8,31.0,773.0,0.0,0.0,137.0,0.0,0.0,444.4,444.1198714,1.0,7.0,4.0,444.1198714,5.0
Deflazacort,0.0,0.0,2.0,32.0,996.0,0.0,0.0,102.0,8.0,0.0,441.5,441.21513771,1.0,7.0,1.0,441.21513771,4.0
Degarelix,0.0,0.0,3.5,117.0,3390.0,0.0,0.0,513.0,11.0,0.0,1632.3,1630.748797,1.0,18.0,17.0,1630.748797,41.0
Dehydrocholic Acid,0.0,0.0,2.6,29.0,756.0,0.0,0.0,88.5,8.0,0.0,402.5,402.24062418,1.0,5.0,1.0,402.24062418,4.0
Delafloxacin,0.0,0.0,2.7,30.0,755.0,0.0,0.0,120.0,0.0,0.0,440.8,440.0499171,1.0,11.0,3.0,440.0499171,3.0
Delamanid,0.0,0.0,5.6,38.0,795.0,0.0,0.0,104.0,1.0,0.0,534.5,534.17261902,1.0,11.0,0.0,534.17261902,7.0
Delavirdine,0.0,0.0,2.4,32.0,749.0,0.0,0.0,119.0,0.0,0.0,456.6,456.19435995,1.0,7.0,3.0,456.19435995,6.0
Delorazepam,0.0,0.0,3.1,20.0,413.0,0.0,0.0,41.5,0.0,0.0,305.2,304.0170183,1.0,2.0,1.0,304.0170183,1.0
Delphenium Staphisagria,,,,,,,,,,,,,,,,,
Demeclocycline,0.0,0.0,0.7,32.0,961.0,0.0,0.0,182.0,5.0,0.0,464.9,464.0986433,1.0,9.0,6.0,464.0986433,2.0
Denosumab,,,,,,,,,,,,,,,,,
Deoxycholic Acid,0.0,0.0,4.9,28.0,605.0,0.0,0.0,77.8,10.0,0.0,392.6,392.29265975,1.0,4.0,3.0,392.29265975,4.0
Deoxyribonuclease,,,,,,,,,,,,,,,,,
Depatuxizumab Mafodotin,0.0,1.0,1.4,73.0,1880.0,0.0,0.0,301.0,10.0,0.0,1046.3,1045.5769569,1.0,15.0,5.0,1045.5769569,31.0
Deptropine,0.0,0.0,4.8,25.0,427.0,0.0,0.0,12.5,2.0,0.0,333.5,333.209264485,1.0,2.0,0.0,333.209264485,2.0
Dequalinium,0.0,0.0,7.3,34.0,532.0,0.0,2.0,59.8,0.0,0.0,456.7,456.32529729,1.0,2.0,2.0,456.32529729,11.0
Desferrioxamine,0.0,0.0,-2.1,39.0,739.0,0.0,0.0,206.0,0.0,0.0,560.7,560.35336251,1.0,9.0,6.0,560.35336251,23.0
Desflurane,0.0,1.0,2.6,10.0,97.7,0.0,0.0,9.2,0.0,0.0,168.04,168.00098366,1.0,7.0,0.0,168.00098366,2.0
Desipramine,0.0,0.0,4.9,20.0,267.0,0.0,0.0,15.3,0.0,0.0,266.4,266.17829871,1.0,2.0,1.0,266.17829871,4.0
Desloratadine,0.0,0.0,4.5,22.0,425.0,0.0,0.0,24.9,0.0,0.0,310.8,310.1236763,1.0,2.0,1.0,310.1236763,0.0
Desmopressin,0.0,0.0,-4.0,74.0,2040.0,0.0,0.0,489.0,7.0,0.0,1069.2,1068.42695588,1.0,15.0,13.0,1068.42695588,19.0
Desogestrel,0.0,0.0,4.9,23.0,605.0,0.0,0.0,20.2,6.0,0.0,310.5,310.229665576,1.0,1.0,1.0,310.229665576,2.0
Dexamethasone,0.0,0.0,1.9,28.0,805.0,0.0,0.0,94.8,8.0,0.0,392.5,392.19990218,1.0,6.0,3.0,392.19990218,2.0
Dexamphetamine,0.0,0.0,1.8,10.0,84.7,0.0,0.0,26.0,1.0,0.0,135.21,135.104799419,1.0,1.0,1.0,135.104799419,2.0
Dexfenfluramine,0.0,0.0,3.4,16.0,203.0,0.0,0.0,12.0,1.0,0.0,231.26,231.123484,1.0,4.0,1.0,231.123484,4.0
Dexibuprofen,0.0,0.0,3.5,15.0,203.0,0.0,0.0,37.3,1.0,0.0,206.28,206.130679813,1.0,2.0,1.0,206.130679813,4.0
Dexketoprofen,0.0,0.0,3.1,19.0,331.0,0.0,0.0,54.4,1.0,0.0,254.28,254.094294304,1.0,3.0,1.0,254.094294304,4.0
Dexmedetomidine,0.0,0.0,3.1,15.0,205.0,0.0,0.0,28.7,1.0,0.0,200.28,200.131348519,1.0,1.0,1.0,200.131348519,2.0
Dexpanthenol,0.0,0.0,-0.9,14.0,182.0,0.0,0.0,89.8,1.0,0.0,205.25,205.13140809,1.0,4.0,4.0,205.13140809,6.0
Dexrazoxane,0.0,0.0,-1.4,19.0,404.0,0.0,0.0,98.8,1.0,0.0,268.27,268.117155,1.0,6.0,2.0,268.117155,3.0
Dextran,0.0,14.0,-7.2,34.0,625.0,0.0,0.0,277.0,0.0,0.0,504.4,504.16903493,1.0,16.0,11.0,504.16903493,11.0
Dextranomer,,,,,,,,,,,,,,,,,
Dextromethorphan,0.0,0.0,3.4,20.0,370.0,0.0,0.0,12.5,3.0,0.0,271.4,271.193614421,1.0,2.0,0.0,271.193614421,1.0
Dextromoramide,0.0,0.0,3.8,29.0,495.0,0.0,0.0,32.8,1.0,0.0,392.5,392.246378268,1.0,3.0,0.0,392.246378268,6.0
Dextropropoxyphene,0.0,0.0,4.2,25.0,397.0,0.0,0.0,29.5,2.0,0.0,339.5,339.219829168,1.0,3.0,0.0,339.219829168,9.0
Di-Iodohydroxyquinoline,,,,,,,,,,,,,,,,,
Diamorphine,0.0,0.0,1.5,27.0,692.0,0.0,0.0,65.1,5.0,0.0,369.4,369.15762283,1.0,6.0,0.0,369.15762283,4.0
Diazepam,0.0,0.0,3.0,20.0,403.0,0.0,0.0,32.7,0.0,0.0,284.74,284.0716407,1.0,2.0,0.0,284.0716407,1.0
Diazoxide,0.0,0.0,1.2,14.0,360.0,0.0,0.0,66.9,0.0,0.0,230.67,229.9916763,1.0,3.0,1.0,229.9916763,0.0
Dibrompropamidine,0.0,0.0,3.2,25.0,426.0,0.0,0.0,118.0,0.0,0.0,470.2,467.97965,1.0,4.0,4.0,469.9776,8.0
Dibutyldithiocarmabate,,,,,,,,,,,,,,,,,
Dichloralphenazone,0.0,0.0,,28.0,323.0,0.0,0.0,104.0,0.0,0.0,519.0,515.934688,3.0,6.0,4.0,517.931738,1.0
Dichlorobenzyl Alcohol,0.0,0.0,2.5,10.0,108.0,0.0,0.0,20.2,0.0,0.0,177.02,175.9795702,1.0,1.0,1.0,175.9795702,1.0
Dichlorodifluoromethane,0.0,0.0,2.3,5.0,30.6,0.0,0.0,0.0,0.0,0.0,120.91,119.9345117,1.0,2.0,0.0,119.9345117,0.0
Dichlorophen,0.0,0.0,4.3,17.0,226.0,0.0,0.0,40.5,0.0,0.0,269.12,268.0057849,1.0,2.0,2.0,268.0057849,2.0
Dichlorphenamide,0.0,0.0,0.3,16.0,452.0,0.0,0.0,137.0,0.0,0.0,305.2,303.9146044,1.0,6.0,2.0,303.9146044,2.0
Diclofenac,0.0,0.0,4.4,19.0,304.0,0.0,0.0,49.3,0.0,0.0,296.1,295.016684,1.0,3.0,2.0,295.016684,4.0
Dicloxacillin,0.0,0.0,2.9,30.0,746.0,0.0,0.0,138.0,3.0,0.0,470.3,469.0265972,1.0,7.0,2.0,469.0265972,4.0
Dicyclomine,0.0,0.0,5.5,22.0,326.0,0.0,0.0,29.5,0.0,0.0,309.5,309.266779359,1.0,3.0,0.0,309.266779359,8.0
Didanosine,0.0,0.0,-1.2,17.0,348.0,0.0,0.0,88.7,2.0,0.0,236.23,236.09094026,1.0,5.0,2.0,236.09094026,2.0
Dienoestrol,0.0,0.0,5.4,20.0,318.0,0.0,0.0,40.5,0.0,2.0,266.3,266.130679813,1.0,2.0,2.0,266.130679813,3.0
Dienogest,0.0,0.0,1.8,23.0,679.0,0.0,0.0,61.1,4.0,0.0,311.4,311.18852904,1.0,3.0,1.0,311.18852904,1.0
Diethyldithiocarbamate,0.0,0.0,1.6,8.0,73.0,0.0,-1.0,36.3,0.0,0.0,148.3,148.02546667,1.0,2.0,0.0,148.02546667,2.0
Diethylpropion,0.0,1.0,2.8,15.0,193.0,0.0,0.0,20.3,0.0,0.0,205.3,205.14666423,1.0,2.0,0.0,205.14666423,5.0
Diethylstilbestrol,0.0,0.0,5.1,20.0,286.0,0.0,0.0,40.5,0.0,1.0,268.3,268.146329876,1.0,2.0,2.0,268.146329876,4.0
Difelikefalin,0.0,0.0,-0.6,49.0,1080.0,0.0,0.0,223.0,4.0,0.0,679.8,679.40573244,1.0,9.0,7.0,679.40573244,18.0
Diflucortolone,0.0,0.0,2.3,28.0,791.0,0.0,0.0,74.6,9.0,0.0,394.5,394.19556569,1.0,6.0,2.0,394.19556569,2.0
Diflunisal,0.0,0.0,4.4,18.0,311.0,0.0,0.0,57.5,0.0,0.0,250.2,250.04415044,1.0,5.0,2.0,250.04415044,2.0
Digitalis,0.0,0.0,2.3,54.0,1410.0,0.0,0.0,183.0,20.0,0.0,764.9,764.43469209,1.0,13.0,5.0,764.43469209,7.0
Digitalis,0.0,0.0,2.3,54.0,1410.0,0.0,0.0,183.0,20.0,0.0,764.9,764.43469209,1.0,13.0,5.0,764.43469209,7.0
Digitoxin,0.0,0.0,2.3,54.0,1410.0,0.0,0.0,183.0,20.0,0.0,764.9,764.43469209,1.0,13.0,5.0,764.43469209,7.0
Digitoxin,0.0,0.0,2.3,54.0,1410.0,0.0,0.0,183.0,20.0,0.0,764.9,764.43469209,1.0,13.0,5.0,764.43469209,7.0
Digoxin,0.0,0.0,1.3,55.0,1450.0,0.0,0.0,203.0,21.0,0.0,780.9,780.42960671,1.0,14.0,6.0,780.42960671,7.0
Digoxin-Specific Antibody Fragments,,,,,,,,,,,,,,,,,
Dihydrocodeine,0.0,0.0,2.2,22.0,471.0,0.0,0.0,41.9,5.0,0.0,301.4,301.1677936,1.0,4.0,1.0,301.1677936,1.0
Dihydroergotamine,0.0,0.0,2.4,43.0,1160.0,0.0,0.0,118.0,7.0,0.0,583.7,583.2794693,1.0,6.0,3.0,583.2794693,4.0
Diloxanide,0.0,0.0,2.0,14.0,203.0,0.0,0.0,40.5,0.0,0.0,234.08,233.0010339,1.0,2.0,1.0,233.0010339,2.0
Diltiazem,0.0,0.0,3.1,29.0,565.0,0.0,0.0,84.4,2.0,0.0,414.5,414.16132849,1.0,6.0,0.0,414.16132849,7.0
Dimenhydrinate,0.0,0.0,,33.0,509.0,0.0,0.0,81.8,0.0,0.0,470.0,469.1880675,2.0,5.0,1.0,469.1880675,6.0
Dimethindene,0.0,1.0,2.7,22.0,399.0,0.0,0.0,16.1,0.0,0.0,292.4,292.193948774,1.0,2.0,0.0,292.193948774,5.0
Dimethyl Ether,0.0,0.0,0.1,3.0,2.8,0.0,0.0,9.2,0.0,0.0,46.07,46.041864811,1.0,1.0,0.0,46.041864811,0.0
Dimethyl Fumarate,0.0,0.0,0.7,10.0,141.0,0.0,0.0,52.6,0.0,1.0,144.12,144.04225873,1.0,4.0,0.0,144.04225873,4.0
Dimethyl Sulphoxide,0.0,0.0,-0.6,4.0,29.0,0.0,0.0,36.3,0.0,0.0,78.14,78.01393598,1.0,2.0,0.0,78.01393598,0.0
Dimeticone,0.0,0.0,,13.0,149.0,0.0,0.0,18.5,0.0,0.0,236.53,236.10840961,1.0,2.0,0.0,236.10840961,4.0
Dinoprost,0.0,0.0,2.7,25.0,432.0,0.0,0.0,98.0,5.0,2.0,354.5,354.24062418,1.0,5.0,4.0,354.24062418,12.0
Dinoprostone,0.0,0.0,2.8,25.0,469.0,0.0,0.0,94.8,4.0,2.0,352.5,352.22497412,1.0,5.0,3.0,352.22497412,12.0
Dinutuximab,,,,,,,,,,,,,,,,,
Diosmin,0.0,0.0,-0.8,43.0,995.0,0.0,0.0,234.0,10.0,0.0,608.5,608.17412031,1.0,15.0,8.0,608.17412031,7.0
Dipentamethylenethiuram Disulphide,0.0,0.0,3.4,18.0,266.0,0.0,0.0,121.0,0.0,0.0,320.6,320.05093334,1.0,4.0,0.0,320.05093334,3.0
Diphenhydramine,0.0,0.0,3.3,19.0,211.0,0.0,0.0,12.5,0.0,0.0,255.35,255.162314293,1.0,2.0,0.0,255.162314293,6.0
Diphenoxylate,0.0,0.0,5.7,34.0,666.0,0.0,0.0,53.3,0.0,0.0,452.6,452.246378268,1.0,4.0,0.0,452.246378268,9.0
Diphenylpyraline,0.0,0.0,3.9,21.0,268.0,0.0,0.0,12.5,0.0,0.0,281.4,281.177964357,1.0,2.0,0.0,281.177964357,4.0
Dipipanone,0.0,1.0,4.8,26.0,409.0,0.0,0.0,20.3,0.0,0.0,349.5,349.240564612,1.0,2.0,0.0,349.240564612,7.0
Dipivefrine,0.0,1.0,2.9,25.0,463.0,0.0,0.0,84.9,0.0,0.0,351.4,351.20457303,1.0,6.0,2.0,351.20457303,9.0
Dipyridamole,0.0,0.0,0.7,36.0,561.0,0.0,0.0,145.0,0.0,0.0,504.6,504.31725179,1.0,12.0,4.0,504.31725179,12.0
Diroximel Fumarate,0.0,0.0,-0.9,18.0,384.0,0.0,0.0,90.0,0.0,1.0,255.22,255.07428713,1.0,6.0,0.0,255.07428713,7.0
Disopyramide,0.0,1.0,3.2,25.0,409.0,0.0,0.0,59.2,0.0,0.0,339.5,339.231062557,1.0,3.0,1.0,339.231062557,8.0
Disperse Blue 106,0.0,0.0,3.4,23.0,420.0,0.0,0.0,135.0,0.0,0.0,335.38,335.10521059,1.0,8.0,1.0,335.10521059,6.0
Distigmine,0.0,0.0,2.7,30.0,487.0,0.0,2.0,66.8,0.0,0.0,416.5,416.24235551,1.0,4.0,0.0,416.24235551,11.0
Disulfiram,0.0,0.0,3.9,16.0,201.0,0.0,0.0,121.0,0.0,0.0,296.5,296.05093334,1.0,4.0,0.0,296.05093334,7.0
Dithranol,0.0,0.0,3.2,17.0,287.0,0.0,0.0,57.5,0.0,0.0,226.23,226.062994177,1.0,3.0,2.0,226.062994177,0.0
Dl-Threonine,0.0,2.0,-2.9,8.0,93.3,0.0,0.0,83.6,0.0,0.0,119.12,119.058243149,1.0,4.0,3.0,119.058243149,2.0
Dobutamine,0.0,1.0,3.4,22.0,305.0,0.0,0.0,72.7,0.0,0.0,301.4,301.1677936,1.0,4.0,4.0,301.1677936,7.0
Docetaxel,0.0,0.0,1.6,58.0,1660.0,0.0,0.0,224.0,11.0,0.0,807.9,807.34660536,1.0,14.0,5.0,807.34660536,13.0
Docosahexaenoic Acid,0.0,0.0,6.2,24.0,462.0,0.0,0.0,37.3,0.0,6.0,328.5,328.240230259,1.0,2.0,1.0,328.240230259,14.0
Docusate,0.0,3.0,5.1,28.0,539.0,0.0,0.0,115.0,0.0,0.0,422.6,422.23382472,1.0,7.0,1.0,422.23382472,18.0
Dog Epithelia Unspecified,,,,,,,,,,,,,,,,,
Dolasetron,0.0,0.0,3.4,24.0,535.0,0.0,0.0,62.4,2.0,0.0,324.4,324.1473925,1.0,4.0,1.0,324.1473925,3.0
Dolutegravir,0.0,0.0,2.4,30.0,829.0,0.0,0.0,99.2,2.0,0.0,419.4,419.12927704,1.0,8.0,2.0,419.12927704,3.0
Domiphen,0.0,0.0,7.5,24.0,271.0,0.0,1.0,9.2,0.0,0.0,334.6,334.310989899,1.0,1.0,0.0,334.310989899,15.0
Domperidone,0.0,0.0,3.9,30.0,655.0,0.0,0.0,67.9,0.0,0.0,425.9,425.1618527,1.0,3.0,2.0,425.1618527,5.0
Donepezil,0.0,1.0,4.3,28.0,510.0,0.0,0.0,38.8,0.0,0.0,379.5,379.21474379,1.0,4.0,0.0,379.21474379,6.0
Dopamine,0.0,0.0,-1.0,11.0,119.0,0.0,0.0,66.5,0.0,0.0,153.18,153.078978594,1.0,3.0,3.0,153.078978594,2.0
Dopexamine,0.0,0.0,2.5,26.0,334.0,0.0,0.0,64.5,0.0,0.0,356.5,356.246378268,1.0,4.0,4.0,356.246378268,13.0
Doravirine,0.0,0.0,2.1,29.0,860.0,0.0,0.0,98.0,0.0,0.0,425.7,425.0502514,1.0,8.0,1.0,425.0502514,4.0
Doripenem,0.0,0.0,-3.4,27.0,780.0,0.0,0.0,196.0,6.0,0.0,420.5,420.11372685,1.0,10.0,5.0,420.11372685,7.0
Dorzolamide,0.0,0.0,0.4,19.0,534.0,0.0,0.0,151.0,2.0,0.0,324.4,324.02722052,1.0,7.0,2.0,324.02722052,3.0
Dostarlimab,,,,,,,,,,,,,,,,,
Dosulepin,0.0,0.0,4.5,21.0,363.0,0.0,0.0,28.5,0.0,1.0,295.4,295.13947085,1.0,2.0,0.0,295.13947085,3.0
Doxapram,0.0,1.0,3.3,28.0,487.0,0.0,0.0,32.8,0.0,0.0,378.5,378.230728204,1.0,3.0,0.0,378.230728204,6.0
Doxazosin,0.0,1.0,2.5,33.0,678.0,0.0,0.0,112.0,0.0,0.0,451.5,451.18556891,1.0,9.0,1.0,451.18556891,4.0
Doxepin,0.0,0.0,4.3,21.0,363.0,0.0,0.0,12.5,0.0,1.0,279.4,279.162314293,1.0,2.0,0.0,279.162314293,3.0
Doxorubicin,0.0,0.0,1.3,39.0,977.0,0.0,0.0,206.0,6.0,0.0,543.5,543.17406074,1.0,12.0,6.0,543.17406074,5.0
Doxycycline,0.0,0.0,-0.7,32.0,956.0,0.0,0.0,182.0,6.0,0.0,444.4,444.15326573,1.0,9.0,6.0,444.15326573,2.0
Doxylamine,0.0,1.0,2.5,20.0,276.0,0.0,0.0,25.4,0.0,0.0,270.37,270.17321333,1.0,3.0,0.0,270.17321333,6.0
Dronabinol,0.0,0.0,7.0,23.0,439.0,0.0,0.0,29.5,2.0,0.0,314.5,314.224580195,1.0,2.0,1.0,314.224580195,4.0
Dronedarone,0.0,0.0,7.2,39.0,800.0,0.0,0.0,97.2,0.0,0.0,556.8,556.29709368,1.0,7.0,1.0,556.29709368,18.0
Droperidol,0.0,0.0,3.5,28.0,615.0,0.0,0.0,52.7,0.0,0.0,379.4,379.16960512,1.0,4.0,1.0,379.16960512,6.0
Drospirenone,0.0,0.0,3.5,27.0,827.0,0.0,0.0,43.4,10.0,0.0,366.5,366.21949481,1.0,3.0,0.0,366.21949481,0.0
Drostanolone,0.0,0.0,4.2,22.0,486.0,0.0,0.0,37.3,8.0,0.0,304.5,304.240230259,1.0,2.0,1.0,304.240230259,0.0
Drotrecogin Alfa (Activated),,,,,,,,,,,,,,,,,
Dryopteris,,,,,,,,,,,,,,,,,
Dulaglutide,0.0,0.0,-14.3,235.0,7740.0,0.0,0.0,1380.0,29.0,0.0,3314.6,3312.5938866,1.0,53.0,48.0,3313.5972414,109.0
Duloxetine,0.0,0.0,4.3,21.0,312.0,0.0,0.0,49.5,1.0,0.0,297.4,297.1187354,1.0,3.0,1.0,297.1187354,6.0
Dupilumab,,,,,,,,,,,,,,,,,
Durvalumab,,,,,,,,,,,,,,,,,
Dutasteride,0.0,0.0,5.4,37.0,964.0,0.0,0.0,58.2,7.0,0.0,528.5,528.22114718,1.0,8.0,2.0,528.22114718,2.0
Duvelisib,0.0,0.0,4.1,30.0,668.0,0.0,0.0,86.8,1.0,0.0,416.9,416.1152369,1.0,5.0,2.0,416.1152369,4.0
Dydrogesterone,0.0,0.0,3.8,23.0,628.0,0.0,0.0,34.1,6.0,0.0,312.4,312.208930132,1.0,2.0,0.0,312.208930132,1.0
Ebastine,0.0,0.0,7.2,35.0,594.0,0.0,0.0,29.5,0.0,0.0,469.7,469.298079487,1.0,3.0,0.0,469.298079487,10.0
Echinacea,,,,,,,,,,,,,,,,,
Echinacea Purpurea Radix,,,,,,,,,,,,,,,,,
Econazole,0.0,1.0,5.3,24.0,379.0,0.0,0.0,27.1,0.0,0.0,381.7,380.024996,1.0,2.0,0.0,380.024996,6.0
Ecothiopate,0.0,0.0,1.0,15.0,208.0,0.0,1.0,60.8,0.0,0.0,256.33,256.11362677,1.0,4.0,0.0,256.11362677,8.0
Eculizumab,,,,,,,,,,,,,,,,,
Edetic Acid,0.0,0.0,-5.9,20.0,315.0,0.0,0.0,156.0,0.0,0.0,292.24,292.09066547,1.0,10.0,4.0,292.09066547,11.0
Edotreotide,0.0,0.0,-7.2,99.0,2620.0,0.0,0.0,531.0,10.0,0.0,1421.6,1420.61554449,1.0,25.0,17.0,1420.61554449,26.0
Edoxaban,0.0,0.0,1.4,37.0,880.0,0.0,0.0,165.0,3.0,0.0,548.1,547.1768513,1.0,8.0,3.0,547.1768513,5.0
Edrophonium,0.0,0.0,1.8,12.0,145.0,0.0,1.0,20.2,0.0,0.0,166.24,166.123189134,1.0,1.0,1.0,166.123189134,2.0
Efalizumab,,,,,,,,,,,,,,,,,
Efavirenz,0.0,0.0,4.0,21.0,519.0,0.0,0.0,38.3,1.0,0.0,315.67,315.0273907,1.0,5.0,1.0,315.0273907,1.0
Efgartigimod,,,,,,,,,,,,,,,,,
Eflornithine,0.0,1.0,-2.9,12.0,166.0,0.0,0.0,89.3,0.0,0.0,182.17,182.08668395,1.0,6.0,3.0,182.08668395,5.0
Efmoroctocog Alfa,,,,,,,,,,,,,,,,,
Eftrenonacog Alfa,,,,,,,,,,,,,,,,,
Egg Whole,,,,,,,,,,,,,,,,,
Eicosapentaenoic Acid,0.0,0.0,5.6,22.0,398.0,0.0,0.0,37.3,0.0,5.0,302.5,302.224580195,1.0,2.0,1.0,302.224580195,13.0
Elacestrant,0.0,0.0,6.3,34.0,578.0,0.0,0.0,44.7,1.0,0.0,458.6,458.293328459,1.0,4.0,2.0,458.293328459,10.0
Eladocagene Exuparvovec,,,,,,,,,,,,,,,,,
Elbasvir,0.0,0.0,6.7,65.0,1680.0,0.0,0.0,189.0,5.0,0.0,882.0,881.42244513,1.0,9.0,4.0,881.42244513,13.0
Eletriptan,0.0,0.0,4.1,27.0,582.0,0.0,0.0,61.6,1.0,0.0,382.5,382.17149925,1.0,3.0,1.0,382.17149925,6.0
Elettaria Cardamomum,,,,,,,,,,,,,,,,,
Elexacaftor,0.0,0.0,4.9,41.0,1050.0,0.0,0.0,133.0,1.0,0.0,597.7,597.23450825,1.0,11.0,1.0,597.23450825,8.0
Eliglustat,0.0,0.0,3.7,29.0,483.0,0.0,0.0,71.0,2.0,0.0,404.5,404.26750763,1.0,5.0,2.0,404.26750763,11.0
Elosulfase Alfa,,,,,,,,,,,,,,,,,
Elotuzumab,,,,,,,,,,,,,,,,,
Eltrombopag,0.0,0.0,5.4,33.0,812.0,0.0,0.0,115.0,0.0,0.0,442.5,442.1641052,1.0,7.0,3.0,442.1641052,5.0
Eluxadoline,0.0,0.0,0.9,42.0,917.0,0.0,0.0,165.0,2.0,0.0,569.6,569.26381923,1.0,7.0,4.0,569.26381923,11.0
Elvitegravir,0.0,0.0,5.3,31.0,701.0,0.0,0.0,87.1,1.0,0.0,447.9,447.1248787,1.0,7.0,2.0,447.1248787,7.0
Emedastine,0.0,0.0,2.2,22.0,341.0,0.0,0.0,33.5,0.0,0.0,302.4,302.21066147,1.0,4.0,0.0,302.21066147,5.0
Emepronium,0.0,1.0,4.8,21.0,266.0,0.0,1.0,0.0,0.0,0.0,282.4,282.222174897,1.0,0.0,0.0,282.222174897,6.0
Emicizumab,,,,,,,,,,,,,,,,,
Empagliflozin,0.0,0.0,2.0,31.0,558.0,0.0,0.0,109.0,6.0,0.0,450.9,450.1445309,1.0,7.0,4.0,450.1445309,6.0
Emtricitabine,0.0,0.0,-0.6,16.0,374.0,0.0,0.0,113.0,2.0,0.0,247.25,247.04269053,1.0,5.0,2.0,247.04269053,2.0
Enalapril,0.0,0.0,-0.1,27.0,519.0,0.0,0.0,95.9,3.0,0.0,376.4,376.199822,1.0,6.0,2.0,376.199822,10.0
Enbucrilate,0.0,0.0,2.4,11.0,199.0,0.0,0.0,50.1,0.0,0.0,153.18,153.078978594,1.0,3.0,0.0,153.078978594,5.0
Encorafenib,0.0,0.0,2.7,36.0,836.0,0.0,0.0,149.0,1.0,0.0,540.0,539.1517794,1.0,10.0,3.0,539.1517794,10.0
Enflurane,0.0,1.0,2.1,10.0,107.0,0.0,0.0,9.2,0.0,0.0,184.49,183.9714332,1.0,6.0,0.0,183.9714332,3.0
Enfuvirtide,0.0,0.0,-14.7,319.0,11200.0,0.0,0.0,1900.0,39.0,0.0,4492.0,4489.1866445,1.0,67.0,63.0,4491.1933541,151.0
Enoxacin,0.0,0.0,-0.2,23.0,521.0,0.0,0.0,85.8,0.0,0.0,320.32,320.12846858,1.0,8.0,2.0,320.12846858,3.0
Enoxaparin,0.0,20.0,-10.8,70.0,2410.0,0.0,0.0,652.0,0.0,0.0,1134.9,1134.0069961,1.0,38.0,15.0,1134.0069961,21.0
Enoxaparin,0.0,20.0,-10.8,70.0,2410.0,0.0,0.0,652.0,0.0,0.0,1134.9,1134.0069961,1.0,38.0,15.0,1134.0069961,21.0
Enoxaparin,0.0,20.0,-10.8,70.0,2410.0,0.0,0.0,652.0,0.0,0.0,1134.9,1134.0069961,1.0,38.0,15.0,1134.0069961,21.0
Enoxaparin,0.0,20.0,-10.8,70.0,2410.0,0.0,0.0,652.0,0.0,0.0,1134.9,1134.0069961,1.0,38.0,15.0,1134.0069961,21.0
Enoxaparin,0.0,20.0,-10.8,70.0,2410.0,0.0,0.0,652.0,0.0,0.0,1134.9,1134.0069961,1.0,38.0,15.0,1134.0069961,21.0
Enoximone,0.0,0.0,1.6,17.0,371.0,0.0,0.0,83.5,0.0,0.0,248.3,248.0619488,1.0,3.0,2.0,248.0619488,3.0
Enoxolone,0.0,0.0,6.4,34.0,965.0,0.0,0.0,74.6,9.0,0.0,470.7,470.33960994,1.0,4.0,2.0,470.33960994,1.0
Entacapone,0.0,0.0,2.1,22.0,500.0,0.0,0.0,130.0,0.0,1.0,305.29,305.10117059,1.0,6.0,2.0,305.10117059,4.0
Entecavir,0.0,0.0,-1.3,20.0,480.0,0.0,0.0,126.0,3.0,0.0,277.28,277.11748936,1.0,5.0,4.0,277.11748936,2.0
Entrectinib,0.0,0.0,5.7,41.0,846.0,0.0,0.0,85.5,0.0,0.0,560.6,560.27113067,1.0,8.0,3.0,560.27113067,7.0
Enzalutamide,0.0,0.0,3.6,32.0,839.0,0.0,0.0,109.0,0.0,0.0,464.4,464.09300959,1.0,8.0,1.0,464.09300959,3.0
Epacadostat,0.0,0.0,0.8,25.0,563.0,0.0,0.0,176.0,0.0,0.0,438.24,436.99171,1.0,11.0,5.0,436.99171,8.0
Ephedrine,0.0,0.0,0.9,12.0,121.0,0.0,0.0,32.3,2.0,0.0,165.23,165.115364102,1.0,2.0,2.0,165.115364102,3.0
Epinephrine,0.0,0.0,-1.4,13.0,154.0,0.0,0.0,72.7,1.0,0.0,183.2,183.08954328,1.0,4.0,4.0,183.08954328,3.0
Epirubicin,0.0,0.0,1.3,39.0,977.0,0.0,0.0,206.0,6.0,0.0,543.5,543.17406074,1.0,12.0,6.0,543.17406074,5.0
